ResSimPath,Download_Key,Source
//MOS/ELEV//1DAY/CWMS/,MOS.Elev-Forebay.Inst.~1Day.0.USGS-RAW,CWMS
//MOS/FLOW-IN//1HOUR/CWMS/,MOS.Flow-In.Ave.15Minutes.3Hours.MIXED-COMPUTED-REV,CWMS
//MOS/FLOW-OUT//1HOUR/CWMS/,MOS.Flow-Out.Inst.0.0.MIXED-REV,CWMS
//MOS/STOR//1HOUR/CWMS/,MOS.Stor.Inst.0.0.MIXED-COMPUTED-REV,CWMS
//MAY/FLOW-IN//1HOUR/CWMS/,MAY.Flow-In.Ave.15Minutes.3Hours.MIXED-COMPUTED-REV,CWMS
//MAY/FLOW-OUT//1HOUR/CWMS/,MAY.Flow-Out.Inst.0.0.MIXED-REV,CWMS
//MAY/STOR//1HOUR/CWMS/,MAY.Stor.Inst.0.0.MIXED-COMPUTED-REV,CWMS
"/COWLITZ RIVER AT PACKWOOD, WA/14226500/FLOW//1HOUR/USGS/",14226500,USGS
"/COWLITZ RIVER NEAR KOSMOS, WA/14233500/FLOW//1HOUR/USGS/",14233500,USGS
"/TILTON RIVER ABOVE BEAR CANYON CREEK NEAR CINEBAR, WA/14236200/FLOW//1HOUR/USGS/",14236200,USGS
"/COWLITZ RIVER BELOW MAYFIELD DAM, WA/14238000/FLOW//1HOUR/USGS/",14238000,USGS
"/TOUTLE RIVER AT TOWER ROAD NEAR SILVER LAKE, WA/14242580/FLOW//1HOUR/USGS/",14242580,USGS
"/COWLITZ RIVER AT CASTLE ROCK, WA/14243000/FLOW//1HOUR/USGS/",14243000,USGS
"/COWLITZ RIVER AT MOSSYROCK, WA/14235000/FLOW//1HOUR/USGS/",14235000,USGS
"/CISPUS RIVER NEAR RANDLE, WA/14232500/FLOW//1HOUR/USGS/",14232500,USGS
"/COWEMAN RIVER NEAR KELSO, WA/14245000/FLOW//1HOUR/USGS/",14245000,USGS
"/GREEN RIVER NEAR TOUTLE, WA/14241000/FLOW//1HOUR/USGS/",14241000,USGS
"/NORTH FORK TOUTLE RIVER AT KID VALLEY, WA/14241100/FLOW//1HOUR/USGS/",14241100,USGS
"/SOUTH FORK TOUTLE RIVER AT TOUTLE, WA/14241500/FLOW//1HOUR/USGS/",14241500,USGS
"/TOUTLE RIVER AT SILVER LAKE, WA/14242500/FLOW//1HOUR/USGS/",14242500,USGS
//MOS/ELEV-USGS//1DAY/USGS/,14234800,USGS
"/COWLITZ RIVER AT CASTLE ROCK, WA/14243000/FLOW//1DAY/USGS/",14243000,USGS
