26C075--Coweeman R. nr Kelso

DATE         TIME    FLOW (cfs)   QUALITY
----------   -----   ----------   -------
09/08/2006   07:15         70.1        50
09/08/2006   07:30         70.1        50
09/08/2006   07:45         70.1        50
09/08/2006   08:00         70.1        50
09/08/2006   08:15         70.1        50
09/08/2006   08:30         70.1        50
09/08/2006   08:45         71.4        50
09/08/2006   09:00         70.1        50
09/08/2006   09:15         71.4        50
09/08/2006   09:30         70.1        50
09/08/2006   09:45         70.1        50
09/08/2006   10:00         70.1        50
09/08/2006   10:15         71.4        50
09/08/2006   10:30         71.4        50
09/08/2006   10:45         71.4        50
09/08/2006   11:00         71.4        50
09/08/2006   11:15         71.4        50
09/08/2006   11:30         71.4        50
09/08/2006   11:45         70.1        50
09/08/2006   12:00         70.1        50
09/08/2006   12:15         70.1        50
09/08/2006   12:30         70.1        50
09/08/2006   12:45         71.4        50
09/08/2006   13:00         70.1        50
09/08/2006   13:15         71.4        50
09/08/2006   13:30         70.1        50
09/08/2006   13:45         70.1        50
09/08/2006   14:00         70.1        50
09/08/2006   14:15         70.1        50
09/08/2006   14:30         70.1        50
09/08/2006   14:45         70.1        50
09/08/2006   15:00         70.1        50
09/08/2006   15:15         70.1        50
09/08/2006   15:30         70.1        50
09/08/2006   15:45         70.1        50
09/08/2006   16:00         70.1        50
09/08/2006   16:15         70.1        50
09/08/2006   16:30         70.1        50
09/08/2006   16:45         70.1        50
09/08/2006   17:00         70.1        50
09/08/2006   17:15         70.1        50
09/08/2006   17:30         70.1        50
09/08/2006   17:45         70.1        50
09/08/2006   18:00         70.1        50
09/08/2006   18:15         70.1        50
09/08/2006   18:30         70.1        50
09/08/2006   18:45         70.1        50
09/08/2006   19:00         70.1        50
09/08/2006   19:15         70.1        50
09/08/2006   19:30         70.1        50
09/08/2006   19:45         70.1        50
09/08/2006   20:00         70.1        50
09/08/2006   20:15         70.1        50
09/08/2006   20:30         70.1        50
09/08/2006   20:45         70.1        50
09/08/2006   21:00         70.1        50
09/08/2006   21:15         70.1        50
09/08/2006   21:30         70.1        50
09/08/2006   21:45         70.1        50
09/08/2006   22:00         70.1        50
09/08/2006   22:15         70.1        50
09/08/2006   22:30         70.1        50
09/08/2006   22:45         70.1        50
09/08/2006   23:00         70.1        50
09/08/2006   23:15         70.1        50
09/08/2006   23:30         70.1        50
09/08/2006   23:45         70.1        50
09/09/2006   00:00         70.1        50
09/09/2006   00:15         70.1        50
09/09/2006   00:30         70.1        50
09/09/2006   00:45         70.1        50
09/09/2006   01:00         70.1        50
09/09/2006   01:15         70.1        50
09/09/2006   01:30         70.1        50
09/09/2006   01:45         70.1        50
09/09/2006   02:00         70.1        50
09/09/2006   02:15         70.1        50
09/09/2006   02:30         70.1        50
09/09/2006   02:45         70.1        50
09/09/2006   03:00         70.1        50
09/09/2006   03:15         70.1        50
09/09/2006   03:30         70.1        50
09/09/2006   03:45         70.1        50
09/09/2006   04:00         70.1        50
09/09/2006   04:15         70.1        50
09/09/2006   04:30         70.1        50
09/09/2006   04:45         70.1        50
09/09/2006   05:00         70.1        50
09/09/2006   05:15         70.1        50
09/09/2006   05:30         70.1        50
09/09/2006   05:45         70.1        50
09/09/2006   06:00         70.1        50
09/09/2006   06:15         70.1        50
09/09/2006   06:30         70.1        50
09/09/2006   06:45         70.1        50
09/09/2006   07:00         70.1        50
09/09/2006   07:15         70.1        50
09/09/2006   07:30         70.1        50
09/09/2006   07:45         70.1        50
09/09/2006   08:00         70.1        50
09/09/2006   08:15         70.1        50
09/09/2006   08:30         70.1        50
09/09/2006   08:45         70.1        50
09/09/2006   09:00         70.1        50
09/09/2006   09:15         70.1        50
09/09/2006   09:30         70.1        50
09/09/2006   09:45         70.1        50
09/09/2006   10:00         70.1        50
09/09/2006   10:15         70.1        50
09/09/2006   10:30         70.1        50
09/09/2006   10:45         70.1        50
09/09/2006   11:00         70.1        50
09/09/2006   11:15         70.1        50
09/09/2006   11:30         70.1        50
09/09/2006   11:45         70.1        50
09/09/2006   12:00         70.1        50
09/09/2006   12:15         70.1        50
09/09/2006   12:30         70.1        50
09/09/2006   12:45         70.1        50
09/09/2006   13:00         70.1        50
09/09/2006   13:15         70.1        50
09/09/2006   13:30         70.1        50
09/09/2006   13:45         70.1        50
09/09/2006   14:00         70.1        50
09/09/2006   14:15         70.1        50
09/09/2006   14:30         70.1        50
09/09/2006   14:45         70.1        50
09/09/2006   15:00         70.1        50
09/09/2006   15:15         70.1        50
09/09/2006   15:30         70.1        50
09/09/2006   15:45         70.1        50
09/09/2006   16:00         70.1        50
09/09/2006   16:15         70.1        50
09/09/2006   16:30         70.1        50
09/09/2006   16:45         70.1        50
09/09/2006   17:00         70.1        50
09/09/2006   17:15         70.1        50
09/09/2006   17:30         70.1        50
09/09/2006   17:45         70.1        50
09/09/2006   18:00         70.1        50
09/09/2006   18:15         70.1        50
09/09/2006   18:30         70.1        50
09/09/2006   18:45         70.1        50
09/09/2006   19:00         70.1        50
09/09/2006   19:15         70.1        50
09/09/2006   19:30         70.1        50
09/09/2006   19:45         70.1        50
09/09/2006   20:00         70.1        50
09/09/2006   20:15         70.1        50
09/09/2006   20:30         70.1        50
09/09/2006   20:45         70.1        50
09/09/2006   21:00         70.1        50
09/09/2006   21:15         70.1        50
09/09/2006   21:30         70.1        50
09/09/2006   21:45         70.1        50
09/09/2006   22:00         70.1        50
09/09/2006   22:15         70.1        50
09/09/2006   22:30         70.1        50
09/09/2006   22:45         70.1        50
09/09/2006   23:00         70.1        50
09/09/2006   23:15         70.1        50
09/09/2006   23:30         70.1        50
09/09/2006   23:45         70.1        50
09/10/2006   00:00         70.1        50
09/10/2006   00:15         68.9        50
09/10/2006   00:30         70.1        50
09/10/2006   00:45         70.1        50
09/10/2006   01:00         70.1        50
09/10/2006   01:15         70.1        50
09/10/2006   01:30         70.1        50
09/10/2006   01:45         70.1        50
09/10/2006   02:00         70.1        50
09/10/2006   02:15         70.1        50
09/10/2006   02:30         70.1        50
09/10/2006   02:45         70.1        50
09/10/2006   03:00         70.1        50
09/10/2006   03:15         70.1        50
09/10/2006   03:30         70.1        50
09/10/2006   03:45         70.1        50
09/10/2006   04:00         70.1        50
09/10/2006   04:15         70.1        50
09/10/2006   04:30         70.1        50
09/10/2006   04:45         70.1        50
09/10/2006   05:00         70.1        50
09/10/2006   05:15         70.1        50
09/10/2006   05:30         70.1        50
09/10/2006   05:45         70.1        50
09/10/2006   06:00         70.1        50
09/10/2006   06:15         70.1        50
09/10/2006   06:30         70.1        50
09/10/2006   06:45         70.1        50
09/10/2006   07:00         70.1        50
09/10/2006   07:15         70.1        50
09/10/2006   07:30         70.1        50
09/10/2006   07:45         70.1        50
09/10/2006   08:00         70.1        50
09/10/2006   08:15         70.1        50
09/10/2006   08:30         70.1        50
09/10/2006   08:45         70.1        50
09/10/2006   09:00         70.1        50
09/10/2006   09:15         70.1        50
09/10/2006   09:30         70.1        50
09/10/2006   09:45         70.1        50
09/10/2006   10:00         70.1        50
09/10/2006   10:15         70.1        50
09/10/2006   10:30         70.1        50
09/10/2006   10:45         70.1        50
09/10/2006   11:00         70.1        50
09/10/2006   11:15         70.1        50
09/10/2006   11:30         70.1        50
09/10/2006   11:45         70.1        50
09/10/2006   12:00         70.1        50
09/10/2006   12:15         70.1        50
09/10/2006   12:30         70.1        50
09/10/2006   12:45         70.1        50
09/10/2006   13:00         70.1        50
09/10/2006   13:15         70.1        50
09/10/2006   13:30         70.1        50
09/10/2006   13:45         70.1        50
09/10/2006   14:00         70.1        50
09/10/2006   14:15         70.1        50
09/10/2006   14:30         70.1        50
09/10/2006   14:45         70.1        50
09/10/2006   15:00         70.1        50
09/10/2006   15:15         70.1        50
09/10/2006   15:30         68.9        50
09/10/2006   15:45         68.9        50
09/10/2006   16:00         68.9        50
09/10/2006   16:15         68.9        50
09/10/2006   16:30         68.9        50
09/10/2006   16:45         68.9        50
09/10/2006   17:00         68.9        50
09/10/2006   17:15         68.9        50
09/10/2006   17:30         68.9        50
09/10/2006   17:45         68.9        50
09/10/2006   18:00         68.9        50
09/10/2006   18:15         68.9        50
09/10/2006   18:30         68.9        50
09/10/2006   18:45         68.9        50
09/10/2006   19:00         68.9        50
09/10/2006   19:15         68.9        50
09/10/2006   19:30         68.9        50
09/10/2006   19:45         68.9        50
09/10/2006   20:00         68.9        50
09/10/2006   20:15         68.9        50
09/10/2006   20:30         68.9        50
09/10/2006   20:45         70.1        50
09/10/2006   21:00         70.1        50
09/10/2006   21:15         68.9        50
09/10/2006   21:30         68.9        50
09/10/2006   21:45         68.9        50
09/10/2006   22:00         68.9        50
09/10/2006   22:15         68.9        50
09/10/2006   22:30         68.9        50
09/10/2006   22:45         68.9        50
09/10/2006   23:00         68.9        50
09/10/2006   23:15         68.9        50
09/10/2006   23:30         68.9        50
09/10/2006   23:45         68.9        50
09/11/2006   00:00         68.9        50
09/11/2006   00:15         68.9        50
09/11/2006   00:30         68.9        50
09/11/2006   00:45         68.9        50
09/11/2006   01:00         68.9        50
09/11/2006   01:15         68.9        50
09/11/2006   01:30         68.9        50
09/11/2006   01:45         68.9        50
09/11/2006   02:00         68.9        50
09/11/2006   02:15         68.9        50
09/11/2006   02:30         68.9        50
09/11/2006   02:45         68.9        50
09/11/2006   03:00         68.9        50
09/11/2006   03:15         68.9        50
09/11/2006   03:30         68.9        50
09/11/2006   03:45         68.9        50
09/11/2006   04:00         68.9        50
09/11/2006   04:15         68.9        50
09/11/2006   04:30         68.9        50
09/11/2006   04:45         68.9        50
09/11/2006   05:00         68.9        50
09/11/2006   05:15         68.9        50
09/11/2006   05:30         68.9        50
09/11/2006   05:45         68.9        50
09/11/2006   06:00         68.9        50
09/11/2006   06:15         68.9        50
09/11/2006   06:30         68.9        50
09/11/2006   06:45         68.9        50
09/11/2006   07:00         68.9        50
09/11/2006   07:15         68.9        50
09/11/2006   07:30         68.9        50
09/11/2006   07:45         68.9        50
09/11/2006   08:00         68.9        50
09/11/2006   08:15         68.9        50
09/11/2006   08:30         68.9        50
09/11/2006   08:45         68.9        50
09/11/2006   09:00         68.9        50
09/11/2006   09:15         68.9        50
09/11/2006   09:30         68.9        50
09/11/2006   09:45         68.9        50
09/11/2006   10:00         68.9        50
09/11/2006   10:15         68.9        50
09/11/2006   10:30         68.9        50
09/11/2006   10:45         68.9        50
09/11/2006   11:00         68.9        50
09/11/2006   11:15         68.9        50
09/11/2006   11:30         68.9        50
09/11/2006   11:45         68.9        50
09/11/2006   12:00         68.9        50
09/11/2006   12:15         68.9        50
09/11/2006   12:30         67.7        50
09/11/2006   12:45         67.7        50
09/11/2006   13:00         68.9        50
09/11/2006   13:15         68.9        50
09/11/2006   13:30         68.9        50
09/11/2006   13:45         67.7        50
09/11/2006   14:00         68.9        50
09/11/2006   14:15         68.9        50
09/11/2006   14:30         68.9        50
09/11/2006   14:45         68.9        50
09/11/2006   15:00         67.7        50
09/11/2006   15:15         67.7        50
09/11/2006   15:30         68.9        50
09/11/2006   15:45         67.7        50
09/11/2006   16:00         67.7        50
09/11/2006   16:15         68.9        50
09/11/2006   16:30         68.9        50
09/11/2006   16:45         67.7        50
09/11/2006   17:00         67.7        50
