To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

26C075--Coweeman R. nr Kelso

DATE          TIME   Discharge (cfs)   QUALITY
----------   -----   ---------------   -------
10/01/2010   00:00              57.4         1
10/01/2010   00:15              56.7         1
10/01/2010   00:30              56.7         1
10/01/2010   00:45              56.7         1
10/01/2010   01:00              56.7         1
10/01/2010   01:15              56.7         1
10/01/2010   01:30              56.7         1
10/01/2010   01:45              56.7         1
10/01/2010   02:00              56.7         1
10/01/2010   02:15              55.9         1
10/01/2010   02:30              56.7         1
10/01/2010   02:45              55.9         1
10/01/2010   03:00              55.9         1
10/01/2010   03:15              55.9         1
10/01/2010   03:30              55.9         1
10/01/2010   03:45              55.9         1
10/01/2010   04:00              55.9         1
10/01/2010   04:15              55.9         1
10/01/2010   04:30              55.9         1
10/01/2010   04:45              55.9         1
10/01/2010   05:00              55.9         1
10/01/2010   05:15              55.2         1
10/01/2010   05:30              55.2         1
10/01/2010   05:45              55.2         1
10/01/2010   06:00              55.2         1
10/01/2010   06:15              55.2         1
10/01/2010   06:30              55.2         1
10/01/2010   06:45              55.2         1
10/01/2010   07:00              55.2         1
10/01/2010   07:15              55.2         1
10/01/2010   07:30              54.5         1
10/01/2010   07:45              54.5         1
10/01/2010   08:00              54.5         1
10/01/2010   08:15              54.5         1
10/01/2010   08:30              54.5         1
10/01/2010   08:45              54.5         1
10/01/2010   09:00              54.5         1
10/01/2010   09:15              54.5         1
10/01/2010   09:30              54.5         1
10/01/2010   09:45              54.5         1
10/01/2010   10:00              54.5         1
10/01/2010   10:15              54.5         1
10/01/2010   10:30              54.5         1
10/01/2010   10:45              54.5         1
10/01/2010   11:00              54.5         1
10/01/2010   11:15              54.5         1
10/01/2010   11:30              53.8         1
10/01/2010   11:45              53.8         1
10/01/2010   12:00              53.8         1
10/01/2010   12:15              53.8         1
10/01/2010   12:30              53.8         1
10/01/2010   12:45              53.8         1
10/01/2010   13:00              53.8         1
10/01/2010   13:15              53.8         1
10/01/2010   13:30              53.8         1
10/01/2010   13:45              54.5         1
10/01/2010   14:00              53.8         1
10/01/2010   14:15              54.5         1
10/01/2010   14:30              53.8         1
10/01/2010   14:45              53.8         1
10/01/2010   15:00              53.8         1
10/01/2010   15:15              53.8         1
10/01/2010   15:30              54.5         1
10/01/2010   15:45              53.8         1
10/01/2010   16:00              54.5         1
10/01/2010   16:15              54.5         1
10/01/2010   16:30              54.5         1
10/01/2010   16:45              54.5         1
10/01/2010   17:00              54.5         1
10/01/2010   17:15              54.5         1
10/01/2010   17:30              54.5         1
10/01/2010   17:45              54.5         1
10/01/2010   18:00              54.5         1
10/01/2010   18:15              54.5         1
10/01/2010   18:30              54.5         1
10/01/2010   18:45              54.5         1
10/01/2010   19:00              54.5         1
10/01/2010   19:15              54.5         1
10/01/2010   19:30              54.5         1
10/01/2010   19:45              54.5         1
10/01/2010   20:00              54.5         1
10/01/2010   20:15              54.5         1
10/01/2010   20:30              54.5         1
10/01/2010   20:45              54.5         1
10/01/2010   21:00              54.5         1
10/01/2010   21:15              54.5         1
10/01/2010   21:30              54.5         1
10/01/2010   21:45              54.5         1
10/01/2010   22:00              54.5         1
10/01/2010   22:15              54.5         1
10/01/2010   22:30              54.5         1
10/01/2010   22:45              54.5         1
10/01/2010   23:00              54.5         1
10/01/2010   23:15              54.5         1
10/01/2010   23:30              54.5         1
10/01/2010   23:45              54.5         1
10/02/2010   00:00              54.5         1
10/02/2010   00:15              54.5         1
10/02/2010   00:30              54.5         1
10/02/2010   00:45              54.5         1
10/02/2010   01:00              54.5         1
10/02/2010   01:15              54.5         1
10/02/2010   01:30              54.5         1
10/02/2010   01:45              54.5         1
10/02/2010   02:00              54.5         1
10/02/2010   02:15              54.5         1
10/02/2010   02:30              54.5         1
10/02/2010   02:45              54.5         1
10/02/2010   03:00              54.5         1
10/02/2010   03:15              53.8         1
10/02/2010   03:30              54.5         1
10/02/2010   03:45              53.8         1
10/02/2010   04:00              53.8         1
10/02/2010   04:15              53.8         1
10/02/2010   04:30              53.8         1
10/02/2010   04:45              53.8         1
10/02/2010   05:00              53.8         1
10/02/2010   05:15              53.8         1
10/02/2010   05:30              53.8         1
10/02/2010   05:45              53.8         1
10/02/2010   06:00              53.8         1
10/02/2010   06:15              53.8         1
10/02/2010   06:30              53.8         1
10/02/2010   06:45              53.8         1
10/02/2010   07:00              53.8         1
10/02/2010   07:15              53.8         1
10/02/2010   07:30              53.8         1
10/02/2010   07:45              53.8         1
10/02/2010   08:00              53.8         1
10/02/2010   08:15              53.8         1
10/02/2010   08:30              53.8         1
10/02/2010   08:45              53.8         1
10/02/2010   09:00              53.8         1
10/02/2010   09:15              53.8         1
10/02/2010   09:30              53.8         1
10/02/2010   09:45              53.8         1
10/02/2010   10:00              53.8         1
10/02/2010   10:15              53.8         1
10/02/2010   10:30              53.8         1
10/02/2010   10:45              53.8         1
10/02/2010   11:00              53.8         1
10/02/2010   11:15              53.8         1
10/02/2010   11:30              53.8         1
10/02/2010   11:45              53.8         1
10/02/2010   12:00              53.8         1
10/02/2010   12:15              53.8         1
10/02/2010   12:30              54.5         1
10/02/2010   12:45              53.8         1
10/02/2010   13:00              53.8         1
10/02/2010   13:15              54.5         1
