# 2009 Cowlitz Hydrology Restudy regulated frequency curve at Castle Rock,
# with uncertainty, as entered in HEC-FDA 2.0.2.
#
# Source: HEC-FDA 2.0.2 "Cowlitz" study, Frequency Functions ->
#         "Hydrology 1 (2010)", Graphical, described as
#         "Cowlitz River at Castle Rock, CRIP1 and CRIP2".
#         Equivalent Record Length 90 years.
#
# The confidence columns are FDA's own labels. They are a 95 percent
# two-sided interval, NOT the 90 percent interval the memo adopts everywhere
# else, so do not plot them beside a 2026 band without converting or saying so.
#
# aep       exceedance probability as a fraction
# cfs       the adopted curve ordinate
# lo_2p5    FDA "2.5% Confidence"
# hi_97p5   FDA "97.5% Confidence"
aep,cfs,lo_2p5,hi_97p5
0.9999,10000.0000,7371.3805,13565.9799
0.9900,11000.0000,8108.5186,14922.5779
0.9500,18000.0000,12931.7944,25054.5276
0.9000,24000.0000,18591.2968,30982.2389
0.8000,32000.0000,27329.2326,37469.0360
0.7000,36500.0000,32537.8815,40944.5833
0.6000,41000.0000,36519.3811,46030.3530
0.5000,46000.0000,41168.9389,51397.9728
0.4000,51000.0000,45434.8776,57246.7703
0.3000,58000.0000,51436.0526,65401.5974
0.2000,66000.0000,58262.6472,74764.8829
0.1000,80000.0000,67772.4046,94433.7159
0.0500,96000.0000,79088.8984,116527.1004
0.0400,100000.0000,86045.6834,117111.1949
0.0200,108000.0000,95266.2229,122435.8398
0.0100,113000.0000,95664.0121,133477.5713
0.0070,117000.0000,99050.3488,138202.4411
0.0050,124000.0000,104976.4381,146470.9632
0.0020,160000.0000,135453.4685,188994.7912
0.0010,190000.0000,160850.9938,224431.3146
0.0008,210000.0000,177782.6774,248055.6635
0.0005,300000.0000,253975.2534,354365.2336
0.0001,390000.0000,330167.8295,460674.8036
