Datetime,FLOW-IN-CALC-CLEANED,FLOW-IN-CALC-CLEANED-VOLCOR,FLOW-IN-CALC-RAW-PEAKS
26Nov2025  0000,3006,2975,4125
26Nov2025  0100,3020,2989,4325
26Nov2025  0200,3045,3014,1901
26Nov2025  0300,3070,3038,2310
26Nov2025  0400,3095,3063,3457
26Nov2025  0500,3119,3087,2701
26Nov2025  0600,3144,3112,2372
26Nov2025  0700,3169,3136,2373
26Nov2025  0800,3194,3161,3560
26Nov2025  0900,3219,3186,3561
26Nov2025  1000,3244,3210,3562
26Nov2025  1100,3268,3235,3563
26Nov2025  1200,3293,3259,3563
26Nov2025  1300,3318,3284,2377
26Nov2025  1400,3343,3308,5418
26Nov2025  1500,3368,3333,2603
26Nov2025  1600,3393,3358,5210
26Nov2025  1700,3396,3361,3742
26Nov2025  1800,3343,3309,1188
26Nov2025  1900,3290,3256,1189
26Nov2025  2000,3237,3204,2377
26Nov2025  2100,3184,3151,3566
26Nov2025  2200,3131,3099,2378
26Nov2025  2300,3078,3047,4790
27Nov2025  0000,3025,2994,4441
27Nov2025  0100,2972,2942,1035
27Nov2025  0200,2919,2889,3961
27Nov2025  0300,2866,2837,1585
27Nov2025  0400,2814,2784,2774
27Nov2025  0500,2761,2732,2665
27Nov2025  0600,2708,2680,1408
27Nov2025  0700,2655,2627,2375
27Nov2025  0800,2601,2574,4753
27Nov2025  0900,2740,2711,1189
27Nov2025  1000,2878,2848,3566
27Nov2025  1100,3016,2985,2378
27Nov2025  1200,3154,3122,4757
27Nov2025  1300,3292,3258,4759
27Nov2025  1400,3431,3395,3570
27Nov2025  1500,3569,3532,4761
27Nov2025  1600,3707,3669,3572
27Nov2025  1700,3845,3805,2382
27Nov2025  1800,3983,3942,4420
27Nov2025  1900,4122,4079,2668
27Nov2025  2000,4250,4207,1348
27Nov2025  2100,4356,4311,3270
27Nov2025  2200,4462,4416,160
27Nov2025  2300,4568,4521,2381
28Nov2025  0000,4674,4626,4764
28Nov2025  0100,4780,4731,4765
28Nov2025  0200,4886,4836,8986
28Nov2025  0300,4992,4941,3399
28Nov2025  0400,5098,5045,8126
28Nov2025  0500,5204,5150,3107
28Nov2025  0600,5310,5255,1193
28Nov2025  0700,5416,5360,5961
28Nov2025  0800,5522,5465,5964
28Nov2025  0900,5628,5570,7160
28Nov2025  1000,5734,5675,5970
28Nov2025  1100,5839,5779,7166
28Nov2025  1200,5878,5817,7170
28Nov2025  1300,5917,5856,5978
28Nov2025  1400,5956,5894,5980
28Nov2025  1500,5995,5933,5983
28Nov2025  1600,6034,5971,5986
28Nov2025  1700,6073,6010,5988
28Nov2025  1800,6112,6048,7188
28Nov2025  1900,6151,6087,5994
28Nov2025  2000,6189,6126,5996
28Nov2025  2100,6228,6164,5999
28Nov2025  2200,6267,6203,7202
28Nov2025  2300,6306,6241,7205
29Nov2025  0000,6345,6280,7209
29Nov2025  0100,6384,6318,8415
29Nov2025  0200,6423,6357,6014
29Nov2025  0300,6462,6395,7220
29Nov2025  0400,6501,6434,8428
29Nov2025  0500,6540,6473,6022
29Nov2025  0600,6579,6511,7231
29Nov2025  0700,6618,6550,7234
29Nov2025  0800,6657,6588,6032
29Nov2025  0900,6696,6627,6033
29Nov2025  1000,6735,6665,7244
29Nov2025  1100,6774,6704,7247
29Nov2025  1200,6813,6742,3625
29Nov2025  1300,6846,6776,6044
29Nov2025  1400,6772,6702,6046
29Nov2025  1500,6697,6628,7259
29Nov2025  1600,6623,6554,6052
29Nov2025  1700,6548,6481,3633
29Nov2025  1800,6474,6407,9285
29Nov2025  1900,6399,6333,5932
29Nov2025  2000,6325,6259,3548
29Nov2025  2100,6250,6186,4800
29Nov2025  2200,6176,6112,5510
29Nov2025  2300,6101,6038,5750
30Nov2025  0000,6027,5964,7307
30Nov2025  0100,5952,5891,5219
30Nov2025  0200,5878,5817,3958
30Nov2025  0300,5803,5743,6952
30Nov2025  0400,5729,5670,5740
30Nov2025  0500,5654,5596,5740
30Nov2025  0600,5636,5578,5420
30Nov2025  0700,5636,5578,3633
30Nov2025  0800,5636,5578,7269
30Nov2025  0900,5636,5578,7274
30Nov2025  1000,5636,5578,6064
30Nov2025  1100,5636,5578,4853
30Nov2025  1200,5636,5578,6068
30Nov2025  1300,5636,5578,6070
30Nov2025  1400,5636,5578,6073
30Nov2025  1500,5636,5578,6076
30Nov2025  1600,5636,5578,5637
30Nov2025  1700,5636,5578,5938
30Nov2025  1800,5636,5578,5682
30Nov2025  1900,5636,5578,3250
30Nov2025  2000,5636,5578,7073
30Nov2025  2100,5636,5578,4520
30Nov2025  2200,5636,5578,4480
30Nov2025  2300,5636,5578,3370
01Dec2025  0000,5636,5578,4906
01Dec2025  0100,5636,5578,6187
01Dec2025  0200,5636,5578,5857
01Dec2025  0300,5636,5578,5020
01Dec2025  0400,5636,5578,4480
01Dec2025  0500,5629,5571,4357
01Dec2025  0600,5621,5563,6084
01Dec2025  0700,5613,5555,2594
01Dec2025  0800,5605,5547,6088
01Dec2025  0900,5597,5539,3653
01Dec2025  1000,5589,5531,4873
01Dec2025  1100,5581,5523,3656
01Dec2025  1200,5572,5515,3657
01Dec2025  1300,5564,5507,5727
01Dec2025  1400,5556,5499,4850
01Dec2025  1500,5548,5491,6060
01Dec2025  1600,5540,5483,4481
01Dec2025  1700,5532,5475,4681
01Dec2025  1800,5524,5467,921
01Dec2025  1900,5516,5459,2140
01Dec2025  2000,5508,5451,5757
01Dec2025  2100,5499,5443,3320
01Dec2025  2200,5491,5435,4619
01Dec2025  2300,5483,5427,3160
02Dec2025  0000,5475,5419,6390
02Dec2025  0100,5467,5411,3521
02Dec2025  0200,5459,5403,4691
02Dec2025  0300,5451,5394,4182
02Dec2025  0400,5443,5386,2522
02Dec2025  0500,5435,5378,6219
02Dec2025  0600,5383,5327,1219
02Dec2025  0700,5326,5271,3657
02Dec2025  0800,5269,5215,4879
02Dec2025  0900,5213,5159,4880
02Dec2025  1000,5156,5103,4882
02Dec2025  1100,5099,5046,4883
02Dec2025  1200,5042,4990,3664
