Segment Start,Segment End,N Hours Periods,N Hours Local Valid,N Hours Shape Valid,Target Vol (cfs-hr),Shape Sum (cfs-hr),Output Vol (cfs-hr)
2008-10-28 17:00:00,2008-11-25 16:00:00,672,559,672,863606.0,788687.0,863606.0
2008-12-23 23:00:00,2009-01-14 18:00:00,524,411,477,1705379.0,990658.0,1705379.0
2009-11-07 20:00:00,2009-12-04 05:00:00,634,438,634,926685.0,952436.0,926685.0
2009-12-21 13:00:00,2010-01-16 19:00:00,631,413,631,793647.0,1039361.0,793647.0
2010-05-18 18:00:00,2010-06-23 00:00:00,847,708,847,1072262.0,1019217.0,1072262.0
2011-01-01 12:00:00,2011-01-21 04:00:00,473,228,473,846608.0,1177876.0,846608.0
2011-11-08 15:00:00,2011-12-02 01:00:00,563,286,563,525032.0,853361.0,525032.0
2012-02-07 04:00:00,2012-03-02 14:00:00,587,270,587,795846.0,944678.0,795846.0
2013-09-15 19:00:00,2013-10-16 07:00:00,733,668,733,1084471.0,661843.0,1084471.0
2014-02-02 19:00:00,2014-03-24 22:00:00,1204,1190,1204,3617121.0,2420390.0,3617121.0
2014-11-10 18:00:00,2014-12-13 22:00:00,797,787,797,2049200.0,1066886.0,2049200.0
2014-12-21 07:00:00,2015-01-21 07:00:00,745,743,745,2490580.0,1363918.0,2490580.0
2015-11-02 14:00:00,2015-12-25 17:00:00,1276,1275,1276,5222857.0,2808434.0,5222857.0
2017-01-25 14:00:00,2017-02-25 08:00:00,739,726,739,2373272.0,1379405.0,2373272.0
2017-02-28 07:00:00,2017-03-30 11:00:00,725,724,725,3439496.0,1723336.0,3439496.0
2017-10-07 05:00:00,2017-11-06 15:00:00,731,710,731,951327.0,650297.0,951327.0
2017-12-15 09:00:00,2018-01-14 10:00:00,722,721,722,2243564.0,1324902.0,2243564.0
2018-11-12 12:00:00,2019-01-13 06:00:00,1483,1423,1483,2633950.0,1620503.0,2633950.0
2019-01-28 23:00:00,2019-02-28 15:00:00,737,727,737,921738.0,413236.0,921738.0
2019-03-27 21:00:00,2019-04-26 21:00:00,721,718,721,1431955.0,1064808.0,1431955.0
2019-12-16 09:00:00,2020-02-23 05:00:00,1653,1648,1653,7413900.0,4167885.0,7413900.0
2020-12-19 12:00:00,2021-01-28 05:00:00,954,938,942,3452510.0,1965912.0,3452510.0
2021-02-08 02:00:00,2021-03-05 17:00:00,616,511,616,1685794.0,1236871.0,1685794.0
2021-10-28 11:00:00,2021-11-27 15:00:00,725,724,725,2665044.0,1567161.0,2665044.0
2021-12-22 19:00:00,2022-01-22 10:00:00,736,732,736,2928147.0,1844567.0,2928148.0
2022-10-21 01:00:00,2022-11-20 07:00:00,727,695,727,985491.0,537505.0,985491.0
2022-12-13 04:00:00,2023-01-12 15:00:00,732,707,732,1508964.0,1141093.0,1508964.0
2023-11-21 02:00:00,2023-12-21 21:00:00,740,708,740,2156592.0,1323858.0,2156592.0
2025-02-09 04:00:00,2025-03-12 23:00:00,764,710,764,1557632.0,1008194.0,1557632.0
2025-11-24 10:00:00,2025-12-25 14:00:00,749,730,749,4106966.0,2601684.0,4106966.0
2026-02-27 09:00:00,2026-03-29 07:00:00,719,701,719,1953840.0,1444284.0,1953840.0
