WY,Three_Day,reg_peak,predicted_reg_peak,residual_cfs,standardized_residual,outlier_flag
2011,71689.29040527344,45300.0,64027.33359762411,-18727.333597624107,-1.8679407603667424,False
1981,71889.1275756836,46900.0,64190.92752320595,-17290.92752320595,-1.7246677503112982,False
1993,26576.34785003662,14700.0,27096.249395362716,-12396.249395362716,-1.2364525574643088,False
1974,92391.93860388862,68600.0,80975.26916836863,-12375.269168368628,-1.2343599039127655,False
2000,58189.72265133328,41700.0,52976.09984570332,-11276.09984570332,-1.1247242652006044,False
2007,100469.89242129854,77300.0,87588.1739295127,-10288.173929512704,-1.0261844983162665,False
2023,47709.94909625583,34400.0,44396.978696394246,-9996.978696394246,-0.9971394961363795,False
2014,45134.193496280255,32300.0,42288.37212898465,-9988.37212898465,-0.9962810419422775,False
1997,74563.25657797919,56700.0,66380.06611088658,-9680.066110886575,-0.9655293401653184,False
1992,38240.04010145399,27000.0,36644.56915124962,-9644.56915124962,-0.9619887283943307,False
2024,59644.00289035373,44800.0,54166.62617626108,-9366.626176261081,-0.934265560580171,False
2018,47284.91301023695,35100.0,44049.028804574555,-8949.028804574555,-0.892612692705043,False
1994,24709.691447533503,17300.0,25568.137042834955,-8268.137042834955,-0.8246977667215234,False
2005,39348.60259797838,29600.0,37552.07845088095,-7952.078450880952,-0.7931727915563509,False
1996,139807.31819000244,112000.0,119791.21148542955,-7791.2114854295505,-0.7771272632275714,False
2020,60464.87055104573,47400.0,54838.61809208016,-7438.6180920801635,-0.7419581577144992,False
2017,51009.62132161458,40000.0,47098.209560361494,-7098.209560361494,-0.7080044200796569,False
2001,15338.691788397897,11600.0,17896.698252355833,-6296.698252355833,-0.6280584077808968,False
1976,106675.92267727322,86700.0,92668.65445158357,-5968.65445158357,-0.5953379789246567,False
1985,28765.268502977156,23600.0,28888.178903105105,-5288.178903105105,-0.5274645677521713,False
2010,24887.605800543894,20900.0,25713.784158266906,-4813.784158266906,-0.4801464978428771,False
2004,43452.018759409584,38100.0,40911.28313120488,-2811.28313120488,-0.2804088645259815,False
1977,14752.35835410224,15000.0,17416.704525365833,-2416.7045253658325,-0.24105198239573808,False
2012,40864.75932227242,36900.0,38793.259107189704,-1893.259107189704,-0.18884139793952634,False
2006,62808.0588979933,56200.0,56756.836706104776,-556.8367061047757,-0.055541167928648785,False
2019,24388.551606411405,26000.0,25305.240369698204,694.7596303017963,0.06929816384873387,False
1989,21120.33092897203,23600.0,22629.756878850756,970.243121149244,0.09677601266685662,False
2016,92956.52093904284,83700.0,81437.45665997727,2262.543340022734,0.22567531597028606,False
1999,60807.3340421041,57600.0,55118.971075239955,2481.028924760045,0.2474679607777221,False
1995,48317.35180545383,47500.0,44894.22049281679,2605.779507183208,0.25991109351591823,False
1978,94792.64671207004,86400.0,82940.57553648556,3459.4244635144423,0.34505712888183376,False
2003,72895.89621209039,69000.0,65015.104692270244,3984.8953077297556,0.3974697376057278,False
1988,39028.53567165799,42100.0,37290.060104553304,4809.939895446696,0.47976305536410674,False
2021,42828.89556376139,45600.0,40401.17197676868,5198.828023231319,0.5185523459657205,False
2002,49168.11875627306,51400.0,45590.689047461296,5809.310952538704,0.5794444073591283,False
1984,46701.98901892768,49600.0,43571.826170758286,6028.173829241714,0.6012746848085853,False
1998,23580.65662290785,30800.0,24643.86835598346,6156.131644016539,0.6140377200041391,False
1986,62162.58865390354,62700.0,56228.43145066515,6471.56854933485,0.6455006856044726,False
2015,32555.348385874437,38500.0,31990.875188482485,6509.124811517515,0.6492467006243001,False
1982,62871.0453183492,65500.0,56808.3996648037,8691.6003351963,0.8669357254889803,False
2022,60850.576164245605,63900.0,55154.370638279695,8745.629361720305,0.872324801320893,False
1991,75568.97829149033,76000.0,67203.38623105484,8796.613768945157,0.8774101943856335,False
1975,54410.600300259066,58900.0,49882.373791649494,9017.626208350506,0.899454878000695,False
1979,27999.698932054307,39400.0,28261.45600087316,11138.54399912684,1.1110038831020252,False
2013,36797.33916863336,47000.0,35463.52205897799,11536.477941022007,1.1506954401581615,False
2008,54504.1020371331,64300.0,49958.9176906276,14341.082309372403,1.4304381375920858,False
1983,55965.91877517701,67300.0,51155.613671495455,16144.386328504545,1.6103070475525216,False
2009,99323.7059487237,106000.0,86649.8642841526,19350.1357158474,1.9300615879905758,False
1990,76113.33786705864,89200.0,67649.01864124413,21550.981358755875,2.1495829235952266,True
1987,61616.61895082262,77600.0,55781.48093193814,21818.51906806186,2.1762682277012635,True
