slot_index,datetime,value,note
0,2008-09-01 00:00:00,-901.0,START
1,2008-09-01 01:00:00,-901.0,START
2,2008-09-01 02:00:00,-901.0,START
3,2008-09-01 03:00:00,-901.0,START
4,2008-09-01 04:00:00,-901.0,START
5,2008-09-01 05:00:00,-901.0,START
6,2008-09-01 06:00:00,-901.0,START
7,2008-09-01 07:00:00,-901.0,START
8,2008-09-01 08:00:00,-901.0,START
9,2008-09-01 09:00:00,-901.0,START
10,2008-09-01 10:00:00,-901.0,START
11,2008-09-01 11:00:00,-901.0,START
12,2008-09-01 12:00:00,-901.0,START
13,2008-09-01 13:00:00,-901.0,START
14,2008-09-01 14:00:00,-901.0,START
15,2008-09-01 15:00:00,-901.0,START
16,2008-09-01 16:00:00,-901.0,START
17,2008-09-01 17:00:00,-901.0,START
18,2008-09-01 18:00:00,-901.0,START
19,2008-09-01 19:00:00,-901.0,START
20,2008-09-01 20:00:00,-901.0,START
21,2008-09-01 21:00:00,-901.0,START
22,2008-09-01 22:00:00,-901.0,START
23,2008-09-01 23:00:00,-901.0,START
24,2008-09-02 00:00:00,-901.0,START
25,2008-09-02 01:00:00,-901.0,START
26,2008-09-02 02:00:00,-901.0,START
27,2008-09-02 03:00:00,-901.0,START
28,2008-09-02 04:00:00,-901.0,START
29,2008-09-02 05:00:00,-901.0,START
154794,2026-04-29 18:00:00,-901.0,END
154795,2026-04-29 19:00:00,-901.0,END
154796,2026-04-29 20:00:00,-901.0,END
154797,2026-04-29 21:00:00,-901.0,END
154798,2026-04-29 22:00:00,-901.0,END
154799,2026-04-29 23:00:00,-901.0,END
154800,2026-04-30 00:00:00,-901.0,END
154801,2026-04-30 01:00:00,-901.0,END
154802,2026-04-30 02:00:00,-901.0,END
154803,2026-04-30 03:00:00,-901.0,END
154804,2026-04-30 04:00:00,-901.0,END
154805,2026-04-30 05:00:00,-901.0,END
154806,2026-04-30 06:00:00,-901.0,END
154807,2026-04-30 07:00:00,-901.0,END
154808,2026-04-30 08:00:00,-901.0,END
154809,2026-04-30 09:00:00,-901.0,END
154810,2026-04-30 10:00:00,-901.0,END
154811,2026-04-30 11:00:00,-901.0,END
154812,2026-04-30 12:00:00,-901.0,END
154813,2026-04-30 13:00:00,-901.0,END
154814,2026-04-30 14:00:00,-901.0,END
154815,2026-04-30 15:00:00,-901.0,END
154816,2026-04-30 16:00:00,-901.0,END
154817,2026-04-30 17:00:00,-901.0,END
154818,2026-04-30 18:00:00,-901.0,END
154819,2026-04-30 19:00:00,-901.0,END
154820,2026-04-30 20:00:00,-901.0,END
154821,2026-04-30 21:00:00,-901.0,END
154822,2026-04-30 22:00:00,-901.0,END
154823,2026-04-30 23:00:00,-901.0,END
1374,2008-10-28 06:00:00,-901.0,PERIOD_1_EXACT
1375,2008-10-28 07:00:00,-901.0,PERIOD_1_EXACT
1376,2008-10-28 08:00:00,-901.0,PERIOD_1_EXACT
1377,2008-10-28 09:00:00,-901.0,PERIOD_1_EXACT
1378,2008-10-28 10:00:00,-901.0,PERIOD_1_EXACT
1379,2008-10-28 11:00:00,-901.0,PERIOD_1_EXACT
1380,2008-10-28 12:00:00,-901.0,PERIOD_1_EXACT
1381,2008-10-28 13:00:00,-901.0,PERIOD_1_EXACT
1382,2008-10-28 14:00:00,-901.0,PERIOD_1_EXACT
1383,2008-10-28 15:00:00,-901.0,PERIOD_1_EXACT
1384,2008-10-28 16:00:00,8798.2666015625,PERIOD_1_EXACT <-- PERIOD START
1385,2008-10-28 17:00:00,8772.3759765625,PERIOD_1_EXACT
1386,2008-10-28 18:00:00,8746.4853515625,PERIOD_1_EXACT
1387,2008-10-28 19:00:00,8720.5947265625,PERIOD_1_EXACT
1388,2008-10-28 20:00:00,8694.703125,PERIOD_1_EXACT
1389,2008-10-28 21:00:00,8668.8125,PERIOD_1_EXACT
1390,2008-10-28 22:00:00,8642.921875,PERIOD_1_EXACT
1391,2008-10-28 23:00:00,8617.03125,PERIOD_1_EXACT
1392,2008-10-29 00:00:00,8591.1396484375,PERIOD_1_EXACT
1393,2008-10-29 01:00:00,8565.25,PERIOD_1_EXACT
1394,2008-10-29 02:00:00,8539.359375,PERIOD_1_EXACT
1395,2008-10-29 03:00:00,8513.4677734375,PERIOD_1_EXACT
1396,2008-10-29 04:00:00,8487.5771484375,PERIOD_1_EXACT
1397,2008-10-29 05:00:00,8461.6865234375,PERIOD_1_EXACT
1398,2008-10-29 06:00:00,8435.7958984375,PERIOD_1_EXACT
1399,2008-10-29 07:00:00,8409.904296875,PERIOD_1_EXACT
1400,2008-10-29 08:00:00,8384.013671875,PERIOD_1_EXACT
1401,2008-10-29 09:00:00,8358.123046875,PERIOD_1_EXACT
1402,2008-10-29 10:00:00,8100.46337890625,PERIOD_1_EXACT
1403,2008-10-29 11:00:00,8079.62353515625,PERIOD_1_EXACT
2724,2008-12-23 12:00:00,-901.0,PERIOD_2_EXACT
2725,2008-12-23 13:00:00,-901.0,PERIOD_2_EXACT
2726,2008-12-23 14:00:00,-901.0,PERIOD_2_EXACT
2727,2008-12-23 15:00:00,-901.0,PERIOD_2_EXACT
2728,2008-12-23 16:00:00,-901.0,PERIOD_2_EXACT
2729,2008-12-23 17:00:00,-901.0,PERIOD_2_EXACT
2730,2008-12-23 18:00:00,-901.0,PERIOD_2_EXACT
2731,2008-12-23 19:00:00,-901.0,PERIOD_2_EXACT
2732,2008-12-23 20:00:00,-901.0,PERIOD_2_EXACT
2733,2008-12-23 21:00:00,-901.0,PERIOD_2_EXACT
2734,2008-12-23 22:00:00,8080.982421875,PERIOD_2_EXACT <-- PERIOD START
2735,2008-12-23 23:00:00,8058.51513671875,PERIOD_2_EXACT
2736,2008-12-24 00:00:00,8036.04833984375,PERIOD_2_EXACT
2737,2008-12-24 01:00:00,8013.58203125,PERIOD_2_EXACT
2738,2008-12-24 02:00:00,7991.115234375,PERIOD_2_EXACT
2739,2008-12-24 03:00:00,7968.64794921875,PERIOD_2_EXACT
2740,2008-12-24 04:00:00,7946.181640625,PERIOD_2_EXACT
2741,2008-12-24 05:00:00,7923.71484375,PERIOD_2_EXACT
2742,2008-12-24 06:00:00,7901.24755859375,PERIOD_2_EXACT
2743,2008-12-24 07:00:00,7878.78125,PERIOD_2_EXACT
2744,2008-12-24 08:00:00,7856.314453125,PERIOD_2_EXACT
2745,2008-12-24 09:00:00,7833.84814453125,PERIOD_2_EXACT
2746,2008-12-24 10:00:00,7811.380859375,PERIOD_2_EXACT
2747,2008-12-24 11:00:00,7788.9140625,PERIOD_2_EXACT
2748,2008-12-24 12:00:00,7766.44775390625,PERIOD_2_EXACT
2749,2008-12-24 13:00:00,7743.98046875,PERIOD_2_EXACT
2750,2008-12-24 14:00:00,7674.98193359375,PERIOD_2_EXACT
2751,2008-12-24 15:00:00,7674.98193359375,PERIOD_2_EXACT
2752,2008-12-24 16:00:00,7674.98193359375,PERIOD_2_EXACT
2753,2008-12-24 17:00:00,7674.98193359375,PERIOD_2_EXACT
10377,2009-11-07 09:00:00,-901.0,PERIOD_3_EXACT
10378,2009-11-07 10:00:00,-901.0,PERIOD_3_EXACT
10379,2009-11-07 11:00:00,-901.0,PERIOD_3_EXACT
10380,2009-11-07 12:00:00,-901.0,PERIOD_3_EXACT
10381,2009-11-07 13:00:00,-901.0,PERIOD_3_EXACT
10382,2009-11-07 14:00:00,-901.0,PERIOD_3_EXACT
10383,2009-11-07 15:00:00,-901.0,PERIOD_3_EXACT
10384,2009-11-07 16:00:00,-901.0,PERIOD_3_EXACT
10385,2009-11-07 17:00:00,-901.0,PERIOD_3_EXACT
10386,2009-11-07 18:00:00,-901.0,PERIOD_3_EXACT
10387,2009-11-07 19:00:00,11746.36328125,PERIOD_3_EXACT <-- PERIOD START
10388,2009-11-07 20:00:00,11717.8310546875,PERIOD_3_EXACT
10389,2009-11-07 21:00:00,11689.2978515625,PERIOD_3_EXACT
10390,2009-11-07 22:00:00,11660.765625,PERIOD_3_EXACT
10391,2009-11-07 23:00:00,11632.2333984375,PERIOD_3_EXACT
10392,2009-11-08 00:00:00,11603.7001953125,PERIOD_3_EXACT
10393,2009-11-08 01:00:00,11575.16796875,PERIOD_3_EXACT
10394,2009-11-08 02:00:00,11546.6357421875,PERIOD_3_EXACT
10395,2009-11-08 03:00:00,11518.103515625,PERIOD_3_EXACT
10396,2009-11-08 04:00:00,11489.5712890625,PERIOD_3_EXACT
10397,2009-11-08 05:00:00,11461.0380859375,PERIOD_3_EXACT
10398,2009-11-08 06:00:00,11432.505859375,PERIOD_3_EXACT
10399,2009-11-08 07:00:00,11403.9736328125,PERIOD_3_EXACT
10400,2009-11-08 08:00:00,11227.6142578125,PERIOD_3_EXACT
