Day,Month,Year,Time,ELEV,FLOW-IN,FLOW-OUT
4,Feb,"1996,",4:00,737.72,"1,744","8,200"
4,Feb,"1996,",10:00,737.39,"1,742","8,200"
4,Feb,"1996,",16:00,737.06,"1,751","8,200"
4,Feb,"1996,",22:00,736.73,"1,907","8,200"
5,Feb,"1996,",4:00,736.81,"2,725","8,200"
5,Feb,"1996,",10:00,736.53,"2,864","8,200"
5,Feb,"1996,",16:00,736.26,"3,073","8,200"
5,Feb,"1996,",22:00,736.01,"3,525","8,200"
6,Feb,"1996,",4:00,737.09,"11,990","8,000"
6,Feb,"1996,",10:00,737.32,"12,915","8,000"
6,Feb,"1996,",16:00,737.68,"17,168","8,000"
6,Feb,"1996,",22:00,738.4,"26,856","8,000"
7,Feb,"1996,",4:00,741.56,"39,110",10
7,Feb,"1996,",10:00,743.96,"54,289",10
7,Feb,"1996,",16:00,746.81,"60,527",10
7,Feb,"1996,",22:00,749.77,"60,915",10
8,Feb,"1996,",4:00,750.51,"69,010","2,000"
8,Feb,"1996,",10:00,753.96,"81,178","6,500"
8,Feb,"1996,",16:00,757.65,"93,462","11,000"
8,Feb,"1996,",22:00,761.65,"105,784","15,500"
9,Feb,"1996,",4:00,765.85,"116,505",10
9,Feb,"1996,",10:00,770.34,"108,251","20,000"
9,Feb,"1996,",16:00,772.93,"91,729","40,000"
9,Feb,"1996,",22:00,774.52,"74,064","40,000"
10,Feb,"1996,",4:00,773.75,"46,010","40,000"
10,Feb,"1996,",10:00,773.88,"38,327","37,500"
10,Feb,"1996,",16:00,773.85,"32,906","35,000"
10,Feb,"1996,",22:00,773.75,"29,104","32,500"
11,Feb,"1996,",4:00,776.35,"30,025","30,000"
11,Feb,"1996,",10:00,776.3,"27,235","30,000"
11,Feb,"1996,",16:00,776.16,"25,144","30,000"
11,Feb,"1996,",22:00,775.95,"23,521","30,000"
12,Feb,"1996,",4:00,775.68,"22,195","30,000"
12,Feb,"1996,",10:00,775.37,"21,040","30,000"
12,Feb,"1996,",16:00,775.02,"19,984","30,000"
12,Feb,"1996,",22:00,774.63,"18,989","30,000"
13,Feb,"1996,",4:00,774.21,"18,027","30,000"
13,Feb,"1996,",10:00,773.74,"17,088","30,000"
13,Feb,"1996,",16:00,773.25,"16,162","30,000"
13,Feb,"1996,",22:00,772.72,"15,249","30,000"
14,Feb,"1996,",4:00,772.16,"14,366","30,000"
19,Feb,"1996,",4:00,761.33,"20,365","21,000"
19,Feb,"1996,",10:00,761.28,"19,294","21,000"
19,Feb,"1996,",16:00,761.17,"18,342","21,000"
19,Feb,"1996,",22:00,761.04,"17,658","21,000"
20,Feb,"1996,",4:00,760.92,"17,260","21,500"
20,Feb,"1996,",10:00,760.71,"16,521","21,500"
20,Feb,"1996,",16:00,760.47,"16,154","21,500"
20,Feb,"1996,",22:00,760.21,"15,865","21,500"
21,Feb,"1996,",4:00,759.95,"15,777","21,500"
21,Feb,"1996,",10:00,759.69,"15,842","21,500"
21,Feb,"1996,",16:00,759.42,"15,655","21,500"
21,Feb,"1996,",22:00,759.13,"15,030","21,500"
22,Feb,"1996,",4:00,758.81,"14,113","21,500"
22,Feb,"1996,",10:00,758.45,"13,095","21,500"
22,Feb,"1996,",16:00,758.04,"12,140","21,500"
22,Feb,"1996,",22:00,757.59,"11,359","21,500"
23,Feb,"1996,",4:00,758.59,"12,085","12,700"
23,Feb,"1996,",10:00,758.56,"11,911","12,700"
23,Feb,"1996,",16:00,758.51,"11,338","12,700"
23,Feb,"1996,",22:00,758.43,"10,612","12,700"
24,Feb,"1996,",4:00,758.31,"9,871","12,700"
24,Feb,"1996,",10:00,758.17,"9,174","12,700"
24,Feb,"1996,",16:00,757.99,"8,531","12,700"
24,Feb,"1996,",22:00,757.78,"7,949","12,700"
25,Feb,"1996,",4:00,757.55,"7,433","12,700"
25,Feb,"1996,",10:00,757.3,"6,974","12,700"
25,Feb,"1996,",16:00,757.02,"6,562","12,700"
25,Feb,"1996,",22:00,756.73,"6,187","12,700"
26,Feb,"1996,",4:00,756.42,"5,841","12,700"
