26C075--Coweeman R. nr Kelso

DATE         TIME    FLOW (cfs)   QUALITY
----------   -----   ----------   -------
10/01/2007   00:00          164         1
10/01/2007   00:15          172         1
10/01/2007   00:30          177         1
10/01/2007   00:45          183         1
10/01/2007   01:00          183         1
10/01/2007   01:15          186         1
10/01/2007   01:30          186         1
10/01/2007   01:45          186         1
10/01/2007   02:00          183         1
10/01/2007   02:15          183         1
10/01/2007   02:30          183         1
10/01/2007   02:45          180         1
10/01/2007   03:00          177         1
10/01/2007   03:15          177         1
10/01/2007   03:30          175         1
10/01/2007   03:45          175         1
10/01/2007   04:00          175         1
10/01/2007   04:15          175         1
10/01/2007   04:30          172         1
10/01/2007   04:45          175         1
10/01/2007   05:00          175         1
10/01/2007   05:15          172         1
10/01/2007   05:30          172         1
10/01/2007   05:45          172         1
10/01/2007   06:00          172         1
10/01/2007   06:15          172         1
10/01/2007   06:45          169         1
10/01/2007   07:00          169         1
10/01/2007   07:15          166         1
10/01/2007   07:30          166         1
10/01/2007   07:45          166         1
10/01/2007   08:00          164         1
10/01/2007   08:15          161         1
10/01/2007   08:30          161         1
10/01/2007   08:45          159         1
10/01/2007   09:00          159         1
10/01/2007   09:15          156         1
10/01/2007   09:30          156         1
10/01/2007   09:45          154         1
10/01/2007   10:00          154         1
10/01/2007   10:15          151         1
10/01/2007   10:30          151         1
10/01/2007   10:45          149         1
10/01/2007   11:00          147         1
10/01/2007   11:15          147         1
10/01/2007   11:30          144         1
10/01/2007   11:45          144         1
10/01/2007   12:00          144         1
10/01/2007   12:15          144         1
10/01/2007   12:30          144         1
10/01/2007   12:45          144         1
10/01/2007   13:00          142         1
10/01/2007   13:15          142         1
10/01/2007   13:30          142         1
10/01/2007   13:45          140         1
10/01/2007   14:00          140         1
10/01/2007   14:15          140         1
10/01/2007   14:30          140         1
10/01/2007   14:45          140         1
10/01/2007   15:00          140         1
10/01/2007   15:15          140         1
10/01/2007   15:30          138         1
10/01/2007   15:45          138         1
10/01/2007   16:00          135         1
10/01/2007   16:15          135         1
10/01/2007   16:30          135         1
10/01/2007   16:45          133         1
10/01/2007   17:00          133         1
10/01/2007   17:15          133         1
10/01/2007   17:30          133         1
10/01/2007   17:45          133         1
10/01/2007   18:00          133         1
