To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

26C075--Coweeman R. nr Kelso

DATE          TIME   Discharge (cfs)   QUALITY
----------   -----   ---------------   -------
10/01/2009   00:00              39.0         1
10/01/2009   00:15              39.0         1
10/01/2009   00:30              39.0         1
10/01/2009   00:45              39.0         1
10/01/2009   01:00              39.0         1
10/01/2009   01:15              39.0         1
10/01/2009   01:30              39.0         1
10/01/2009   01:45              39.0         1
10/01/2009   02:00              39.0         1
10/01/2009   02:15              39.0         1
10/01/2009   02:30              39.0         1
10/01/2009   02:45              39.0         1
10/01/2009   03:00              39.0         1
10/01/2009   03:15              39.0         1
10/01/2009   03:30              39.0         1
10/01/2009   03:45              39.0         1
10/01/2009   04:00              39.0         1
10/01/2009   04:15              39.0         1
10/01/2009   04:30              39.0         1
10/01/2009   04:45              39.0         1
10/01/2009   05:00              39.0         1
10/01/2009   05:15              39.0         1
10/01/2009   05:30              39.0         1
10/01/2009   05:45              39.0         1
10/01/2009   06:00              39.0         1
10/01/2009   06:15              39.0         1
10/01/2009   06:30              39.0         1
10/01/2009   06:45              39.0         1
10/01/2009   07:00              39.0         1
10/01/2009   07:15              39.0         1
10/01/2009   07:30              39.0         1
10/01/2009   07:45              39.0         1
10/01/2009   08:00              39.0         1
10/01/2009   08:15              39.0         1
10/01/2009   08:30              39.0         1
10/01/2009   08:45              39.0         1
10/01/2009   09:00              39.0         1
10/01/2009   09:15              39.0         1
10/01/2009   09:30              39.0         1
10/01/2009   09:45              39.0         1
10/01/2009   10:00              39.0         1
10/01/2009   10:15              39.0         1
10/01/2009   10:30              39.0         1
10/01/2009   10:45              39.0         1
10/01/2009   11:00              39.0         1
10/01/2009   11:15              39.0         1
10/01/2009   11:30              39.0         1
10/01/2009   11:45              39.0         1
10/01/2009   12:00              39.6         1
10/01/2009   12:15              39.6         1
10/01/2009   12:30              39.6         1
10/01/2009   12:45              39.6         1
10/01/2009   13:00              39.6         1
10/01/2009   13:15              39.6         1
10/01/2009   13:30              39.6         1
10/01/2009   13:45              39.6         1
10/01/2009   14:00              39.6         1
10/01/2009   14:15              39.6         1
10/01/2009   14:30              39.6         1
10/01/2009   14:45              39.6         1
10/01/2009   15:00              39.6         1
10/01/2009   15:15              39.6         1
10/01/2009   15:30              39.6         1
10/01/2009   15:45              39.6         1
10/01/2009   16:00              39.6         1
10/01/2009   16:15              39.6         1
10/01/2009   16:30              39.6         1
10/01/2009   16:45              39.6         1
10/01/2009   17:00              39.6         1
10/01/2009   17:15              39.6         1
10/01/2009   17:30              39.6         1
10/01/2009   17:45              39.6         1
10/01/2009   18:00              39.6         1
10/01/2009   18:15              39.6         1
10/01/2009   18:30              39.6         1
10/01/2009   18:45              39.6         1
10/01/2009   19:00              40.1         1
10/01/2009   19:15              40.1         1
10/01/2009   19:30              40.1         1
10/01/2009   19:45              40.1         1
10/01/2009   20:00              40.1         1
10/01/2009   20:15              40.7         1
10/01/2009   20:30              40.7         1
10/01/2009   20:45              40.7         1
10/01/2009   21:00              40.7         1
10/01/2009   21:15              40.7         1
10/01/2009   21:30              40.7         1
10/01/2009   21:45              40.7         1
10/01/2009   22:00              41.2         1
10/01/2009   22:15              41.2         1
10/01/2009   22:30              41.2         1
10/01/2009   22:45              40.7         1
10/01/2009   23:00              41.2         1
10/01/2009   23:15              41.2         1
10/01/2009   23:30              41.2         1
10/01/2009   23:45              41.2         1
10/02/2009   00:00              41.2         1
10/02/2009   00:15              41.2         1
10/02/2009   00:30              41.2         1
10/02/2009   00:45              41.2         1
10/02/2009   01:00              41.2         1
10/02/2009   01:15              41.2         1
10/02/2009   01:30              41.2         1
10/02/2009   01:45              41.2         1
10/02/2009   02:00              41.2         1
10/02/2009   02:15              41.2         1
10/02/2009   02:30              41.8         1
10/02/2009   02:45              42.4         1
10/02/2009   03:00              42.4         1
10/02/2009   03:15              42.4         1
10/02/2009   03:30              42.4         1
10/02/2009   03:45              43.0         1
10/02/2009   04:00              43.0         1
10/02/2009   04:15              43.0         1
10/02/2009   04:30              43.0         1
10/02/2009   04:45              43.0         1
10/02/2009   05:00              43.0         1
10/02/2009   05:15              43.5         1
10/02/2009   05:30              44.1         1
10/02/2009   05:45              44.7         1
10/02/2009   06:00              45.3         1
10/02/2009   06:15              46.0         1
10/02/2009   06:30              46.0         1
10/02/2009   06:45              46.0         1
10/02/2009   07:00              46.0         1
10/02/2009   07:15              46.0         1
10/02/2009   07:30              46.0         1
10/02/2009   07:45              46.0         1
10/02/2009   08:00              46.0         1
10/02/2009   08:15              46.0         1
10/02/2009   08:30              46.6         1
10/02/2009   08:45              46.6         1
10/02/2009   09:00              46.6         1
10/02/2009   09:15              46.6         1
10/02/2009   09:30              47.2         1
10/02/2009   09:45              47.2         1
10/02/2009   10:00              47.9         1
10/02/2009   10:15              48.5         1
10/02/2009   10:30              48.5         1
10/02/2009   10:45              49.1         1
10/02/2009   11:00              49.1         1
10/02/2009   11:15              49.1         1
10/02/2009   11:30              49.8         1
10/02/2009   11:45              49.8         1
10/02/2009   12:00              49.8         1
10/02/2009   12:15              49.8         1
10/02/2009   12:30              49.8         1
10/02/2009   12:45              49.8         1
10/02/2009   13:00              50.5         1
10/02/2009   13:15              50.5         1
10/02/2009   13:30              50.5         1
10/02/2009   13:45              50.5         1
10/02/2009   14:00              50.5         1
10/02/2009   14:15              51.1         1
10/02/2009   14:30              50.5         1
10/02/2009   14:45              51.1         1
10/02/2009   15:00              51.1         1
10/02/2009   15:15              51.1         1
10/02/2009   15:30              51.1         1
10/02/2009   15:45              51.1         1
10/02/2009   16:00              51.1         1
