event,start,end,water_year,hours,peak_inflow_cfs,start_elev_obs_ft,start_elev_rulecurve_ft,elev_offset_day1_ft,storage_rise_acft,max_elev_shifted_ft,hours_above_max_pool,special_release,first_special_release,hours_in_special,peak_release_shifted_cfs,peak_release_observed_cfs,special_release_observed,local_available_pct,peak_downstream_cfs,max_release_24hr_acft,max_downstream_24hr_acft,downstream_24hr_at_peak_release_acft,max_release_minus_downstream_acft,exceeds_downstream,hours_exceeding_downstream,exceeds_downstream_alt,is_annual_max
1,2008-11-03,2008-11-17 23:00:00,2009,360,41614.91,713.96,760.55,46.59,148680.92,773.84,0,True,2008-11-12 00:00:00,68,2299.66,0.00,False,100.00,26592.40,1979.56,47109.04,43486.54,-12308.37,False,0,False,False
2,2009-01-02,2009-01-14 23:00:00,2009,312,70950.03,712.46,745.50,33.04,316116.91,774.89,0,True,2009-01-12 00:00:00,25,74.56,0.00,False,83.01,86101.71,72.04,66086.92,31676.33,-18611.42,False,0,False,True
3,2009-11-15,2009-11-30 23:00:00,2010,384,14811.80,733.79,754.05,20.26,46850.13,758.54,0,False,,0,0.00,0.00,False,100.00,13555.37,0.00,25933.05,14802.93,-14802.93,False,0,False,False
4,2009-12-29,2010-01-12 23:00:00,2010,360,16133.95,726.57,745.50,18.93,63490.65,751.78,0,False,,0,0.00,0.00,False,100.00,12220.57,0.00,24118.59,13852.31,-13718.29,False,0,False,False
5,2010-05-28,2010-06-06 23:00:00,2010,240,19557.32,758.80,777.72,18.92,104459.16,786.67,168,True,2010-05-28 00:00:00,240,11429.81,0.00,False,100.00,15045.50,22370.05,28844.93,23106.47,794.78,True,14,True,True
6,2010-06-09,2010-06-14 23:00:00,2010,144,18946.17,771.86,778.50,6.64,58466.54,783.50,120,True,2010-06-09 00:00:00,144,10957.72,3831.44,True,100.00,11704.76,21623.87,22649.30,17296.62,5299.89,True,57,True,False
7,2011-01-12,2011-01-19 23:00:00,2011,192,28970.16,731.79,745.50,13.71,289921.24,772.64,0,True,2011-01-18 00:00:00,13,550.57,0.00,False,100.00,21711.02,258.94,40727.25,36975.56,-22988.72,False,0,False,True
8,2011-11-22,2011-11-24 23:00:00,2012,72,17634.26,738.83,750.27,11.44,39403.52,754.05,0,False,,0,0.00,0.00,False,100.00,14673.57,0.00,25601.49,10749.48,-10749.48,False,0,False,False
9,2012-02-21,2012-02-24 23:00:00,2012,96,28853.13,738.08,751.09,13.01,63105.66,757.13,0,False,,0,0.00,0.00,False,100.00,19529.83,0.00,34322.22,18386.79,-18386.79,False,0,False,True
10,2013-09-28,2013-10-02 23:00:00,2013,120,14966.30,758.28,778.50,20.22,49445.55,782.73,96,True,2013-09-28 00:00:00,120,7947.20,0.00,False,100.00,20074.02,15064.81,34720.52,30152.05,-6849.92,False,0,True,True
11,2014-03-03,2014-03-12 23:00:00,2014,240,37081.54,728.67,753.92,25.25,278461.69,779.03,48,True,2014-03-08 00:00:00,120,16584.69,0.00,False,100.00,20951.60,31485.39,38611.21,34831.56,-3346.17,False,0,True,True
12,2014-11-21,2014-11-30 23:00:00,2015,240,31168.68,736.21,750.81,14.60,110165.49,761.29,0,False,,0,0.00,0.00,False,100.00,26636.72,0.00,50429.76,17547.61,-17547.61,False,0,False,True
13,2014-12-21,2014-12-23 23:00:00,2015,72,21104.04,738.49,745.50,7.01,21715.03,747.68,0,False,,0,0.00,0.00,False,91.67,26343.65,0.00,47532.06,39358.82,-35703.97,False,0,False,False
14,2015-01-04,2015-01-07 23:00:00,2015,96,19895.43,739.57,745.50,5.93,28986.25,748.41,0,False,,0,0.00,0.00,False,100.00,30885.51,0.00,53648.06,23815.80,-23815.80,False,0,False,False
15,2015-11-13,2015-11-19 23:00:00,2016,168,40949.03,739.75,755.14,15.39,129177.95,767.13,0,False,,0,0.00,0.00,False,100.00,41626.24,0.00,64134.05,17223.44,-17223.44,False,0,False,False
16,2015-12-07,2015-12-11 23:00:00,2016,120,72983.36,739.13,745.50,6.37,246640.14,768.85,0,True,2015-12-09 00:00:00,47,8058.26,565.22,True,100.00,39573.55,13333.56,68878.82,61875.24,-30842.32,False,0,True,True
17,2017-02-08,2017-02-14 23:00:00,2017,168,21890.93,704.96,747.49,42.53,100744.51,757.25,0,False,,0,0.00,0.00,False,100.00,22965.50,0.00,40898.13,20628.90,-16742.74,False,0,False,False
