datetime,inflow_cfs,event,day,elev_obs_ft,elev_rulecurve_ft,elev_shifted_ft,offset_ft,release_shifted_cfs,release_observed_cfs,in_special_release,elev_above_table
2008-10-28 16:00:00,8798.27,1,2008-10-28,718.10,763.79,763.79,45.69,0.00,0.00,False,False
2008-10-28 17:00:00,8772.38,1,2008-10-28,718.10,763.79,763.79,45.69,0.00,0.00,False,False
2008-10-28 18:00:00,8746.49,1,2008-10-28,718.10,763.79,763.79,45.69,0.00,0.00,False,False
2008-10-28 19:00:00,8720.59,1,2008-10-28,718.10,763.79,763.79,45.69,0.00,0.00,False,False
2008-10-28 20:00:00,8694.70,1,2008-10-28,718.10,763.79,763.79,45.69,0.00,0.00,False,False
2008-10-28 21:00:00,8668.81,1,2008-10-28,718.10,763.79,763.79,45.69,0.00,0.00,False,False
2008-10-28 22:00:00,8642.92,1,2008-10-28,718.10,763.79,763.79,45.69,0.00,0.00,False,False
2008-10-28 23:00:00,8617.03,1,2008-10-28,718.10,763.79,763.79,45.69,0.00,0.00,False,False
2008-10-29 00:00:00,8591.14,1,2008-10-29,717.03,763.25,762.72,45.69,0.00,0.00,False,False
2008-10-29 01:00:00,8565.25,1,2008-10-29,717.03,763.25,762.72,45.69,0.00,0.00,False,False
2008-10-29 02:00:00,8539.36,1,2008-10-29,717.03,763.25,762.72,45.69,0.00,0.00,False,False
2008-10-29 03:00:00,8513.47,1,2008-10-29,717.03,763.25,762.72,45.69,0.00,0.00,False,False
2008-10-29 04:00:00,8487.58,1,2008-10-29,717.03,763.25,762.72,45.69,0.00,0.00,False,False
2008-10-29 05:00:00,8461.69,1,2008-10-29,717.03,763.25,762.72,45.69,0.00,0.00,False,False
2008-10-29 06:00:00,8435.80,1,2008-10-29,717.03,763.25,762.72,45.69,0.00,0.00,False,False
2008-10-29 07:00:00,8409.90,1,2008-10-29,717.03,763.25,762.72,45.69,0.00,0.00,False,False
2008-10-29 08:00:00,8384.01,1,2008-10-29,717.03,763.25,762.72,45.69,0.00,0.00,False,False
2008-10-29 09:00:00,8358.12,1,2008-10-29,717.03,763.25,762.72,45.69,0.00,0.00,False,False
2008-10-29 10:00:00,8100.46,1,2008-10-29,717.03,763.25,762.72,45.69,0.00,0.00,False,False
2008-10-29 11:00:00,8079.62,1,2008-10-29,717.03,763.25,762.72,45.69,0.00,0.00,False,False
2008-10-29 12:00:00,8058.78,1,2008-10-29,717.03,763.25,762.72,45.69,0.00,0.00,False,False
2008-10-29 13:00:00,8037.94,1,2008-10-29,717.03,763.25,762.72,45.69,0.00,0.00,False,False
2008-10-29 14:00:00,8017.10,1,2008-10-29,717.03,763.25,762.72,45.69,0.00,0.00,False,False
2008-10-29 15:00:00,7996.26,1,2008-10-29,717.03,763.25,762.72,45.69,0.00,0.00,False,False
2008-10-29 16:00:00,7975.42,1,2008-10-29,717.03,763.25,762.72,45.69,0.00,0.00,False,False
2008-10-29 17:00:00,7954.59,1,2008-10-29,717.03,763.25,762.72,45.69,0.00,0.00,False,False
2008-10-29 18:00:00,7933.75,1,2008-10-29,717.03,763.25,762.72,45.69,0.00,0.00,False,False
2008-10-29 19:00:00,7912.91,1,2008-10-29,717.03,763.25,762.72,45.69,0.00,0.00,False,False
2008-10-29 20:00:00,7892.07,1,2008-10-29,717.03,763.25,762.72,45.69,0.00,0.00,False,False
2008-10-29 21:00:00,7871.23,1,2008-10-29,717.03,763.25,762.72,45.69,0.00,0.00,False,False
2008-10-29 22:00:00,7850.39,1,2008-10-29,717.03,763.25,762.72,45.69,0.00,0.00,False,False
2008-10-29 23:00:00,7829.55,1,2008-10-29,717.03,763.25,762.72,45.69,0.00,0.00,False,False
2008-10-30 00:00:00,7808.71,1,2008-10-30,716.20,762.71,761.89,45.69,0.00,0.00,False,False
2008-10-30 01:00:00,7787.87,1,2008-10-30,716.20,762.71,761.89,45.69,0.00,0.00,False,False
2008-10-30 02:00:00,7767.03,1,2008-10-30,716.20,762.71,761.89,45.69,0.00,0.00,False,False
2008-10-30 03:00:00,7746.19,1,2008-10-30,716.20,762.71,761.89,45.69,0.00,0.00,False,False
2008-10-30 04:00:00,7725.35,1,2008-10-30,716.20,762.71,761.89,45.69,0.00,0.00,False,False
2008-10-30 05:00:00,7704.51,1,2008-10-30,716.20,762.71,761.89,45.69,0.00,0.00,False,False
2008-10-30 06:00:00,7683.67,1,2008-10-30,716.20,762.71,761.89,45.69,0.00,0.00,False,False
2008-10-30 07:00:00,7662.83,1,2008-10-30,716.20,762.71,761.89,45.69,0.00,0.00,False,False
2008-10-30 08:00:00,7641.99,1,2008-10-30,716.20,762.71,761.89,45.69,0.00,0.00,False,False
2008-10-30 09:00:00,7621.15,1,2008-10-30,716.20,762.71,761.89,45.69,0.00,0.00,False,False
2008-10-30 10:00:00,7600.31,1,2008-10-30,716.20,762.71,761.89,45.69,0.00,0.00,False,False
2008-10-30 11:00:00,7579.47,1,2008-10-30,716.20,762.71,761.89,45.69,0.00,0.00,False,False
2008-10-30 12:00:00,7558.63,1,2008-10-30,716.20,762.71,761.89,45.69,0.00,0.00,False,False
