WY,usgs,wcm,obs,delta_wcm_minus_obs,adjusted_peak,adjusted,screen_passed,spread_days,t_usgs,t_wcm,t_obs,low_peak_year,decision,unreg_event,t_unreg_event,unreg_wy_max,t_unreg_wy,unreg_ref,unreg_source,adj_minus_unreg,usgs_minus_unreg,adj_over_unreg,adj_over_unreg_at_flood,usgs_over_unreg,adj_unreg_ratio,unreg_check
1974,68600.0,33207.4,19208.5,13999.0,82599.0,True,True,1.0,1974-01-16,1974-01-15,1974-01-15,False,adjusted +13999 cfs,78663.3,1974-01-16,78663.3,1974-01-16,78663.3,ressim_unreg_por,3935.7,-10063.3,True,True,False,1.1,"*** adjusted 82599 EXCEEDS unreg 78663 by 3936 cfs (5.0%) at a flood peak -- the reservoir cannot raise a flood, so either the adjustment, the ResSim runs or the unregulated record is wrong"
1975,58900.0,57074.8,56713.6,361.3,59261.3,True,True,0.0,1975-01-14,1975-01-14,1975-01-14,False,adjusted +361 cfs,74914.8,1975-01-14,74914.8,1975-01-14,74914.8,ressim_unreg_por,-15653.5,-16014.8,False,False,False,0.8,ok: adjusted 59261 <= unreg 74915
1976,86700.0,75596.9,105149.8,-29553.0,86700.0,False,True,1.0,1975-12-04,1975-12-05,1975-12-05,False,"no adjustment: Obs_RC peak exceeds WCM_RC by 29553 cfs -- observed pool started above the rule curve, so the observed peak is not reduced",136058.8,1975-12-04,136058.8,1975-12-04,136058.8,ressim_unreg_por,-49358.8,-49358.8,False,False,False,0.6,ok: adjusted 86700 <= unreg 136059
1977,15000.0,14186.9,12186.9,2000.0,17000.0,True,True,1.0,1977-03-10,1977-03-09,1977-03-09,True,adjusted +2000 cfs,16107.7,1977-03-10,16853.5,1977-06-01,16107.7,ressim_unreg_por,892.3,-1107.7,True,False,False,1.1,"adjusted 17000 exceeds unreg 16108 by 892 cfs, but the unreg peak is below 20000 cfs -- consistent with minimum release or refill drawdown"
1978,86400.0,79778.4,79778.4,0.0,86400.0,False,True,0.0,1977-12-02,1977-12-02,1977-12-02,False,no adjustment: difference below 1 cfs,148667.3,1977-12-02,148667.3,1977-12-02,148667.3,ressim_unreg_por,-62267.3,-62267.3,False,False,False,0.6,ok: adjusted 86400 <= unreg 148667
1979,39400.0,42971.6,40971.6,2000.0,41400.0,True,True,0.0,1979-02-07,1979-02-07,1979-02-07,False,adjusted +2000 cfs,47879.4,1979-02-07,47879.4,1979-02-07,47879.4,ressim_unreg_por,-6479.4,-8479.4,False,False,False,0.9,ok: adjusted 41400 <= unreg 47879
1980,97000.0,,,,97000.0,False,False,,1980-05-18,,,False,no adjustment: no simulated data within 3 days of the observed peak 1980-05-18 -- the Obs_RC window does not cover this storm,89034.2,1980-05-18,89034.2,1980-05-18,89034.2,ressim_unreg_por,7965.8,7965.8,True,True,True,1.1,"*** adjusted 97000 EXCEEDS unreg 89034 by 7966 cfs (8.9%) at a flood peak -- the reservoir cannot raise a flood, so either the adjustment, the ResSim runs or the unregulated record is wrong"
1981,46900.0,50908.6,39206.0,11702.6,58602.6,True,True,0.0,1980-12-26,1980-12-26,1980-12-26,False,adjusted +11703 cfs,86541.5,1980-12-27,86541.5,1980-12-27,86541.5,ressim_unreg_por,-27938.9,-39641.5,False,False,False,0.7,ok: adjusted 58603 <= unreg 86542
1982,65500.0,64483.2,63822.4,660.8,66160.8,True,True,1.0,1982-01-24,1982-01-24,1982-01-24,False,adjusted +661 cfs,87606.6,1982-01-24,87606.6,1982-01-24,87606.6,ressim_unreg_por,-21445.8,-22106.6,False,False,False,0.8,ok: adjusted 66161 <= unreg 87607
1983,67300.0,59456.9,59456.9,0.0,67300.0,False,True,0.0,1982-12-04,1982-12-04,1982-12-04,False,no adjustment: difference below 1 cfs,86657.1,1982-12-04,86657.1,1982-12-04,86657.1,ressim_unreg_por,-19357.1,-19357.1,False,False,False,0.8,ok: adjusted 67300 <= unreg 86657
1984,49600.0,,,,49600.0,False,False,,1983-11-18,,,False,no adjustment: no simulated data within 3 days of the observed peak 1983-11-18 -- the Obs_RC window does not cover this storm,45710.8,1983-11-17,59787.2,1984-01-25,45710.8,ressim_unreg_por,3889.2,3889.2,True,True,True,1.1,"*** adjusted 49600 EXCEEDS unreg 45711 by 3889 cfs (8.5%) at a flood peak -- the reservoir cannot raise a flood, so either the adjustment, the ResSim runs or the unregulated record is wrong"
1985,23600.0,24934.2,13723.9,11210.3,23600.0,False,False,3.0,1984-11-28,1984-11-28,1984-11-25,False,no adjustment: USGS peak 1984-11-28 outside the Obs_RC window 1984-10-25..1984-11-25,22276.9,1984-11-28,41524.0,1985-06-08,22276.9,ressim_unreg_por,1323.1,1323.1,True,True,True,1.1,"*** adjusted 23600 EXCEEDS unreg 22277 by 1323 cfs (5.9%) at a flood peak -- the reservoir cannot raise a flood, so either the adjustment, the ResSim runs or the unregulated record is wrong"
1986,62700.0,62205.6,60656.6,1549.0,64249.0,True,True,0.0,1986-02-24,1986-02-24,1986-02-24,False,adjusted +1549 cfs,94557.7,1986-02-24,94557.7,1986-02-24,94557.7,ressim_unreg_por,-30308.7,-31857.7,False,False,False,0.7,ok: adjusted 64249 <= unreg 94558
1987,77600.0,73774.7,73059.2,715.5,78315.5,True,True,0.0,1986-11-24,1986-11-24,1986-11-24,False,adjusted +715 cfs,104889.9,1986-11-24,104889.9,1986-11-24,104889.9,ressim_unreg_por,-26574.4,-27289.9,False,False,False,0.7,ok: adjusted 78315 <= unreg 104890
1988,42100.0,52818.0,38879.7,13938.4,56038.4,True,True,0.0,1987-12-10,1987-12-10,1987-12-10,False,adjusted +13938 cfs,69737.5,1987-12-10,69737.5,1987-12-10,69737.5,ressim_unreg_por,-13699.1,-27637.5,False,False,False,0.8,ok: adjusted 56038 <= unreg 69737
1989,23600.0,27469.6,13443.3,14026.3,37626.3,True,True,1.0,1988-11-24,1988-11-23,1988-11-23,False,adjusted +14026 cfs,25978.8,1988-11-23,26022.2,1988-11-06,25978.8,ressim_unreg_por,11647.5,-2378.8,True,True,False,1.4,"*** adjusted 37626 EXCEEDS unreg 25979 by 11648 cfs (44.8%) at a flood peak -- the reservoir cannot raise a flood, so either the adjustment, the ResSim runs or the unregulated record is wrong"
1990,89200.0,84638.7,83907.0,731.7,89931.7,True,True,0.0,1990-01-09,1990-01-09,1990-01-09,False,adjusted +732 cfs,130042.9,1990-01-09,130042.9,1990-01-09,130042.9,ressim_unreg_por,-40111.1,-40842.9,False,False,False,0.7,ok: adjusted 89932 <= unreg 130043
1991,76000.0,62368.5,61083.0,1285.5,77285.5,True,True,0.0,1990-11-25,1990-11-25,1990-11-25,False,adjusted +1285 cfs,108150.0,1990-11-25,108150.0,1990-11-25,108150.0,ressim_unreg_por,-30864.5,-32150.0,False,False,False,0.7,ok: adjusted 77285 <= unreg 108150
1992,27000.0,35102.4,21102.0,14000.4,41000.4,True,True,0.0,1992-01-29,1992-01-29,1992-01-29,False,adjusted +14000 cfs,45876.0,1992-01-29,45876.0,1992-01-29,45876.0,ressim_unreg_por,-4875.6,-18876.0,False,False,False,0.9,ok: adjusted 41000 <= unreg 45876
