WY,usgs,wcm,obs,delta_wcm_minus_obs,adjusted_peak,unreg_ref,unreg_source,adj_minus_unreg,spread_days,t_usgs,t_wcm,t_obs,screen_code,screen_reason
1974,68600.0,33207.4,19208.5,13999.0,82599.0,78663.3,ressim_unreg_por,3935.7,1.0,1974-01-16,1974-01-15,1974-01-15,reg_over_unreg,"regulated peak 82599 exceeds the unregulated peak 78663 by 3936 cfs (5.0%) at or above the reg screening threshold of 60,000 cfs -- a reservoir cannot raise a flood, so the pair is not usable"
1980,97000.0,,,,97000.0,89034.2,ressim_unreg_por,7965.8,,1980-05-18,,,both,"no adjustment: no simulated data within 3 days of the observed peak 1980-05-18 -- the Obs_RC window does not cover this storm; and regulated peak 97000 exceeds the unregulated peak 89034 by 7966 cfs (8.9%) at or above the reg screening threshold of 60,000 cfs -- a reservoir cannot raise a flood, so the pair is not usable"
1984,49600.0,,,,49600.0,45710.8,ressim_unreg_por,3889.2,,1983-11-18,,,different_event,no adjustment: no simulated data within 3 days of the observed peak 1983-11-18 -- the Obs_RC window does not cover this storm
1985,23600.0,24934.2,13723.9,11210.3,23600.0,22276.9,ressim_unreg_por,1323.1,3.0,1984-11-28,1984-11-28,1984-11-25,different_event,no adjustment: USGS peak 1984-11-28 outside the Obs_RC window 1984-10-25..1984-11-25
1994,17300.0,,,,17300.0,16210.1,ressim_unreg_por,1089.9,,1994-01-14,,,different_event,no adjustment: no simulated data within 3 days of the observed peak 1994-01-14 -- the Obs_RC window does not cover this storm
1995,47500.0,,,,47500.0,65354.0,ressim_unreg_por,-17854.0,,1995-02-19,,,different_event,no adjustment: no simulated data within 3 days of the observed peak 1995-02-19 -- the Obs_RC window does not cover this storm
2001,11600.0,,,,11600.0,6637.9,ressim_unreg_por,4962.1,,2000-11-27,,,different_event,no adjustment: no simulated data within 3 days of the observed peak 2000-11-27 -- the Obs_RC window does not cover this storm
2006,56200.0,,,,56200.0,55789.4,ressim_unreg_por,410.6,,2006-01-30,,,different_event,no adjustment: no simulated data within 3 days of the observed peak 2006-01-30 -- the Obs_RC window does not cover this storm
2013,47000.0,51961.0,37703.9,14257.0,61257.0,57713.5,ressim_unreg_por,3543.5,1.0,2012-11-19,2012-11-20,2012-11-20,reg_over_unreg,"regulated peak 61257 exceeds the unregulated peak 57714 by 3544 cfs (6.1%) at or above the reg screening threshold of 60,000 cfs -- a reservoir cannot raise a flood, so the pair is not usable"
2019,26000.0,,,,26000.0,25055.6,ressim_unreg_por,944.4,,2019-02-12,,,different_event,no adjustment: no simulated data within 3 days of the observed peak 2019-02-12 -- the Obs_RC window does not cover this storm
