WY,adjusted_peak
1974,82599
1975,59261
1976,86700
1977,17000
1978,86400
1979,41400
1980,97000
1981,58603
1982,66161
1983,67300
1984,49600
1985,23600
1986,64249
1987,78315
1988,56038
1989,37626
1990,89932
1991,77285
1992,41000
1993,28700
1994,17300
1995,47500
1996,135205
1997,58503
1998,30800
1999,60926
2000,55700
2001,11600
2002,59555
2003,69263
2004,52100
2005,43629
2006,56200
2007,101313
2008,65376
2009,106385
2010,31866
2011,59300
2012,50899
2013,61257
2014,46300
2015,52504
2016,84375
2017,52515
2018,49096
2019,26000
2020,47400
2021,53913
2022,64539
2023,48393
2024,54459
