AEP,cowlitz_unreg_cfs,cowlitz_unreg_computed_cfs,cowlitz_reg_cfs,castle_rock_gage_local_cfs,castle_rock_gage_cfs,castle_rock_gage_lower_cfs,castle_rock_gage_upper_cfs,below_arkansas_creek_local_cfs,below_arkansas_creek_cfs,below_arkansas_creek_lower_cfs,below_arkansas_creek_upper_cfs,below_ostrander_creek_local_cfs,below_ostrander_creek_cfs,below_ostrander_creek_lower_cfs,below_ostrander_creek_upper_cfs,below_coweeman_river_local_cfs,below_coweeman_river_cfs,below_coweeman_river_lower_cfs,below_coweeman_river_upper_cfs
0.99,18564.1,19408.0,18564.1,0.0,18564.1,12588.121,23644.76,265.4384271671135,18829.538427167114,12853.559427167113,23910.198427167114,643.6881858802502,19207.78818588025,13231.809185880249,24288.44818588025,1579.3586416443254,20143.458641644324,14167.479641644324,25224.118641644323
0.95,27040.9,27416.6,27040.9,0.0,27040.9,19919.213,33288.343,386.64378909740844,27427.54378909741,20305.85678909741,33674.98678909741,937.6111885612154,27978.511188561217,20856.824188561215,34225.95418856121,2300.5305451295803,29341.43054512958,22219.74354512958,35588.87354512958
0.9,32572.7,32826.2,32572.7,0.0,32572.7,24617.166,39638.553,465.7401251117069,33038.44012511171,25082.90612511171,40104.293125111704,1129.4198033958892,33702.11980339589,25746.58580339589,40767.97280339589,2771.153744414656,35343.85374441466,27388.319744414657,42409.70674441465
0.8,40487.4,40671.1,40487.4,0.0,40487.4,31146.591,48764.725,578.9083109919571,41066.30831099196,31725.499310991956,49343.63331099196,1403.852654155496,41891.2526541555,32550.443654155497,50168.577654155495,3444.5044504021457,43931.904450402144,34591.09545040214,52209.22945040214
0.5,60529.0,60585.3,50810.668,0.0,50810.668,39577.913,60613.5,865.4727435210009,51676.140743521,40443.385743521,61478.972743521,2098.7714030384273,52909.43940303843,41676.68440303843,62712.27140303843,5149.5628239499565,55960.230823949954,44727.47582394996,65763.06282394996
0.2,89125.5,88922.6,64243.042,0.0,64243.042,49640.519,75204.237,1274.3592493297588,65517.40124932976,50914.87824932976,76478.59624932976,3090.321179624665,67333.36317962466,52730.84017962466,78294.55817962466,7582.437533512066,71825.47953351207,57222.956533512064,82786.67453351206
0.1,108617.5,108041.3,74786.19,0.0,74786.19,57544.719,91369.631,1553.0652368185881,76339.25523681859,59097.78423681859,92922.69623681858,3766.1831992850757,78552.37319928508,61310.902199285076,95135.81419928507,9240.738159070599,84026.92815907061,66785.45715907059,100610.3691590706
0.05,127757.9,126513.9,85560.784,0.0,85560.784,64196.059,112706.78,1826.7438784629132,87387.52787846292,66022.80287846291,114533.52387846292,4429.853905272565,89990.63790527257,68625.91290527256,117136.63390527257,10869.126076854336,96429.91007685434,75065.18507685434,123575.90607685433
0.02,153556.2,150624.7,100670.48,0.0,100670.48,73092.447,143826.52,2195.620375335121,102866.10037533511,75288.06737533511,146022.14037533512,5324.379410187668,105994.85941018767,78416.82641018767,149150.89941018765,13063.94123324397,113734.42123324396,86156.38823324397,156890.46123324396
0.01,174075.0,168883.6,116809.47,0.0,116809.47,83113.677,172351.62,2489.0080428954425,119298.47804289544,85602.68504289543,174840.62804289543,6035.844504021447,122845.31450402144,89149.52150402144,178387.46450402145,14809.597855227883,131619.06785522788,97923.27485522788,187161.21785522788
0.005,195977.2,187282.4,140273.17,0.0,140273.17,98137.163,211030.96,2802.176228775693,143075.3462287757,100939.33922877569,213833.1362287757,6795.277354781055,147068.44735478106,104932.44035478105,217826.23735478104,16672.948561215373,156946.11856121538,114810.11156121537,227703.90856121536
0.002,227899.7,211932.4,178194.07,0.0,178194.07,123407.15,272252.81,3258.6194816800717,181452.68948168008,126665.76948168006,275511.4294816801,7902.152243074174,186096.22224307418,131309.30224307417,280154.96224307414,19388.78591599643,197582.85591599642,142795.93591599644,291641.5959159964
0.001,255074.1,230884.4,213480.93,0.0,213480.93,147270.88,330842.71,3647.1721179624665,217128.10211796247,150918.05211796248,334489.88211796246,8844.392386058982,222325.32238605898,156115.272386059,339687.102386059,21700.674101876677,235181.60410187667,168971.55410187668,352543.3841018767
0.0005,285567.9,250133.5,256185.63,0.0,256185.63,175669.79,403252.98,4083.1871313672923,260268.8171313673,179752.9771313673,407336.16713136726,9901.728793565686,266087.3587935657,185571.5187935657,413154.7087935657,24294.96343163539,280480.5934316354,199964.75343163538,427547.9434316354
0.0002,332739.2,276072.2,328154.25,0.0,328154.25,224273.34,514095.5,4757.6650580875785,332911.91505808756,229031.00505808758,518853.16505808756,11537.337765862378,339691.58776586235,235810.67776586238,525632.8377658624,28308.107095621097,356462.3570956211,252581.4470956211,542403.6070956211
0.0001,374643.0,296087.7,374643.0,0.0,374643.0,251502.41,602654.94,5356.825737265415,379999.8257372654,256859.2357372654,608011.7657372653,12990.302412868632,387633.30241286865,264492.7124128686,615645.2424128685,31873.113136729226,406516.1131367292,283375.52313672926,634528.0531367292
