AEP,cfs_2026,lo_2026,hi_2026,cfs_2009,lo_2009,hi_2009,diff_cfs,diff_pct,bands_overlap
0.99,18830.0,12747.0,24588.0,11500.0,8901.0,14857.0,7330.0,63.7,True
0.95,27428.0,20194.0,34621.0,18600.0,14166.0,24423.0,8828.0,47.5,True
0.9,33038.0,25039.0,41188.0,24700.0,19975.0,30542.0,8338.0,33.8,True
0.8,40453.0,31449.0,49793.0,32900.0,28836.0,37537.0,7553.0,23.0,True
0.5,51676.0,40780.0,61779.0,47300.0,43127.0,51877.0,4376.0,9.3,True
0.2,65517.0,50924.0,76494.0,67800.0,61067.0,75275.0,-2283.0,-3.4,True
0.1,76339.0,59095.0,92933.0,82200.0,71525.0,94469.0,-5861.0,-7.1,True
0.05,87388.0,66090.0,114590.0,98600.0,83830.0,115972.0,-11212.0,-11.4,True
0.02,102866.0,75289.0,146021.0,111000.0,99639.0,123657.0,-8134.0,-7.3,True
0.01,119298.0,85649.0,174266.0,116400.0,100782.0,134438.0,2898.0,2.5,True
0.005,143075.0,100940.0,213826.0,127700.0,110566.0,147489.0,15375.0,12.0,True
0.002,181453.0,126758.0,275503.0,164200.0,142169.0,189645.0,17253.0,10.5,True
0.001,217128.0,150952.0,334545.0,194600.0,168490.0,224756.0,22528.0,11.6,True
0.0005,260269.0,179783.0,407397.0,304900.0,263991.0,352149.0,-44631.0,-14.6,True
0.0002,332912.0,229060.0,518853.0,354940.0,307317.0,409943.0,-22028.0,-6.2,True
0.0001,380000.0,256887.0,608012.0,395800.0,342695.0,457135.0,-15800.0,-4.0,True
