AEP,cfs_2026,lo_2026,hi_2026,cfs_2009,lo_2009,hi_2009,diff_cfs,diff_pct,bands_overlap
0.99,19208.0,13125.0,24966.0,11700.0,9043.0,15137.0,7508.0,64.2,True
0.95,27979.0,20745.0,35172.0,19000.0,14464.0,24959.0,8979.0,47.3,True
0.9,33702.0,25703.0,41852.0,25200.0,20424.0,31093.0,8502.0,33.7,True
0.8,41278.0,32274.0,50618.0,33400.0,29306.0,38066.0,7878.0,23.6,True
0.5,52909.0,42013.0,63012.0,48000.0,43746.0,52668.0,4909.0,10.2,True
0.2,67333.0,52740.0,78310.0,68800.0,61979.0,76372.0,-1467.0,-2.1,True
0.1,78552.0,61308.0,95146.0,83400.0,72614.0,95788.0,-4848.0,-5.8,True
0.05,89991.0,68693.0,117194.0,99900.0,84930.0,117508.0,-9909.0,-9.9,True
0.02,105995.0,78418.0,149150.0,112600.0,100915.0,125639.0,-6605.0,-5.9,True
0.01,122845.0,89196.0,177813.0,118200.0,102350.0,136505.0,4645.0,3.9,True
0.005,147068.0,104933.0,217819.0,129700.0,112307.0,149786.0,17368.0,13.4,True
0.002,186096.0,131402.0,280147.0,166500.0,144173.0,192285.0,19596.0,11.8,True
0.001,222325.0,156149.0,339742.0,197000.0,170583.0,227509.0,25325.0,12.9,True
0.0005,266087.0,185602.0,413216.0,307500.0,266265.0,355121.0,-41413.0,-13.5,True
0.0002,339692.0,235839.0,525633.0,357771.0,309794.0,413178.0,-18079.0,-5.1,True
0.0001,387633.0,264520.0,615645.0,398800.0,345321.0,460561.0,-11167.0,-2.8,True
