AEP,cfs_2026,lo_2026,hi_2026,cfs_2009,lo_2009,hi_2009,diff_cfs,diff_pct,bands_overlap
0.99,18564.0,12482.0,24322.0,11000.0,8516.0,14209.0,7564.0,68.8,True
0.95,27041.0,19807.0,34235.0,18000.0,13638.0,23757.0,9041.0,50.2,True
0.9,32573.0,24573.0,40722.0,24000.0,19370.0,29736.0,8573.0,35.7,True
0.8,39874.0,30871.0,49214.0,32000.0,28031.0,36531.0,7874.0,24.6,True
0.5,50811.0,39914.0,60913.0,46000.0,41910.0,50489.0,4811.0,10.5,True
0.2,64243.0,49650.0,75220.0,66000.0,59442.0,73281.0,-1757.0,-2.7,True
0.1,74786.0,57542.0,91380.0,80000.0,69604.0,91949.0,-5214.0,-6.5,True
0.05,85561.0,64263.0,112764.0,96000.0,81592.0,112953.0,-10439.0,-10.9,True
0.02,100670.0,73093.0,143825.0,108000.0,97207.0,119991.0,-7330.0,-6.8,True
0.01,116809.0,83160.0,171777.0,113000.0,98260.0,129951.0,3809.0,3.4,True
0.005,140273.0,98137.0,211024.0,124000.0,107825.0,142601.0,16273.0,13.1,True
0.002,178194.0,123500.0,272245.0,160000.0,139129.0,184001.0,18194.0,11.4,True
0.001,213481.0,147305.0,330897.0,190000.0,165216.0,218502.0,23481.0,12.4,True
0.0005,256186.0,175700.0,403314.0,300000.0,260868.0,345003.0,-43814.0,-14.6,True
0.0002,328154.0,224302.0,514096.0,349529.0,303936.0,401961.0,-21375.0,-6.1,True
0.0001,374643.0,251530.0,602655.0,390000.0,339128.0,448503.0,-15357.0,-3.9,True
