WY,start,end,hours,max_exceed_cfs,max_exceed_time,reg_at_max,unreg_at_max,unreg_below_low_flow,part_b
1974,1974-01-22 09:00:00,1974-01-24 02:00:00,42,1865.54,1974-01-23 16:00:00,30340.16,28474.62,False,CastleRock_NWS
1974,1974-02-02 15:00:00,1974-02-13 13:00:00,263,9618.88,1974-02-12 21:00:00,17999.46,8380.59,True,CastleRock_NWS
1975,1975-01-21 20:00:00,1975-01-24 11:00:00,64,2630.89,1975-01-22 19:00:00,19976.45,17345.56,True,CastleRock_NWS
1975,1975-01-27 10:00:00,1975-02-03 06:00:00,165,8270.36,1975-02-02 23:00:00,17728.49,9458.13,True,CastleRock_NWS
1976,1975-12-05 07:00:00,1975-12-09 22:00:00,112,42052.75,1975-12-07 17:00:00,88777.16,46724.42,False,CastleRock_NWS
1976,1975-12-11 10:00:00,1975-12-16 16:00:00,127,6981.60,1975-12-16 09:00:00,19173.79,12192.19,True,CastleRock_NWS
1976,1975-12-28 13:00:00,1975-12-30 09:00:00,45,1866.78,1975-12-29 07:00:00,25016.76,23149.98,False,CastleRock_NWS
1976,1975-12-31 01:00:00,1975-12-31 05:00:00,5,513.98,1975-12-31 05:00:00,25969.91,25455.93,False,CastleRock_NWS
1978,1977-12-01 06:00:00,1977-12-01 20:00:00,15,4005.08,1977-12-01 17:00:00,28268.88,24263.80,False,CastleRock_NWS
1978,1977-12-04 14:00:00,1977-12-11 16:00:00,171,30099.58,1977-12-10 17:00:00,51327.60,21228.02,False,CastleRock_NWS
1978,1977-12-18 16:00:00,1977-12-25 22:00:00,175,8242.72,1977-12-25 22:00:00,18295.45,10052.73,True,CastleRock_NWS
1980,1979-12-17 06:00:00,1979-12-17 21:00:00,16,2042.71,1979-12-17 17:00:00,26686.69,24643.97,False,CastleRock_NWS
1980,1979-12-22 01:00:00,1979-12-27 00:00:00,120,7665.33,1979-12-26 17:00:00,17362.46,9697.13,True,CastleRock_NWS
1981,1981-01-01 13:00:00,1981-01-13 22:00:00,298,9820.87,1981-01-13 13:00:00,16044.21,6223.34,True,CastleRock_NWS
1982,1982-01-27 20:00:00,1982-01-30 23:00:00,76,8105.95,1982-01-27 21:00:00,34490.11,26384.16,False,CastleRock_NWS
1983,1982-11-26 13:00:00,1982-12-01 10:00:00,118,4875.93,1982-11-26 14:00:00,14719.62,9843.69,True,CastleRock_NWS
1983,1982-12-06 13:00:00,1982-12-12 10:00:00,142,8556.56,1982-12-12 02:00:00,16642.08,8085.52,True,CastleRock_NWS
1983,1982-12-12 14:00:00,1982-12-12 16:00:00,3,294.31,1982-12-12 15:00:00,8271.12,7976.80,True,CastleRock_NWS
1985,1984-11-14 23:00:00,1984-11-25 06:00:00,248,6806.19,1984-11-15 00:00:00,24069.07,17262.88,True,CastleRock_NWS
1986,1986-03-03 00:00:00,1986-03-04 10:00:00,35,4176.25,1986-03-03 01:00:00,20573.73,16397.48,True,CastleRock_NWS
1987,1986-11-28 23:00:00,1986-12-07 19:00:00,213,9677.33,1986-12-07 10:00:00,18714.54,9037.21,True,CastleRock_NWS
1989,1988-11-27 23:00:00,1988-12-01 09:00:00,83,5765.53,1988-11-28 00:00:00,19442.26,13676.73,True,CastleRock_NWS
1989,1988-12-01 13:00:00,1988-12-01 15:00:00,3,159.26,1988-12-01 14:00:00,11235.62,11076.36,True,CastleRock_NWS
1990,1990-01-14 15:00:00,1990-01-22 00:00:00,178,9057.64,1990-01-21 16:00:00,17597.34,8539.70,True,CastleRock_NWS
1990,1990-01-22 04:00:00,1990-01-22 06:00:00,3,258.62,1990-01-22 05:00:00,10100.92,9842.30,True,CastleRock_NWS
1991,1990-11-28 17:00:00,1990-12-19 14:00:00,502,9081.23,1990-12-17 19:00:00,19134.79,10053.55,True,CastleRock_NWS
1995,1994-12-22 23:00:00,1994-12-26 22:00:00,96,6669.41,1994-12-26 17:00:00,24799.75,18130.34,True,CastleRock_NWS
1996,1996-02-11 03:00:00,1996-02-17 10:00:00,152,28252.12,1996-02-17 03:00:00,49348.19,21096.07,False,CastleRock_NWS
1996,1996-02-21 10:00:00,1996-02-23 07:00:00,46,3022.99,1996-02-23 02:00:00,24674.03,21651.04,False,CastleRock_NWS
1997,1997-01-06 12:00:00,1997-01-18 21:00:00,298,8519.93,1997-01-16 20:00:00,20141.55,11621.62,True,CastleRock_NWS
1997,1997-01-21 10:00:00,1997-01-24 06:00:00,69,4448.76,1997-01-24 06:00:00,22424.00,17975.24,True,CastleRock_NWS
1999,1998-11-30 06:00:00,1998-12-04 03:00:00,94,9763.28,1998-11-30 07:00:00,27423.18,17659.90,True,CastleRock_NWS
1999,1998-12-15 16:00:00,1998-12-18 23:00:00,80,5536.16,1998-12-18 16:00:00,19531.05,13994.89,True,CastleRock_NWS
1999,1998-12-19 02:00:00,1998-12-19 04:00:00,3,220.71,1998-12-19 03:00:00,13442.81,13222.11,True,CastleRock_NWS
2000,1999-11-30 19:00:00,1999-12-10 05:00:00,227,8573.10,1999-11-30 19:00:00,26990.21,18417.11,True,CastleRock_NWS
2000,1999-12-20 17:00:00,1999-12-25 00:00:00,104,6375.87,1999-12-25 00:00:00,18782.23,12406.36,True,CastleRock_NWS
2002,2002-01-06 12:00:00,2002-01-07 00:00:00,13,545.47,2002-01-06 22:00:00,7307.83,6762.36,True,CastleRock_NWS
2002,2002-01-11 13:00:00,2002-01-12 21:00:00,33,2484.09,2002-01-12 21:00:00,22640.44,20156.35,False,CastleRock_NWS
2003,2003-02-04 08:00:00,2003-02-15 10:00:00,267,11533.87,2003-02-13 00:00:00,17972.27,6438.40,True,CastleRock_NWS
2006,2006-01-15 16:00:00,2006-01-17 16:00:00,49,2674.19,2006-01-16 18:00:00,27724.69,25050.49,False,CastleRock_NWS
2006,2006-01-18 06:00:00,2006-01-21 23:00:00,90,4817.35,2006-01-21 23:00:00,26036.95,21219.60,False,CastleRock_NWS
2007,2006-11-12 16:00:00,2006-11-16 09:00:00,90,7127.70,2006-11-12 17:00:00,43295.07,36167.36,False,CastleRock_NWS
2007,2006-11-17 08:00:00,2006-12-04 22:00:00,423,9653.40,2006-12-04 20:00:00,18086.57,8433.17,True,CastleRock_NWS
2009,2009-01-13 22:00:00,2009-01-15 06:00:00,33,6118.74,2009-01-14 20:00:00,28327.39,22208.64,False,CastleRock_NWS
2009,2009-01-15 09:00:00,2009-01-15 11:00:00,3,248.33,2009-01-15 10:00:00,22091.66,21843.32,False,CastleRock_NWS
2010,2009-11-28 00:00:00,2009-12-01 09:00:00,82,5126.96,2009-11-28 00:00:00,23462.68,18335.71,True,CastleRock_NWS
2011,2011-01-22 22:00:00,2011-02-05 09:00:00,324,8489.54,2011-02-03 21:00:00,18858.48,10368.94,True,CastleRock_NWS
2012,2011-12-13 17:00:00,2011-12-14 04:00:00,12,227.80,2011-12-14 01:00:00,2729.77,2501.98,True,CastleRock_NWS
2012,2011-12-14 13:00:00,2011-12-14 15:00:00,3,67.58,2011-12-14 14:00:00,3826.05,3758.46,True,CastleRock_NWS
2012,2011-12-15 18:00:00,2011-12-16 02:00:00,9,65.01,2011-12-16 00:00:00,2847.02,2782.01,True,CastleRock_NWS
2013,2012-11-26 00:00:00,2012-12-01 08:00:00,129,6694.36,2012-11-29 12:00:00,18786.67,12092.31,True,CastleRock_NWS
2013,2012-12-06 11:00:00,2012-12-07 16:00:00,30,2260.44,2012-12-07 11:00:00,26102.68,23842.24,False,CastleRock_NWS
2014,2014-03-14 18:00:00,2014-03-16 00:00:00,31,3048.50,2014-03-15 18:00:00,22432.84,19384.34,True,CastleRock_NWS
2015,2015-01-20 10:00:00,2015-01-22 02:00:00,41,4008.56,2015-01-21 21:00:00,21807.47,17798.91,True,CastleRock_NWS
2016,2015-12-14 12:00:00,2015-12-30 12:00:00,385,9219.45,2015-12-28 21:00:00,21960.77,12741.31,True,CastleRock_NWS
2020,2020-02-04 02:00:00,2020-02-06 14:00:00,61,5858.66,2020-02-05 06:00:00,26681.32,20822.66,False,CastleRock_NWS
2020,2020-02-06 16:00:00,2020-02-06 19:00:00,4,474.39,2020-02-06 18:00:00,35607.93,35133.54,False,CastleRock_NWS
2020,2020-02-11 19:00:00,2020-02-21 06:00:00,228,10143.92,2020-02-20 01:00:00,18311.01,8167.09,True,CastleRock_NWS
2021,2021-01-06 03:00:00,2021-01-08 10:00:00,56,5312.73,2021-01-08 01:00:00,27698.05,22385.32,False,CastleRock_NWS
2021,2021-01-08 13:00:00,2021-01-08 15:00:00,3,288.23,2021-01-08 14:00:00,20812.45,20524.22,False,CastleRock_NWS
2021,2021-01-16 00:00:00,2021-01-16 04:00:00,5,1555.62,2021-01-16 04:00:00,25911.57,24355.96,False,CastleRock_NWS
2022,2022-01-15 23:00:00,2022-01-20 01:00:00,99,6012.97,2022-01-18 22:00:00,20940.74,14927.76,True,CastleRock_NWS
2022,2022-01-21 14:00:00,2022-01-21 16:00:00,3,301.22,2022-01-21 15:00:00,24486.29,24185.06,False,CastleRock_NWS
2022,2022-01-22 03:00:00,2022-01-22 08:00:00,6,941.40,2022-01-22 06:00:00,22861.00,21919.60,False,CastleRock_NWS
