WY,start,end,hours,max_exceed_cfs,max_exceed_time,reg_at_max,unreg_at_max,unreg_below_low_flow,part_b
1802,1801-12-04 02:00:00,1801-12-06 23:00:00,70,82675.29,1801-12-06 18:00:00,122299.33,39624.04,False,CastleRock_NWS
1802,1801-12-08 23:00:00,1801-12-11 05:00:00,55,4499.16,1801-12-10 17:00:00,25727.18,21228.02,False,CastleRock_NWS
1802,1801-12-18 16:00:00,1801-12-21 22:00:00,79,5822.94,1801-12-21 22:00:00,20237.51,14414.57,True,CastleRock_NWS
1803,1802-12-03 20:00:00,1802-12-06 14:00:00,67,92540.81,1802-12-06 09:00:00,141714.41,49173.59,False,CastleRock_NWS
1803,1802-12-08 23:00:00,1802-12-11 05:00:00,55,4499.16,1802-12-10 17:00:00,25727.18,21228.02,False,CastleRock_NWS
1803,1802-12-18 16:00:00,1802-12-21 22:00:00,79,5822.94,1802-12-21 22:00:00,20237.51,14414.57,True,CastleRock_NWS
1804,1803-12-03 13:00:00,1803-12-06 07:00:00,67,103184.70,1803-12-06 03:00:00,171537.33,68352.63,False,CastleRock_NWS
1804,1803-12-08 23:00:00,1803-12-11 05:00:00,55,4499.15,1803-12-10 17:00:00,25727.17,21228.02,False,CastleRock_NWS
1804,1803-12-18 16:00:00,1803-12-21 22:00:00,79,5822.94,1803-12-21 22:00:00,20237.51,14414.57,True,CastleRock_NWS
1805,1804-12-03 08:00:00,1804-12-06 00:00:00,65,114783.66,1804-12-05 20:00:00,217258.39,102474.73,False,CastleRock_NWS
1805,1804-12-08 23:00:00,1804-12-11 05:00:00,55,4499.15,1804-12-10 17:00:00,25727.17,21228.02,False,CastleRock_NWS
1805,1804-12-18 16:00:00,1804-12-21 22:00:00,79,5822.94,1804-12-21 22:00:00,20237.51,14414.57,True,CastleRock_NWS
1805,1805-02-04 04:00:00,1805-02-06 17:00:00,62,15513.33,1805-02-04 05:00:00,21386.26,5872.93,True,CastleRock_NWS
1805,1805-02-12 02:00:00,1805-02-28 22:00:00,405,16048.76,1805-02-25 15:00:00,35460.28,19411.52,True,CastleRock_NWS
1806,1806-02-04 04:00:00,1806-02-06 15:00:00,60,15513.33,1806-02-04 05:00:00,21386.26,5872.93,True,CastleRock_NWS
1806,1806-02-11 00:00:00,1806-02-18 05:00:00,174,30579.53,1806-02-17 00:00:00,52153.90,21574.37,False,CastleRock_NWS
1806,1806-02-21 10:00:00,1806-02-28 22:00:00,181,8530.74,1806-02-27 20:00:00,21688.03,13157.29,True,CastleRock_NWS
1807,1807-02-04 04:00:00,1807-02-06 11:00:00,56,15513.33,1807-02-04 05:00:00,21386.26,5872.93,True,CastleRock_NWS
1807,1807-02-10 11:00:00,1807-02-14 07:00:00,93,57460.96,1807-02-14 01:00:00,80630.23,23169.28,False,CastleRock_NWS
1807,1807-02-14 11:00:00,1807-02-18 05:00:00,91,4306.44,1807-02-17 17:00:00,24292.93,19986.50,True,CastleRock_NWS
1807,1807-02-21 10:00:00,1807-02-28 22:00:00,181,8530.74,1807-02-27 20:00:00,21688.03,13157.29,True,CastleRock_NWS
1808,1808-02-04 04:00:00,1808-02-06 08:00:00,53,15513.33,1808-02-04 05:00:00,21386.26,5872.93,True,CastleRock_NWS
1808,1808-02-10 03:00:00,1808-02-12 12:00:00,58,96636.84,1808-02-12 07:00:00,151580.16,54943.31,False,CastleRock_NWS
1808,1808-02-13 20:00:00,1808-02-18 05:00:00,106,4306.43,1808-02-17 17:00:00,24292.93,19986.50,True,CastleRock_NWS
1808,1808-02-21 10:00:00,1808-02-28 22:00:00,181,8530.74,1808-02-27 20:00:00,21688.03,13157.29,True,CastleRock_NWS
1810,1809-12-17 07:00:00,1809-12-17 20:00:00,14,7595.29,1809-12-17 08:00:00,28804.16,21208.87,False,CastleRock_NWS
1810,1809-12-23 05:00:00,1809-12-26 15:00:00,83,68734.93,1809-12-25 23:00:00,123199.89,54464.96,False,CastleRock_NWS
1810,1810-01-02 04:00:00,1810-01-03 00:00:00,21,1639.35,1810-01-02 17:00:00,24848.21,23208.86,False,CastleRock_NWS
1810,1810-01-07 10:00:00,1810-01-10 22:00:00,85,4547.59,1810-01-10 22:00:00,20902.16,16354.57,True,CastleRock_NWS
1811,1810-12-17 07:00:00,1810-12-17 20:00:00,14,7595.29,1810-12-17 08:00:00,28804.16,21208.87,False,CastleRock_NWS
1811,1810-12-23 04:00:00,1810-12-26 09:00:00,78,78193.40,1810-12-26 03:00:00,136931.39,58737.99,False,CastleRock_NWS
1811,1811-01-02 04:00:00,1811-01-03 00:00:00,21,1639.35,1811-01-02 17:00:00,24848.21,23208.86,False,CastleRock_NWS
1811,1811-01-07 10:00:00,1811-01-10 22:00:00,85,4547.59,1811-01-10 22:00:00,20902.16,16354.57,True,CastleRock_NWS
1812,1811-12-17 07:00:00,1811-12-17 20:00:00,14,7595.29,1811-12-17 08:00:00,28804.16,21208.87,False,CastleRock_NWS
1812,1811-12-23 04:00:00,1811-12-26 02:00:00,71,90663.12,1811-12-25 20:00:00,158876.73,68213.61,False,CastleRock_NWS
1812,1812-01-02 04:00:00,1812-01-03 00:00:00,21,1639.35,1812-01-02 17:00:00,24848.21,23208.86,False,CastleRock_NWS
1812,1812-01-07 10:00:00,1812-01-10 22:00:00,85,4547.59,1812-01-10 22:00:00,20902.16,16354.57,True,CastleRock_NWS
1813,1812-12-17 07:00:00,1812-12-17 20:00:00,14,7595.29,1812-12-17 08:00:00,28804.16,21208.87,False,CastleRock_NWS
1813,1812-12-23 04:00:00,1812-12-25 18:00:00,63,105883.91,1812-12-25 14:00:00,190886.39,85002.48,False,CastleRock_NWS
1813,1813-01-02 04:00:00,1813-01-03 00:00:00,21,1639.35,1813-01-02 17:00:00,24848.21,23208.86,False,CastleRock_NWS
1813,1813-01-07 10:00:00,1813-01-10 22:00:00,85,4547.59,1813-01-10 22:00:00,20902.16,16354.57,True,CastleRock_NWS
1814,1813-12-06 04:00:00,1813-12-09 04:00:00,73,15345.91,1813-12-06 05:00:00,26211.13,10865.22,True,CastleRock_NWS
1814,1813-12-13 01:00:00,1813-12-21 09:00:00,201,27792.14,1813-12-16 01:00:00,56436.82,28644.68,False,CastleRock_NWS
1814,1813-12-23 02:00:00,1813-12-30 22:00:00,189,8147.91,1813-12-30 06:00:00,20449.82,12301.91,True,CastleRock_NWS
