member,period_start,MAY/ELEV_idx,MAY/ELEV_time,MAY/ELEV_val,MOS/ELEV_idx,MOS/ELEV_time,MOS/ELEV_val,MAY/FLOW-LOCAL-SHAPED_idx,MAY/FLOW-LOCAL-SHAPED_time,MAY/FLOW-LOCAL-SHAPED_val,MOS/FLOW-IN-CALC-CLEANED-VOLCOR_idx,MOS/FLOW-IN-CALC-CLEANED-VOLCOR_time,MOS/FLOW-IN-CALC-CLEANED-VOLCOR_val,MAY/FLOW-OUT_PEAKCLEAN_2009_2026_idx,MAY/FLOW-OUT_PEAKCLEAN_2009_2026_time,MAY/FLOW-OUT_PEAKCLEAN_2009_2026_val,MOS/FLOW-OUT_idx,MOS/FLOW-OUT_time,MOS/FLOW-OUT_val,14243000/FLOW-LOCAL_idx,14243000/FLOW-LOCAL_time,14243000/FLOW-LOCAL_val,ZERO/FLOW_idx,ZERO/FLOW_time,ZERO/FLOW_val,14242580/FLOW_idx,14242580/FLOW_time,14242580/FLOW_val,14243000/FLOW_idx,14243000/FLOW_time,14243000/FLOW_val
1,2008-10-28 16:00:00,297952,2008-10-28 16:00:00,423.3441467285156,297904,2008-10-28 16:00:00,719.3499755859375,16,2008-10-28 16:00:00,135.7789764404297,1384,2008-10-28 16:00:00,8798.2666015625,297928,2008-10-28 16:00:00,5717.5,278056,2008-10-28 16:00:00,6290.0,140176,2008-10-28 16:00:00,-193.75,1384,2008-10-28 16:00:00,0.0,140920,2008-10-28 16:00:00,473.75,410752,2008-10-28 16:00:00,6010.0
2,2008-12-23 22:00:00,299302,2008-12-23 22:00:00,423.29376220703125,299254,2008-12-23 22:00:00,712.1799926757812,1366,2008-12-23 22:00:00,538.8173828125,2734,2008-12-23 22:00:00,8080.982421875,299278,2008-12-23 22:00:00,6622.66650390625,279406,2008-12-23 22:00:00,6600.0,141526,2008-12-23 22:00:00,-91.75,2734,2008-12-23 22:00:00,0.0,142270,2008-12-23 22:00:00,1006.75,412102,2008-12-23 22:00:00,7665.0
3,2009-11-07 19:00:00,306955,2009-11-07 19:00:00,422.2250061035156,306907,2009-11-07 19:00:00,734.6699829101562,9019,2009-11-07 19:00:00,1187.0146484375,10387,2009-11-07 19:00:00,11746.36328125,306931,2009-11-07 19:00:00,4880.0,287059,2009-11-07 19:00:00,3740.0,149179,2009-11-07 19:00:00,100.0,10387,2009-11-07 19:00:00,0.0,149923,2009-11-07 19:00:00,1807.5,419755,2009-11-07 19:00:00,6802.5
4,2009-12-21 12:00:00,308004,2009-12-21 12:00:00,420.6608581542969,307956,2009-12-21 12:00:00,722.0,10068,2009-12-21 12:00:00,1586.362060546875,11436,2009-12-21 12:00:00,21554.28125,307980,2009-12-21 12:00:00,6764.625,288108,2009-12-21 12:00:00,4340.0,150228,2009-12-21 12:00:00,1510.0,11436,2009-12-21 12:00:00,0.0,150972,2009-12-21 12:00:00,4415.0,420804,2009-12-21 12:00:00,12550.0
5,2010-05-18 17:00:00,311561,2010-05-18 17:00:00,422.8791809082031,311513,2010-05-18 17:00:00,751.0900268554688,13625,2010-05-18 17:00:00,627.0188598632812,14993,2010-05-18 17:00:00,18709.201171875,311537,2010-05-18 17:00:00,3708.458251953125,291665,2010-05-18 17:00:00,4550.0,153785,2010-05-18 17:00:00,-390.0,14993,2010-05-18 17:00:00,0.0,154529,2010-05-18 17:00:00,2642.5,424361,2010-05-18 17:00:00,6587.5
6,2011-01-01 11:00:00,317027,2011-01-01 11:00:00,424.4466857910156,316979,2011-01-01 11:00:00,736.7899780273438,19091,2011-01-01 11:00:00,653.7105712890625,20459,2011-01-01 11:00:00,9527.41796875,317003,2011-01-01 11:00:00,7859.0,297131,2011-01-01 11:00:00,7980.0,159251,2011-01-01 11:00:00,2387.5,20459,2011-01-01 11:00:00,0.0,159995,2011-01-01 11:00:00,3102.5,429827,2011-01-01 11:00:00,12050.0
7,2011-11-08 14:00:00,324494,2011-11-08 14:00:00,423.9720764160156,324446,2011-11-08 14:00:00,738.0900268554688,26558,2011-11-08 14:00:00,183.96031188964844,27926,2011-11-08 14:00:00,13082.720703125,324470,2011-11-08 14:00:00,4900.0,304598,2011-11-08 14:00:00,10470.0,166718,2011-11-08 14:00:00,189.0,27926,2011-11-08 14:00:00,0.0,167462,2011-11-08 14:00:00,576.0,437294,2011-11-08 14:00:00,5605.0
8,2012-02-07 03:00:00,326667,2012-02-07 03:00:00,423.37164306640625,326619,2012-02-07 03:00:00,739.3300170898438,28731,2012-02-07 03:00:00,745.5703735351562,30099,2012-02-07 03:00:00,6753.78759765625,326643,2012-02-07 03:00:00,8950.3330078125,306771,2012-02-07 03:00:00,12270.0,168891,2012-02-07 03:00:00,2130.0,30099,2012-02-07 03:00:00,0.0,169635,2012-02-07 03:00:00,2355.0,439467,2012-02-07 03:00:00,13300.0
9,2013-09-15 18:00:00,340746,2013-09-15 18:00:00,421.0400085449219,340698,2013-09-15 18:00:00,758.9600219726562,42810,2013-09-15 18:00:00,198.2659912109375,44178,2013-09-15 18:00:00,1766.8909912109375,340722,2013-09-15 18:00:00,3000.0,320850,2013-09-15 18:00:00,0.0,182970,2013-09-15 18:00:00,177.0,44178,2013-09-15 18:00:00,0.0,183714,2013-09-15 18:00:00,533.0,453546,2013-09-15 18:00:00,3762.5
10,2014-02-02 18:00:00,344106,2014-02-02 18:00:00,421.1000061035156,344058,2014-02-02 18:00:00,720.239990234375,46170,2014-02-02 18:00:00,1376.37646484375,47538,2014-02-02 18:00:00,4148.42724609375,344082,2014-02-02 18:00:00,7020.0,324210,2014-02-02 18:00:00,9260.0,186330,2014-02-02 18:00:00,1085.0,47538,2014-02-02 18:00:00,0.0,187074,2014-02-02 18:00:00,2255.0,456906,2014-02-02 18:00:00,10575.0
