AEP,z_target,correlation_r,dirA_cowlitz_reg_cfs,dirA_coweeman_conditional_cfs,dirA_combined_cfs,dirB_cowlitz_reg_conditional_cfs,dirB_coweeman_cfs,dirB_combined_cfs,combined_envelope_cfs,controlling_direction
0.99,-2.3263478740408408,0.6485798778509215,18564.1,2751.7030355420407,21315.803035542038,28992.6092649914,2022.796585452468,31015.405850443865,31015.405850443865,Coweeman
0.95,-1.6448536269514722,0.6485798778509215,27040.9,3244.6560826646423,30285.556082664643,36221.23354756413,2615.2323907138234,38836.46593827795,38836.46593827795,Coweeman
0.9,-1.2815515655446004,0.6485798778509215,32572.7,3541.4717918824326,36114.171791882436,40601.57005193486,2995.7807760085843,43597.350827943446,43597.350827943446,Coweeman
0.8,-0.8416212335729143,0.6485798778509215,40487.4,3933.5585002547205,44420.958500254725,43852.03882290428,3527.9012675036465,47379.94009040792,47379.94009040792,Coweeman
0.5,0.0,0.6485798778509215,50813.189,4808.675650370173,55621.864650370175,50813.18900000004,4808.675650370172,55621.86465037021,55621.86465037021,Coweeman
0.2,0.8416212335729143,0.6485798778509215,64047.213,5863.210858150992,69910.423858151,59043.78030985721,6528.186021899931,65571.96633175714,69910.423858151,Cowlitz
0.1,1.2815515655446004,0.6485798778509215,73702.131,6503.494101305249,80205.62510130524,63863.71096429555,7647.188250973526,71510.89921526908,80205.62510130524,Cowlitz
0.05,1.6448536269514722,0.6485798778509215,83552.855,7078.87729690916,90631.73229690916,68820.12215795596,8707.36745063394,77527.48960858991,90631.73229690916,Cowlitz
0.02,2.0537489106318225,0.6485798778509215,96784.437,7786.362181571218,104570.79918157123,74997.77683151257,10068.473255937231,85066.25008744981,104570.79918157123,Cowlitz
0.01,2.3263478740408408,0.6485798778509215,109522.45,8294.20184577328,117816.65184577327,79719.00651807089,11086.369938437536,90805.37645650843,117816.65184577327,Cowlitz
0.005,2.5758293035489004,0.6485798778509215,128798.28,8787.459441926414,137585.73944192642,84330.78428701647,12103.47664402986,96434.26093104633,137585.73944192642,Cowlitz
0.002,2.878161739095483,0.6485798778509215,160341.68,9421.32407284128,169763.0040728413,90490.46041596745,13455.64538180364,103946.10579777109,169763.0040728413,Cowlitz
0.001,3.090232306167813,0.6485798778509215,189434.07,9893.040290206705,199327.1102902067,95077.72914877406,14488.897371282132,109566.62652005619,199327.1102902067,Cowlitz
0.0005,3.2905267314919255,0.6485798778509215,224427.11,10358.641477627118,234785.7514776271,100379.97409678738,15533.961614658388,115913.93571144577,234785.7514776271,Cowlitz
0.0002,3.540083799206175,0.6485798778509215,282958.57,10968.245286593838,293926.81528659386,108026.53543489342,16936.865334562455,124963.40076945588,293926.81528659386,Cowlitz
0.0001,3.719016485455709,0.6485798778509215,339017.71,11425.865947540733,350443.57594754075,115797.09514440142,18016.26207463031,133813.35721903172,350443.57594754075,Cowlitz
