AEP,cowlitz_alone_cfs,combined_stepped_cfs,combined_80pct_cfs,combined_100pct_cfs,trib_share_of_100pct_pct,method_spread_cfs,uncertainty_band_cfs,band_over_method_spread
0.99,18564.1,21288.1,21288.1,21969.1,15.499041836033339,681.0,14068.337574312445,20.65835179781563
0.95,27040.9,30504.9,30504.9,31370.9,13.802600499188738,866.0,16711.24878289798,19.29705402182215
0.9,32572.7,36532.7,36532.7,37522.7,13.192014433929328,990.0,18611.050016242425,18.799040420446893
0.8,40487.4,45087.4,45087.4,46237.4,12.435820353220553,1150.0,21630.662957687666,18.80927213711971
0.5,50813.189,57133.989,57133.989,58714.189,13.456713163491026,1580.199999999997,25734.659680789962,16.285697810903688
0.2,64047.213,72863.213,72863.213,75067.213,14.680177349863781,2204.0,31521.873273652105,14.302120360096236
0.1,73702.131,84270.131,84270.131,86912.131,15.199259122987101,2642.0,42829.87995273812,16.211158195585966
0.05,83552.855,95872.855,95872.855,98952.855,15.56296682900155,3080.0,65332.44959857766,21.211834285252486
0.02,96784.437,111408.437,111408.437,115064.437,15.886750482253696,3656.0,98046.83923376871,26.818063247748555
0.01,109522.45,119802.45,125970.45,130082.45,15.805360369519486,10280.0,121757.97335749111,11.84416083244077
0.005,128798.28,140263.28,147142.28,151728.28,15.112541973058681,11465.0,154744.9297749604,13.497159160484989
0.002,160341.68,173491.68,181381.68,186641.68,14.091171918298206,13150.0,203703.35660251987,15.490749551522423
0.001,189434.07,203839.07,212482.07,218244.07,13.200816865264654,14405.0,248403.80574608585,17.24427669184907
