AEP,cowlitz_reg_cfs,cowlitz_reg_lower_cfs,cowlitz_reg_upper_cfs,coweeman_cfs,coweeman_lower_cfs,coweeman_upper_cfs,combined_cfs,combined_lower_cfs,combined_upper_cfs,coweeman_pct_of_combined
0.99,18564.1,11619.847,24732.316,2022.796585452468,1637.423389464122,2604.1872335943867,20586.896585452465,13257.270389464122,27336.503233594387,9.825650879704996
0.95,27040.9,18746.161,34623.284,2615.2323907138234,2234.8815368358064,3114.491522869808,29656.132390713825,20981.042536835805,37737.77552286981,8.818521431785646
0.9,32572.7,23312.416,41154.603,2995.7807760085843,2628.0647821694106,3450.688011970491,35568.48077600858,25940.480782169412,44605.29101197049,8.422571643906924
0.8,40487.4,29630.094,50555.479,3527.9012675036465,3166.1250059891745,3943.672193760648,44015.301267503644,32796.21900598917,54499.15119376065,8.015170102012421
0.5,50813.189,37798.776,62798.147,4808.675650370172,4404.127472123106,5222.591540481316,55621.86465037017,42202.9034721231,68020.73854048131,8.645297457387866
0.2,64047.213,47348.818,77770.164,6528.186021899931,5913.3819226625565,7110.789716758435,70575.39902189994,53262.199922662556,84880.95371675843,9.249945607639
0.1,73702.131,54120.387,95468.485,7647.188250973526,6845.418876834416,8419.233535096027,81349.31925097352,60965.80587683442,103887.71853509604,9.400432998561337
0.05,83552.855,58380.249,121799.31,8707.36745063394,7716.970391380038,9700.372487054952,92260.22245063394,66097.21939138004,131499.68248705496,9.437834875471959
0.02,96784.437,62568.665,158022.58,10068.473255937231,8790.782099602915,11401.4609298401,106852.91025593724,71359.44709960291,169424.0409298401,9.422741254141723
0.01,109522.45,67455.314,187199.17,11086.369938437536,9572.487518441398,12739.757039657625,120608.81993843753,77027.8015184414,199938.92703965763,9.192005977752176
0.005,128798.28,76214.469,228500.3,12103.47664402986,10331.07035199566,14098.62029985585,140901.75664402987,86545.53935199566,242598.92029985585,8.590011176800113
0.002,160341.68,91937.064,292518.32,13455.64538180364,11347.99562007845,15964.465790828175,173797.32538180365,103285.05962007845,308482.7857908282,7.7421475573596075
0.001,189434.07,107941.19,352664.55,14488.897371282132,12089.912365230964,17395.942285192126,203922.96737128214,120031.10236523097,370060.49228519213,7.105083629399244
0.0005,224427.11,126345.9,427472.38,15533.961614658388,12839.700249819012,18930.654283163694,239961.07161465837,139185.600249819,446403.0342831637,6.473534023720151
0.0002,282958.57,157731.41,553993.34,16936.865334562455,13824.440514422176,21041.831595620635,299895.43533456244,171555.85051442217,575035.1715956206,5.647590239467212
0.0001,339017.71,188363.95,660114.51,18016.26207463031,14553.275116826668,22757.152253222397,357033.9720746303,202917.22511682668,682871.6622532224,5.04609182424366
