AEP,scaling_factor,cowlitz_reg_cfs,arkansas_cfs_x_factor,ostrander_cfs_x_factor,coweeman_cfs_x_factor,below_arkansas_cfs,below_ostrander_cfs,below_coweeman_cfs,combined_lower_incomplete_band_cfs,combined_upper_incomplete_band_cfs
0.99,0.7999973361045571,18564.1,463.99845494064317,259.99913423398107,1999.9933402613929,19028.098454940642,19288.097589174624,21288.090929436017,13962.809094883412,28031.143486278434
0.95,0.7999853639858603,27040.9,631.9884375488297,351.9935601537785,2479.9546283561667,27672.88843754883,28024.88199770261,30504.83662605878,21849.42112793061,38560.65465048265
0.9,0.7999637054291961,32572.7,743.9662460491525,415.981126823182,2799.8729690021864,33316.66624604915,33732.64737287233,36532.520341874515,26928.566978727125,45539.582113028075
0.8,0.7998910104920524,40487.4,903.8768418560192,495.93242650507244,3199.5640419682095,41391.27684185602,41887.2092683611,45086.77331032931,33901.36109935292,55531.92797216862
0.5,0.7991086897136008,50813.189,1294.5560773360332,704.0147556376824,4315.186924453445,52107.74507733603,52811.759832973716,57126.94675742716,43749.502200297946,69483.34266813207
0.2,0.7928448921284925,64047.213,1823.5432518955329,967.2707683967609,5946.336690963694,65870.75625189554,66838.0270202923,72784.363711256,55525.96135840392,87037.99164285789
0.1,0.7794887929186906,73702.131,2135.799292597212,1145.8485255904752,7015.3991362682145,75837.9302925972,76983.77881818768,83999.1779544559,63681.90450360109,106473.79303573676
0.05,0.7538065995620196,83552.855,2412.1811185984625,1281.4712192554332,7914.969295401205,85965.03611859845,87246.50733785388,95161.47663325508,69088.60285901761,134310.5700504358
0.02,0.6992218464463027,96784.437,2636.066361102561,1405.4359113570683,8740.273080578783,99420.50336110257,100825.93927245964,109566.21235303843,74241.29804961947,171961.49963765836
0.01,0.65,109522.45,2743.0,1456.0,9165.0,112265.45,113721.45,122886.45,79567.8013356824,201930.00990042035
0.005,0.6046818802147074,128798.28,2811.7707429983893,1499.6110629324742,9553.973707392377,131610.0507429984,133109.66180593087,142663.63551332324,88680.76178028081,243940.53772203426
0.002,0.5603251236104679,160341.68,2975.3264063715847,1563.3070948732056,10197.917249710516,163317.00640637157,164880.31350124476,175078.23075095526,105076.24522674714,309156.2840388096
0.001,0.5387039942742193,189434.07,3070.6127673630504,1621.4990227654002,10827.950284911809,192504.68276736306,194126.18179012847,204954.13207504028,121668.42480087813,370357.1264491301
