event_time,cas_peak_cfs,cow_peak_cfs,cas_peak_time,cow_peak_time,lag_peak_hours,lag_xcorr_hours,xcorr_r,ratio_cow_over_cas
2006-11-07 12:00:00,76975.0,7297.5,2006-11-07 12:00:00,2006-11-07 00:00:00,-12.0,-12.0,0.8985938565110423,0.09480350763234817
2006-11-14 13:00:00,42250.0,1895.0,2006-11-11 03:00:00,2006-11-10 21:00:00,-6.0,-3.0,0.8549570501122491,0.04485207100591716
2006-12-15 02:00:00,39425.0,3025.0,2006-12-15 02:00:00,2006-12-14 22:00:00,-4.0,-3.0,0.9697404647242832,0.0767279644895371
2007-01-07 21:00:00,31375.0,3997.5,2007-01-07 21:00:00,2007-01-07 19:00:00,-2.0,-1.0,0.9213499645506873,0.12741035856573704
2007-12-03 17:00:00,64100.0,5292.5,2007-12-03 17:00:00,2007-12-03 08:00:00,-9.0,-8.0,0.986444124400302,0.08256630265210609
2008-11-13 01:00:00,39350.0,7640.0,2008-11-13 01:00:00,2008-11-12 18:00:00,-7.0,-8.0,0.9713980903354864,0.19415501905972046
2009-01-08 06:00:00,104250.0,7810.0,2009-01-08 06:00:00,2009-01-07 07:00:00,-23.0,-16.0,0.9043195815216275,0.07491606714628297
2010-12-13 00:00:00,33050.0,1992.5,2010-12-13 00:00:00,2010-12-14 12:00:00,36.0,-1.0,0.8960935878291667,0.060287443267776096
2011-01-16 20:00:00,45150.0,5372.5,2011-01-16 20:00:00,2011-01-16 13:00:00,-7.0,-4.0,0.9642982185256347,0.1189922480620155
2011-11-23 14:00:00,36575.0,3572.5,2011-11-23 14:00:00,2011-11-23 11:00:00,-3.0,-7.0,0.9785230653862931,0.09767600820232399
2012-01-21 11:00:00,34500.0,3130.0,2012-01-21 11:00:00,2012-01-19 16:00:00,-43.0,-7.0,0.9432345235961388,0.09072463768115942
2012-02-22 16:00:00,32900.0,4940.0,2012-02-22 16:00:00,2012-02-22 08:00:00,-8.0,-6.0,0.9196564226322204,0.15015197568389058
2012-03-15 21:00:00,34350.0,3562.5,2012-03-15 21:00:00,2012-03-15 14:00:00,-7.0,-5.0,0.9145679716016398,0.1037117903930131
2012-11-19 22:00:00,46825.0,5637.5,2012-11-19 22:00:00,2012-11-19 18:00:00,-4.0,-6.0,0.9898096579914915,0.1203950880939669
2012-12-20 15:00:00,31400.0,5100.0,2012-12-20 15:00:00,2012-12-20 12:00:00,-3.0,-2.0,0.8660845967604427,0.1624203821656051
2014-03-06 19:00:00,32175.0,2357.5,2014-03-06 19:00:00,2014-03-06 17:00:00,-2.0,0.0,0.9425586112915847,0.07327117327117327
2014-12-21 07:00:00,30450.0,3597.5,2014-12-21 07:00:00,2014-12-21 03:00:00,-4.0,-4.0,0.9551531947325584,0.11814449917898194
2015-01-05 17:00:00,38025.0,3055.0,2015-01-05 17:00:00,2015-01-05 06:00:00,-11.0,-7.0,0.9817704964537624,0.08034188034188035
2015-11-18 01:00:00,49050.0,6120.0,2015-11-18 01:00:00,2015-11-17 19:00:00,-6.0,-6.0,0.9715418250431146,0.12477064220183487
2015-12-09 08:00:00,83175.0,3370.0,2015-12-09 08:00:00,2015-12-10 12:00:00,28.0,26.0,0.6870680255301566,0.040516982266305984
2015-12-18 16:00:00,35600.0,2485.0,2015-12-18 16:00:00,2015-12-18 12:00:00,-4.0,-4.0,0.9399041027550802,0.06980337078651686
2017-02-09 20:00:00,39850.0,3140.0,2017-02-09 20:00:00,2017-02-09 15:00:00,-5.0,-4.0,0.9740808577897805,0.07879548306148056
2017-03-15 23:00:00,37875.0,3335.0,2017-03-15 23:00:00,2017-03-15 08:00:00,-15.0,8.0,0.6319541923321008,0.08805280528052806
2017-11-23 19:00:00,29975.0,2087.5,2017-11-23 19:00:00,2017-11-23 15:00:00,-4.0,-3.0,0.7293976847911668,0.06964136780650543
2017-12-30 00:00:00,35050.0,3380.0,2017-12-30 00:00:00,2017-12-30 04:00:00,4.0,14.0,0.8088564309806325,0.0964336661911555
