AEP,Value,LowerConf,UpperConf,own_fit_value,own_fit_lower,own_fit_upper,N_systematic,StationSkew,WeightedSkew,Method
0.99,2500.0,2023.7123708336874,3218.548088724244,2022.7965854524678,1637.4233894641204,2604.1872335943867,48,-0.3334804984124749,-0.046461783845773735,CDID3_Table5-2_adopted__own_LP3_MoM_bootstrap_for_band_shape_only
0.95,3100.0,2649.146128960253,3691.8033575827285,2615.232390713824,2234.8815368358046,3114.491522869807,48,-0.3334804984124749,-0.046461783845773735,CDID3_Table5-2_adopted__own_LP3_MoM_bootstrap_for_band_shape_only
0.9,3500.0,3070.393805600204,4031.4725759032344,2995.7807760085843,2628.0647821694083,3450.688011970491,48,-0.3334804984124749,-0.046461783845773735,CDID3_Table5-2_adopted__own_LP3_MoM_bootstrap_for_band_shape_only
0.8,4000.0,3589.811353456083,4471.408800565666,3527.901267503647,3166.1250059891745,3943.6721937606435,48,-0.3334804984124749,-0.046461783845773735,CDID3_Table5-2_adopted__own_LP3_MoM_bootstrap_for_band_shape_only
0.5,5400.0,4945.704405668119,5864.815256655558,4808.675650370173,4404.127472123106,5222.59154048131,48,-0.3334804984124749,-0.046461783845773735,CDID3_Table5-2_adopted__own_LP3_MoM_bootstrap_for_band_shape_only
0.2,7500.0,6793.673506114598,8169.3325981797325,6528.186021899918,5913.381922662551,7110.789716758436,48,-0.3334804984124749,-0.046461783845773735,CDID3_Table5-2_adopted__own_LP3_MoM_bootstrap_for_band_shape_only
0.1,9000.0,8056.395091838682,9908.622532761334,7647.18825097355,6845.418876834416,8419.233535096027,48,-0.3334804984124749,-0.046461783845773735,CDID3_Table5-2_adopted__own_LP3_MoM_bootstrap_for_band_shape_only
0.05,10500.0,9305.704573612691,11697.440321834772,8707.367450633941,7716.970391380052,9700.372487054963,48,-0.3334804984124749,-0.046461783845773735,CDID3_Table5-2_adopted__own_LP3_MoM_bootstrap_for_band_shape_only
0.02,12500.0,10913.747640958289,14154.902933169167,10068.473255937231,8790.782099602926,11401.4609298401,48,-0.3334804984124749,-0.046461783845773735,CDID3_Table5-2_adopted__own_LP3_MoM_bootstrap_for_band_shape_only
0.01,14100.0,12174.595901049832,16202.830616031275,11086.369938437536,9572.487518441398,12739.757039657054,48,-0.3334804984124749,-0.046461783845773735,CDID3_Table5-2_adopted__own_LP3_MoM_bootstrap_for_band_shape_only
0.005,15800.0,13486.283021171972,18404.480571092747,12103.47664402986,10331.07035199566,14098.62029985585,48,-0.3334804984124749,-0.046461783845773735,CDID3_Table5-2_adopted__own_LP3_MoM_bootstrap_for_band_shape_only
0.002,18200.0,15349.209526934139,21593.41073197374,13455.645381803668,11347.995620078473,15964.465790828146,48,-0.3334804984124749,-0.046461783845773735,CDID3_Table5-2_adopted__own_LP3_MoM_bootstrap_for_band_shape_only
0.001,20100.0,16771.96216620306,24132.853658374708,14488.897371282133,12089.912365230988,17395.942285192126,48,-0.3334804984124749,-0.046461783845773735,CDID3_Table5-2_adopted__own_LP3_MoM_bootstrap_for_band_shape_only
0.0005,22200.0,18349.55902536846,27054.304337256868,15533.96161465839,12839.700249819014,18930.6542831637,48,-0.3334804984124749,-0.046461783845773735,CDID3_Table5-2_adopted__own_LP3_MoM_bootstrap_for_band_shape_only
0.0002,25094.810387678797,20483.230312826567,31177.007295677948,16936.86533456246,13824.440514422255,21041.831595620635,48,-0.3334804984124749,-0.046461783845773735,CDID3_Table5-2_adopted__own_LP3_MoM_bootstrap_for_band_shape_only
0.0001,27400.0,22133.322469957086,34610.17436110383,18016.26207463031,14553.275116826668,22757.15225322253,48,-0.3334804984124749,-0.046461783845773735,CDID3_Table5-2_adopted__own_LP3_MoM_bootstrap_for_band_shape_only
