wy,cow_peak_date,cow_peak_cfs,cow_peak_cd,cas_unreg_peak_date,cas_unreg_peak_cfs,days_apart,same_storm,ratio_peak
1950,1950-02-24,7730,,1950-02-25,56126.1484375,1,True,0.1377254669204291
1951,1951-01-02,3390,,1951-02-11,71632.640625,40,False,0.04732479454089649
1952,1951-12-04,3840,,1952-02-04,42301.91015625,62,False,0.09077604263770225
1953,1953-01-22,4910,,1953-02-01,61591.5078125,10,False,0.07971878225399631
1954,1953-12-09,7490,,1953-12-10,76268.4140625,1,True,0.09820579190046011
1955,1954-12-30,4680,,1955-02-08,50747.25,40,False,0.09222174600594121
1956,1955-12-11,5260,,1955-12-12,72252.109375,1,True,0.07280064271479963
1957,1956-12-10,3790,,1956-12-11,44771.78125,1,True,0.08465153483255705
1958,1957-12-19,4690,,1958-04-21,37880.953125,123,False,0.12380892277245202
1959,1958-11-12,4570,,1959-01-24,59913.0,73,False,0.07627726870629079
1960,1959-11-22,3460,,1959-11-24,71567.4375,2,True,0.048346009314641177
1961,1960-11-20,5570,,1960-11-25,67762.40625,5,True,0.08219897002255583
1962,1961-11-22,3630,,1961-12-25,45104.41796875,33,False,0.0804799211136035
1963,1962-11-20,9720,,1962-11-20,74669.0703125,0,True,0.1301743808958717
1964,1964-01-25,6900,,1964-01-26,73136.53125,1,True,0.09434409702059804
1965,1964-12-23,6560,,1964-12-23,87902.8359375,0,True,0.0746278539257168
1966,1966-01-05,3800,,1966-01-06,26628.408203125,1,True,0.14270473739973866
1967,1966-12-04,4150,,1966-12-14,68951.640625,10,False,0.060187110304889865
1968,1968-02-04,3100,,1968-02-20,52152.16015625,16,False,0.059441449610376125
1969,1968-12-03,3500,,1969-01-07,44287.60546875,35,False,0.07902888320457183
1970,1970-01-19,4060,,1970-01-19,50696.3828125,0,True,0.08008460909362831
1971,1971-01-25,6520,,1971-01-26,57062.03125,1,True,0.11426161770222647
1972,1972-01-20,7670,,1972-01-20,90280.2890625,0,True,0.0849576367072789
1973,1972-12-21,4200,,1972-12-27,52753.765625,6,False,0.07961516965169252
1974,1974-01-15,5050,,1974-01-16,78663.3046875,1,True,0.06419765887108059
1975,1975-01-14,6150,,1975-01-14,74914.75,0,True,0.08209331273213887
1976,1975-12-04,6400,,1975-12-04,136058.75,0,True,0.04703850358760462
1977,1977-03-09,1600,,1977-03-10,16107.712890625,1,True,0.09933129618489978
1978,1977-12-02,9940,,1977-12-02,148667.28125,0,True,0.06686071014700821
1979,1979-02-07,5830,,1979-02-07,47879.4140625,0,True,0.12176423028881965
1980,1980-01-14,4210,,1979-12-18,47549.58984375,27,False,0.08853914437189135
1981,1980-12-02,3990,,1980-12-27,86541.5078125,25,False,0.04610504370509346
1982,1982-01-24,6860,,1982-01-24,87606.59375,0,True,0.07830460820764419
1983,1982-12-03,5670,,1982-12-04,86657.1015625,1,True,0.06543029824175006
1984,1984-01-25,3310,,1984-01-25,59787.24609375,0,True,0.055362978164435285
1996,1996-02-08,11700,7,1996-02-09,212245.75,1,True,0.05512477870581625
