event_time,cas_unreg_peak_cfs,cas_reg_peak_cfs,reg_minus_unreg_hours,cow_peak_cfs,cow_peak_time,cow_lead_hours,cow_at_reg_crest_cfs,lag_factor,qual_at_cow_peak,qual_at_reg_crest,censored_in_window,bin
2006-11-07 20:00:00,155017.59375,94856.734375,5.0,7510.0,2006-11-07 00:30:00,-24.5,3100.0,0.41278295605858856,160,160,False,>60k
2006-11-14 21:00:00,35764.1328125,59849.55859375,-72.0,1470.0,2006-11-13 21:15:00,48.25,1200.0,0.8163265306122449,50,50,False,20-40k
2006-11-24 12:00:00,25088.125,27714.095703125,0.0,2280.0,2006-11-24 03:15:00,-8.75,1880.0,0.8245614035087719,50,50,False,20-40k
2006-12-15 14:00:00,63582.2109375,47549.2421875,-5.0,3080.0,2006-12-14 22:45:00,-10.25,2480.0,0.8051948051948052,160,160,False,>60k
2006-12-27 14:00:00,22116.384765625,22116.384765625,0.0,1300.0,2006-12-27 05:30:00,-8.5,1190.0,0.9153846153846154,50,50,False,20-40k
2007-01-08 05:00:00,36569.09375,36569.09375,0.0,4060.0,2007-01-07 18:15:00,-10.75,3080.0,0.7586206896551724,160,160,False,20-40k
2007-02-20 20:00:00,25646.94140625,24216.37109375,0.0,2930.0,2007-02-20 09:45:00,-10.25,2340.0,0.7986348122866894,160,50,False,20-40k
2007-03-12 18:00:00,46512.10546875,31793.392578125,4.0,895.0,2007-03-12 10:00:00,-12.0,765.0,0.8547486033519553,1,1,False,40-60k
2007-03-25 21:00:00,55157.8828125,35964.40234375,1.0,1980.0,2007-03-25 03:15:00,-18.75,1360.0,0.6868686868686869,10,10,False,40-60k
2007-12-04 04:00:00,89748.5078125,61128.6328125,-4.0,5390.0,2007-12-03 08:45:00,-15.25,3050.0,0.5658627087198516,160,160,False,>60k
2008-11-13 15:00:00,62213.4921875,37280.75390625,-6.0,7790.0,2008-11-12 18:30:00,-14.5,2740.0,0.35173299101412064,160,160,False,>60k
2009-01-08 17:00:00,143468.015625,81855.3125,-3.0,8020.0,2009-01-07 07:15:00,-30.75,3120.0,0.38902743142144636,160,160,False,>60k
2009-11-20 01:00:00,23432.091796875,26301.6015625,0.0,1040.0,2009-11-20 18:00:00,17.0,836.0,0.8038461538461539,1,1,False,20-40k
2009-12-22 17:00:00,21393.05078125,21393.05078125,0.0,910.0,2009-12-21 16:15:00,-24.75,735.0,0.8076923076923077,1,1,False,20-40k
