peak_date_cow,peak_time_text_cow,peak_cfs_cow,peak_stamp_cow,has_time_cow,WY,peak_date_cas,peak_time_text_cas,peak_cfs_cas,peak_stamp_cas,has_time_cas,lag_days,both_have_time,lag_hours,same_storm
1950-02-24,,7730,1950-02-24,True,1950,1950-02-25,,54800,1950-02-25,True,-1.0,True,-24.0,True
1951-01-02,,3390,1951-01-02,True,1951,1951-02-12,,67200,1951-02-12,True,-41.0,True,-984.0,False
1951-12-04,,3840,1951-12-04,True,1952,1952-02-04,,41400,1952-02-04,True,-62.0,True,-1488.0,False
1953-01-22,,4910,1953-01-22,True,1953,1953-02-01,,60000,1953-02-01,True,-10.0,True,-240.0,False
1953-12-09,,7490,1953-12-09,True,1954,1953-12-09,,73000,1953-12-09,True,0.0,True,0.0,True
1954-12-30,,4680,1954-12-30,True,1955,1955-02-08,,50100,1955-02-08,True,-40.0,True,-960.0,False
1955-12-11,,5260,1955-12-11,True,1956,1955-12-12,,67400,1955-12-12,True,-1.0,True,-24.0,True
1956-12-10,,3790,1956-12-10,True,1957,1956-12-11,,43200,1956-12-11,True,-1.0,True,-24.0,True
1957-12-19,,4690,1957-12-19,True,1958,1958-04-21,,35200,1958-04-21,True,-123.0,True,-2952.0,False
1958-11-12,,4570,1958-11-12,True,1959,1959-01-24,,57800,1959-01-24,True,-73.0,True,-1752.0,False
1959-11-22,,3460,1959-11-22,True,1960,1959-11-24,,62700,1959-11-24,True,-2.0,True,-48.0,True
1960-11-20,,5570,1960-11-20,True,1961,1960-11-25,,64500,1960-11-25,True,-5.0,True,-120.0,True
1961-11-22,,3630,1961-11-22,True,1962,1961-12-25,,42100,1961-12-25,True,-33.0,True,-792.0,False
1962-11-20,,9720,1962-11-20,True,1963,1962-11-20,,66900,1962-11-20,True,0.0,True,0.0,True
1964-01-25,,6900,1964-01-25,True,1964,1964-01-25,,72600,1964-01-25,True,0.0,True,0.0,True
1964-12-23,,6560,1964-12-23,True,1965,1964-12-23,,83900,1964-12-23,True,0.0,True,0.0,True
1966-01-05,,3800,1966-01-05,True,1966,1966-05-07,,28800,1966-05-07,True,-122.0,True,-2928.0,False
1966-12-04,,4150,1966-12-04,True,1967,1966-12-14,,65000,1966-12-14,True,-10.0,True,-240.0,False
1968-02-04,,3100,1968-02-04,True,1968,1968-02-20,,49500,1968-02-20,True,-16.0,True,-384.0,False
1968-12-03,,3500,1968-12-03,True,1969,1969-01-07,,40300,1969-01-07,True,-35.0,True,-840.0,False
1970-01-19,,4060,1970-01-19,True,1970,1970-01-14,,37900,1970-01-14,True,5.0,True,120.0,True
1971-01-25,,6520,1971-01-25,True,1971,1971-01-26,,50000,1971-01-26,True,-1.0,True,-24.0,True
1972-01-20,,7670,1972-01-20,True,1972,1972-01-20,,81600,1972-01-20,True,0.0,True,0.0,True
1972-12-21,,4200,1972-12-21,True,1973,1972-12-27,,45600,1972-12-27,True,-6.0,True,-144.0,False
1974-01-15,,5050,1974-01-15,True,1974,1974-01-16,,68600,1974-01-16,True,-1.0,True,-24.0,True
1975-01-14,,6150,1975-01-14,True,1975,1975-01-14,,58900,1975-01-14,True,0.0,True,0.0,True
1975-12-04,,6400,1975-12-04,True,1976,1975-12-04,,86700,1975-12-04,True,0.0,True,0.0,True
1977-03-09,,1600,1977-03-09,True,1977,1977-03-10,,15000,1977-03-10,True,-1.0,True,-24.0,True
1977-12-02,,9940,1977-12-02,True,1978,1977-12-02,,86400,1977-12-02,True,0.0,True,0.0,True
1979-02-07,,5830,1979-02-07,True,1979,1979-02-07,,39400,1979-02-07,True,0.0,True,0.0,True
1980-01-14,,4210,1980-01-14,True,1980,1980-05-18,,97000,1980-05-18,True,-125.0,True,-3000.0,False
1980-12-02,,3990,1980-12-02,True,1981,1980-12-26,,46900,1980-12-26,True,-24.0,True,-576.0,False
1982-01-24,,6860,1982-01-24,True,1982,1982-01-24,,65500,1982-01-24,True,0.0,True,0.0,True
1982-12-03,,5670,1982-12-03,True,1983,1982-12-04,,67300,1982-12-04,True,-1.0,True,-24.0,True
1984-01-25,,3310,1984-01-25,True,1984,1983-11-18,,49600,1983-11-18,True,68.0,True,1632.0,False
1996-02-08,,11700,1996-02-08,True,1996,1996-02-08,,112000,1996-02-08,True,0.0,True,0.0,True
