event_time,cas_unreg_peak_cfs,cow_at_cas_peak_cfs,cow_peak_cfs,cow_peak_time,lag_hours,ratio_coincident,ratio_peak,magnitude_bin
2006-11-07 20:00:00,155017.59375,4062.5,7297.5,2006-11-07 00:00:00,-20.0,0.02620670274724865,0.04707530173490388,>60k
2006-11-14 21:00:00,35764.1328125,985.75,1442.5,2006-11-13 21:00:00,-24.0,0.027562530459440314,0.04033370549098925,20-40k
2006-11-24 12:00:00,25088.125,1892.5,2205.0,2006-11-24 03:00:00,-9.0,0.0754340948157744,0.08789018709050597,20-40k
2006-12-15 14:00:00,63582.2109375,2127.5,3025.0,2006-12-14 22:00:00,-16.0,0.0334606168711448,0.04757620025156899,>60k
2006-12-27 14:00:00,22116.384765625,1175.0,1295.0,2006-12-27 07:00:00,-7.0,0.053128032110667384,0.058553873687927034,20-40k
2007-01-08 05:00:00,36569.09375,3060.0,3997.5,2007-01-07 19:00:00,-10.0,0.08367721718561866,0.10931361950964398,20-40k
2007-02-20 20:00:00,25646.94140625,2320.0,2895.0,2007-02-20 09:00:00,-11.0,0.09045912973601719,0.1128789571490387,20-40k
2007-03-12 18:00:00,46512.10546875,803.0,886.0,2007-03-12 10:00:00,-8.0,0.017264322737217522,0.019048804414912482,40-60k
2007-03-25 21:00:00,55157.8828125,1367.5,1967.5,2007-03-25 04:00:00,-17.0,0.024792467191835255,0.03567033213889277,40-60k
2007-12-04 04:00:00,89748.5078125,2780.0,5292.5,2007-12-03 08:00:00,-20.0,0.030975445361252088,0.058970339774973624,>60k
2008-11-13 15:00:00,62213.4921875,2005.0,7640.0,2008-11-12 18:00:00,-21.0,0.03222773597015418,0.12280294404587429,>60k
2009-01-08 17:00:00,143468.015625,2442.5,7810.0,2009-01-07 07:00:00,-34.0,0.01702470051850625,0.05443722049110903,>60k
2009-11-20 01:00:00,23432.091796875,832.0,1032.5,2009-11-20 18:00:00,17.0,0.03550685987458273,0.044063500986185895,20-40k
2009-12-22 17:00:00,21393.05078125,733.75,907.0,2009-12-21 16:00:00,-25.0,0.03429852093106315,0.04239694512364467,20-40k
2010-01-07 01:00:00,24676.197265625,839.0,1102.5,2010-01-05 01:00:00,-48.0,0.03400037659646865,0.04467868319142633,20-40k
2010-11-18 16:00:00,26862.70703125,1575.0,1905.0,2010-11-18 03:00:00,-13.0,0.0586314699470819,0.07091615888837526,20-40k
2010-12-14 23:00:00,48703.48828125,1890.0,1992.5,2010-12-14 12:00:00,-11.0,0.03880625529501584,0.040910827341438666,40-60k
2011-01-17 18:00:00,85794.078125,2765.0,5372.5,2011-01-16 13:00:00,-29.0,0.032228331610154475,0.0626208721792242,>60k
2011-03-11 19:00:00,24643.390625,1472.5,2447.5,2011-03-10 09:00:00,-34.0,0.05975232963706673,0.09931669051729768,20-40k
2011-04-02 01:00:00,37137.05078125,1365.0,2085.0,2011-03-31 09:00:00,-40.0,0.036755745846387196,0.0561433920071189,20-40k
2011-11-23 22:00:00,46709.23046875,2730.0,3572.5,2011-11-23 11:00:00,-11.0,0.05844669185518822,0.07648381196068128,40-60k
2011-12-30 21:00:00,43338.05078125,1902.5,2662.5,2011-12-30 07:00:00,-14.0,0.04389906711778342,0.06143561955379677,40-60k
2012-01-21 19:00:00,32274.716796875,2375.0,2962.5,2012-01-19 19:00:00,-48.0,0.07358701286048029,0.091790116041757,20-40k
2012-01-30 18:00:00,27442.58203125,1360.0,1500.0,2012-01-30 06:00:00,-12.0,0.04955801893755157,0.054659579710534825,20-40k
2012-02-23 16:00:00,44957.94140625,1757.5,4940.0,2012-02-22 08:00:00,-32.0,0.039092092409633204,0.10988047596221225,40-60k
2012-03-16 05:00:00,33460.67578125,2760.0,3562.5,2012-03-15 14:00:00,-15.0,0.08248488518413581,0.10646826212626226,20-40k
2012-03-31 23:00:00,33385.39453125,1870.0,4425.0,2012-03-30 03:00:00,-44.0,0.056012517637004676,0.1325429895955859,20-40k
2012-04-26 01:00:00,31490.60546875,474.25,584.0,2012-04-27 03:00:00,26.0,0.01506004705024254,0.01854521344721485,20-40k
2012-10-30 00:00:00,26287.5546875,1160.0,1870.0,2012-10-29 06:00:00,-18.0,0.04412734519394426,0.07113632371782394,20-40k
2012-11-20 06:00:00,57713.52734375,3062.5,5637.5,2012-11-19 18:00:00,-12.0,0.05306381607485734,0.09768073897861494,40-60k
2012-12-05 14:00:00,32676.6875,1787.5,2017.5,2012-12-04 21:00:00,-17.0,0.05470260717216211,0.061741264318789964,20-40k
2012-12-20 22:00:00,29689.71875,3645.0,5100.0,2012-12-20 12:00:00,-10.0,0.12276977194336003,0.17177663564091525,20-40k
2013-01-31 15:00:00,27159.53125,2140.0,2882.5,2013-01-30 15:00:00,-24.0,0.0787937015665541,0.1061321704512113,20-40k
2013-04-06 22:00:00,32294.4375,506.5,868.0,2013-04-08 01:00:00,27.0,0.01568381551776525,0.026877693720474306,20-40k
2013-11-19 21:00:00,23160.546875,1292.5,1462.5,2013-11-19 11:00:00,-10.0,0.05580610885294564,0.06314617732876827,20-40k
2013-12-02 17:00:00,40306.09765625,1510.0,2462.5,2013-12-01 23:00:00,-18.0,0.03746331418332815,0.0610949742890368,40-60k
2014-01-12 10:00:00,30426.17578125,1730.0,1970.0,2014-01-12 20:00:00,10.0,0.05685893660898735,0.06474688157208386,20-40k
