event_time_unreg,cas_unreg_peak_cfs,reg_peak_time,cas_reg_peak_cfs,lag_reg_vs_unreg_hours,reg_peak_near_window_edge,cow_peak_cfs,cow_at_unreg_peak_cfs,cow_at_reg_peak_cfs,ratio_at_unreg_peak,ratio_at_reg_peak,magnitude_bin
2006-11-07 20:00:00,155017.59375,2006-11-08 01:00:00,94856.734375,5.0,False,7297.5,4062.5,3065.0,0.5566974991435423,0.4200068516615279,>60k
2006-11-14 21:00:00,35764.1328125,2006-11-11 21:00:00,59849.55859375,-72.0,True,1442.5,985.75,1190.0,0.6833622183708838,0.8249566724436742,20-40k
2006-11-24 12:00:00,25088.125,2006-11-24 12:00:00,27714.095703125,0.0,False,2205.0,1892.5,1892.5,0.8582766439909297,0.8582766439909297,20-40k
2006-12-15 14:00:00,63582.2109375,2006-12-15 09:00:00,47549.2421875,-5.0,False,3025.0,2127.5,2457.5,0.7033057851239669,0.812396694214876,>60k
2006-12-27 14:00:00,22116.384765625,2006-12-27 14:00:00,22116.384765625,0.0,False,1295.0,1175.0,1175.0,0.9073359073359073,0.9073359073359073,20-40k
2007-01-08 05:00:00,36569.09375,2007-01-08 05:00:00,36569.09375,0.0,False,3997.5,3060.0,3060.0,0.7654784240150094,0.7654784240150094,20-40k
2007-02-20 20:00:00,25646.94140625,2007-02-20 20:00:00,24216.37109375,0.0,False,2895.0,2320.0,2320.0,0.8013816925734024,0.8013816925734024,20-40k
2007-03-12 18:00:00,46512.10546875,2007-03-12 22:00:00,31793.392578125,4.0,False,886.0,803.0,763.75,0.9063205417607223,0.8620203160270881,40-60k
2007-03-25 21:00:00,55157.8828125,2007-03-25 22:00:00,35964.40234375,1.0,False,1967.5,1367.5,1345.0,0.6950444726810674,0.6836086404066074,40-60k
2007-12-04 04:00:00,89748.5078125,2007-12-04 00:00:00,61128.6328125,-4.0,False,5292.5,2780.0,3002.5,0.5252716107699575,0.567312234293812,>60k
2008-11-13 15:00:00,62213.4921875,2008-11-13 09:00:00,37280.75390625,-6.0,False,7640.0,2005.0,2745.0,0.262434554973822,0.35929319371727747,>60k
2009-01-08 17:00:00,143468.015625,2009-01-08 14:00:00,81855.3125,-3.0,False,7810.0,2442.5,3065.0,0.3127400768245839,0.39244558258642764,>60k
2009-11-20 01:00:00,23432.091796875,2009-11-20 01:00:00,26301.6015625,0.0,False,1032.5,832.0,832.0,0.8058111380145279,0.8058111380145279,20-40k
2009-12-22 17:00:00,21393.05078125,2009-12-22 17:00:00,21393.05078125,0.0,False,907.0,733.75,733.75,0.8089856670341786,0.8089856670341786,20-40k
2010-01-07 01:00:00,24676.197265625,2010-01-07 03:00:00,24679.103515625,2.0,False,1102.5,839.0,827.5,0.7609977324263039,0.7505668934240363,20-40k
2010-11-18 16:00:00,26862.70703125,2010-11-18 16:00:00,29681.599609375,0.0,False,1905.0,1575.0,1575.0,0.8267716535433071,0.8267716535433071,20-40k
2010-12-14 23:00:00,48703.48828125,2010-12-15 02:00:00,41052.40234375,3.0,False,1992.5,1890.0,1837.5,0.9485570890840652,0.9222082810539524,40-60k
