event_time_unreg,cas_unreg_peak_cfs,cas_reg_peak_cfs,reg_peak_time,lag_reg_vs_unreg_hours,efl_peak_cfs,efl_at_unreg_peak_cfs,efl_at_reg_peak_cfs,ratio_at_unreg_peak,ratio_at_reg_peak,magnitude_bin
1995-11-12 02:00:00,55480.29296875,40526.64453125,1995-11-12 02:00:00,0.0,12000.0,5117.5,5117.5,0.42645833333333333,0.42645833333333333,40-60k
1995-11-30 05:00:00,140192.734375,112405.0703125,1995-11-30 23:00:00,18.0,11650.0,6865.0,6170.0,0.5892703862660944,0.5296137339055794,>60k
1995-12-13 16:00:00,50916.4296875,40523.578125,1995-12-14 07:00:00,15.0,4365.0,3362.5,2915.0,0.7703321878579611,0.6678121420389461,40-60k
1996-01-08 06:00:00,49041.125,37786.7578125,1996-01-08 04:00:00,-2.0,4780.0,3997.5,4187.5,0.8362970711297071,0.8760460251046025,40-60k
1996-04-24 06:00:00,49719.6015625,44851.6171875,1996-04-24 03:00:00,-3.0,4182.5,3497.5,3815.0,0.8362223550508069,0.9121338912133892,40-60k
1997-10-31 13:00:00,39508.109375,27518.640625,1997-11-01 06:00:00,17.0,9162.5,3255.0,2212.5,0.35525238744884036,0.24147339699863574,20-40k
1998-11-26 14:00:00,75901.1640625,53768.32421875,1998-11-26 23:00:00,9.0,6125.0,4825.0,3805.0,0.7877551020408163,0.6212244897959184,>60k
1998-12-13 17:00:00,48730.86328125,40507.84375,1998-12-13 15:00:00,-2.0,5550.0,4165.0,4292.5,0.7504504504504504,0.7734234234234234,40-60k
1998-12-30 11:00:00,74826.3828125,52467.83203125,1998-12-28 14:00:00,-45.0,8617.5,6247.5,6632.5,0.7249782419495213,0.7696547722657383,>60k
1999-01-19 08:00:00,40043.57421875,40043.60546875,1999-01-19 08:00:00,0.0,5122.5,4135.0,4135.0,0.8072230356271352,0.8072230356271352,40-60k
1999-02-28 20:00:00,43648.44921875,42148.484375,1999-02-28 20:00:00,0.0,7630.0,4205.0,4205.0,0.5511140235910879,0.5511140235910879,40-60k
1999-11-13 15:00:00,45452.49609375,29672.458984375,1999-11-13 11:00:00,-4.0,3027.5,1657.5,1927.5,0.5474814203137902,0.6366639141205616,40-60k
1999-11-26 17:00:00,82448.6484375,49781.765625,1999-11-26 05:00:00,-12.0,13775.0,5642.5,8782.5,0.40961887477313974,0.6375680580762251,>60k
1999-12-16 17:00:00,49731.59375,42941.07421875,1999-12-16 08:00:00,-9.0,7590.0,7005.0,7447.5,0.9229249011857708,0.9812252964426877,40-60k
2001-11-15 01:00:00,35054.8359375,31108.03515625,2001-11-15 01:00:00,0.0,4012.5,1875.0,1875.0,0.4672897196261682,0.4672897196261682,20-40k
2002-01-08 15:00:00,79466.25,48002.046875,2002-01-08 11:00:00,-4.0,5747.5,3935.0,4260.0,0.6846454980426272,0.7411918225315355,>60k
2002-04-14 20:00:00,50021.89453125,33639.25390625,2002-04-14 15:00:00,-5.0,4302.5,2750.0,3162.5,0.6391632771644393,0.7350377687391052,40-60k
2003-02-01 04:00:00,119348.2421875,62340.5390625,2003-02-01 04:00:00,0.0,13200.0,7105.0,7105.0,0.5382575757575757,0.5382575757575757,>60k
2003-03-14 04:00:00,49812.97265625,36864.58203125,2003-03-13 18:00:00,-10.0,3065.0,2245.0,2550.0,0.732463295269168,0.831973898858075,40-60k
2004-01-30 18:00:00,59490.75390625,48301.234375,2004-01-30 17:00:00,-1.0,9290.0,4880.0,5000.0,0.5252960172228203,0.5382131324004306,40-60k
2004-12-11 20:00:00,44674.515625,33267.0234375,2004-12-11 17:00:00,-3.0,5622.5,3612.5,3970.0,0.642507781236105,0.7060915962650066,40-60k
2005-01-18 22:00:00,58455.47265625,40940.40625,2005-01-18 21:00:00,-1.0,6562.5,3707.5,3822.5,0.564952380952381,0.5824761904761905,40-60k
2005-03-27 20:00:00,33980.86328125,24775.46875,2005-03-27 20:00:00,0.0,6595.0,5437.5,5437.5,0.8244882486732373,0.8244882486732373,20-40k
2005-12-24 16:00:00,38559.3828125,28986.736328125,2005-12-24 14:00:00,-2.0,3735.0,1622.5,1635.0,0.4344042838018742,0.43775100401606426,20-40k
2006-01-11 09:00:00,80138.25,53939.37109375,2006-01-10 23:00:00,-10.0,9117.5,5405.0,6910.0,0.5928160131615026,0.7578831916643817,>60k
2006-01-30 18:00:00,55789.375,53267.54296875,2006-01-30 23:00:00,5.0,5307.5,3985.0,3502.5,0.7508243052284503,0.6599152143193594,40-60k
2006-11-07 20:00:00,155017.59375,94856.734375,2006-11-08 01:00:00,5.0,16525.0,7715.0,5725.0,0.46686838124054464,0.3464447806354009,>60k
2006-11-14 21:00:00,35764.1328125,59849.55859375,2006-11-11 21:00:00,-72.0,3142.5,1945.0,2242.5,0.6189339697692919,0.7136038186157518,20-40k
2006-12-15 14:00:00,63582.2109375,47549.2421875,2006-12-15 09:00:00,-5.0,4872.5,3242.5,3655.0,0.6654694715238584,0.750128270908158,>60k
2007-01-08 05:00:00,36569.09375,36569.09375,2007-01-08 05:00:00,0.0,3897.5,3517.5,3517.5,0.9025016035920462,0.9025016035920462,20-40k
2007-03-12 18:00:00,46512.10546875,31793.392578125,2007-03-12 22:00:00,4.0,3015.0,2765.0,2547.5,0.9170812603648425,0.8449419568822554,40-60k
2007-03-25 21:00:00,55157.8828125,35964.40234375,2007-03-25 22:00:00,1.0,3760.0,2802.5,2765.0,0.745345744680851,0.7353723404255319,40-60k
2007-12-04 04:00:00,89748.5078125,61128.6328125,2007-12-04 00:00:00,-4.0,8892.5,8102.5,8892.5,0.9111610908068597,1.0,>60k
2008-11-13 15:00:00,62213.4921875,37280.75390625,2008-11-13 09:00:00,-6.0,10525.0,3692.5,5095.0,0.3508313539192399,0.4840855106888361,>60k
2009-01-08 17:00:00,143468.015625,81855.3125,2009-01-08 14:00:00,-3.0,11300.0,8262.5,9297.5,0.7311946902654868,0.822787610619469,>60k
2010-12-14 23:00:00,48703.48828125,41052.40234375,2010-12-15 02:00:00,3.0,4760.0,3365.0,3330.0,0.7069327731092437,0.6995798319327731,40-60k
2011-01-17 18:00:00,85794.078125,44599.03515625,2011-01-17 03:00:00,-15.0,13150.0,4950.0,6392.5,0.376425855513308,0.48612167300380227,>60k
2011-04-02 01:00:00,37137.05078125,31245.8046875,2011-04-02 18:00:00,17.0,3657.5,2620.0,2292.5,0.7163362952836637,0.6267942583732058,20-40k
2011-11-23 22:00:00,46709.23046875,38919.890625,2011-11-23 22:00:00,0.0,10575.0,4710.0,4710.0,0.4453900709219858,0.4453900709219858,40-60k
2011-12-30 21:00:00,43338.05078125,38048.3828125,2011-12-30 21:00:00,0.0,5410.0,3835.0,3835.0,0.7088724584103512,0.7088724584103512,40-60k
2012-02-23 16:00:00,44957.94140625,36486.4921875,2012-02-23 23:00:00,7.0,6572.5,2965.0,2582.5,0.45112209965766453,0.3929250665652339,40-60k
2012-03-16 05:00:00,33460.67578125,31975.546875,2012-03-16 05:00:00,0.0,6705.0,5365.0,5365.0,0.8001491424310216,0.8001491424310216,20-40k
2012-03-31 23:00:00,33385.39453125,31915.80859375,2012-03-31 23:00:00,0.0,7495.0,3082.5,3082.5,0.4112741827885257,0.4112741827885257,20-40k
2012-11-20 06:00:00,57713.52734375,51960.9765625,2012-11-20 06:00:00,0.0,7390.0,5930.0,5930.0,0.8024357239512855,0.8024357239512855,40-60k
2012-12-05 14:00:00,32676.6875,30984.822265625,2012-12-05 10:00:00,-4.0,5510.0,4025.0,4470.0,0.7304900181488203,0.8112522686025408,20-40k
2013-12-02 17:00:00,40306.09765625,31339.287109375,2013-12-02 13:00:00,-4.0,6640.0,3527.5,4067.5,0.53125,0.6125753012048193,40-60k
2014-02-17 20:00:00,40949.1796875,39517.3828125,2014-02-17 20:00:00,0.0,5577.5,4237.5,4237.5,0.7597489914836396,0.7597489914836396,40-60k
2014-03-07 02:00:00,58808.3203125,43271.39453125,2014-03-07 02:00:00,0.0,4950.0,3717.5,3717.5,0.751010101010101,0.751010101010101,40-60k
2014-11-26 20:00:00,40981.44921875,30327.9921875,2014-11-26 07:00:00,-13.0,4485.0,2210.0,3040.0,0.4927536231884058,0.6778149386845039,40-60k
2014-12-21 18:00:00,39165.93359375,35173.72265625,2014-12-21 16:00:00,-2.0,4670.0,3270.0,3440.0,0.7002141327623126,0.7366167023554604,20-40k
2015-01-06 00:00:00,46094.0703125,45556.015625,2015-01-05 23:00:00,-1.0,4205.0,3190.0,3280.0,0.7586206896551724,0.7800237812128419,40-60k
2015-01-18 17:00:00,35674.91796875,33448.08203125,2015-01-18 15:00:00,-2.0,4417.5,2935.0,3105.0,0.6644029428409735,0.7028862478777589,20-40k
2015-02-08 11:00:00,40452.1484375,33059.35546875,2015-02-08 12:00:00,1.0,5835.0,2395.0,2360.0,0.4104541559554413,0.40445586975149955,40-60k
2015-11-01 10:00:00,33155.98828125,26019.154296875,2015-11-01 10:00:00,0.0,4707.5,1937.5,1937.5,0.4115772703133298,0.4115772703133298,20-40k
2015-11-18 09:00:00,73657.671875,54907.33984375,2015-11-18 11:00:00,2.0,9337.5,4685.0,4272.5,0.5017402945113788,0.45756358768406963,>60k
2015-12-09 17:00:00,152269.953125,80999.6640625,2015-12-09 15:00:00,-2.0,21775.0,8420.0,9440.0,0.38668197474167626,0.4335246842709529,>60k
2015-12-18 23:00:00,33823.75,36046.296875,2015-12-18 22:00:00,-1.0,5212.5,3570.0,3662.5,0.6848920863309352,0.7026378896882494,20-40k
2016-01-29 16:00:00,33303.4765625,30293.0546875,2016-01-29 01:00:00,-15.0,3470.0,2320.0,2767.5,0.6685878962536023,0.797550432276657,20-40k
2016-02-16 04:00:00,45424.56640625,31188.251953125,2016-02-16 00:00:00,-4.0,4257.5,2585.0,2617.5,0.6071638285378743,0.6147974163241339,40-60k
2017-01-18 23:00:00,35630.72265625,35655.83984375,2017-01-18 23:00:00,0.0,3310.0,3247.5,3247.5,0.9811178247734139,0.9811178247734139,20-40k
2017-02-10 06:00:00,56163.9296875,51716.01953125,2017-02-10 07:00:00,1.0,6110.0,4665.0,4540.0,0.7635024549918167,0.7430441898527005,40-60k
2017-02-17 07:00:00,47256.59375,36675.07421875,2017-02-17 06:00:00,-1.0,6012.5,4560.0,4727.5,0.7584199584199585,0.7862785862785863,40-60k
2017-03-16 05:00:00,68453.03125,47380.05859375,2017-03-16 05:00:00,0.0,9172.5,6400.0,6400.0,0.6977378032161352,0.6977378032161352,>60k
2017-10-22 17:00:00,50814.75390625,39330.390625,2017-10-22 16:00:00,-1.0,10425.0,3892.5,4160.0,0.3733812949640288,0.3990407673860911,40-60k
2017-11-24 04:00:00,57093.3828125,34983.69140625,2017-11-24 02:00:00,-2.0,3240.0,2652.5,2695.0,0.8186728395061729,0.8317901234567902,40-60k
2017-12-30 10:00:00,54858.21484375,45513.8125,2017-12-30 07:00:00,-3.0,9347.5,5145.0,5835.0,0.5504145493447445,0.6242310778282963,40-60k
2019-12-21 22:00:00,62406.05078125,42266.75390625,2019-12-21 10:00:00,-12.0,3912.5,3220.0,3295.0,0.823003194888179,0.8421725239616613,>60k
2020-01-07 18:00:00,44025.34765625,43637.70703125,2020-01-07 18:00:00,0.0,4815.0,3585.0,3585.0,0.7445482866043613,0.7445482866043613,40-60k
2020-01-29 03:00:00,41980.05859375,37804.21484375,2020-01-29 04:00:00,1.0,5720.0,4515.0,4402.5,0.7893356643356644,0.7696678321678322,40-60k
2020-02-08 08:00:00,77812.5390625,51579.59375,2020-02-08 07:00:00,-1.0,7027.5,4610.0,4702.5,0.655994308075418,0.6691568836712913,>60k
2020-12-22 18:00:00,34914.66015625,30625.3828125,2020-12-22 20:00:00,2.0,5567.5,3107.5,2980.0,0.5581499775482712,0.5352492141894926,20-40k
