water_year,peak_time,peak_cfs,inflow_peak_time,inflow_peak_cfs,reg_peak_lag_hours,base_time,base_cfs,trough_smoothed_cfs,base_threshold_cfs,lead_hours,clamped,mos_missing_hours,cas_missing_hours,elev_missing_hours,peak_in_window
1929,1929-03-27 20:00:00,19632.619140625,1929-03-27 12:00:00,19724.60498046875,8,1929-03-20 12:00:00,6130.32421875,5748.407694498698,6423.504576619466,176,none,0,0,25,True
1930,1930-02-08 19:00:00,30534.138671875,1930-02-08 11:00:00,35298.064453125,8,1930-01-31 14:00:00,4260.5579833984375,2945.483408610026,4470.412680562337,197,none,0,0,25,True
1931,1931-04-01 08:00:00,53912.34765625,1931-04-01 14:00:00,71197.765625,-6,1931-03-30 12:00:00,8132.164794921875,6535.005391438802,9746.713984171549,44,none,0,0,25,True
1932,1932-03-06 19:00:00,46263.359375,1932-02-27 01:00:00,56755.8359375,210,1932-02-25 11:00:00,3297.885986328125,3546.009806315104,6193.709055582682,248,none,0,0,25,True
1933,1932-11-15 01:00:00,54418.515625,1932-11-13 23:00:00,48059.892578125,26,1932-11-01 10:00:00,5600.34765625,3843.2164204915366,5958.635551452637,327,none,0,0,25,True
1934,1933-12-24 06:00:00,117935.875,1933-12-22 23:00:00,151983.1953125,31,1933-12-05 15:00:00,8761.15087890625,1866.3864644368489,9147.06004486084,447,none,0,0,25,True
1935,1934-11-07 19:00:00,50743.0390625,1934-11-06 20:00:00,66198.3671875,23,1934-10-21 22:00:00,4402.6513671875,1195.0544993082683,4396.823095957438,405,none,0,0,25,True
1936,1936-01-13 05:00:00,45377.0859375,1936-01-12 21:00:00,48508.4990234375,8,1935-12-26 19:00:00,4799.645263671875,2566.761713663737,4776.479556528728,418,none,0,0,25,True
1937,1937-04-15 16:00:00,40775.28125,1937-04-15 08:00:00,53180.912109375,8,1937-03-31 06:00:00,8332.4326171875,5998.690897623698,8325.506938680013,370,none,0,0,25,True
1938,1937-12-30 08:00:00,58674.5390625,1937-12-30 01:00:00,65906.322265625,7,1937-12-25 16:00:00,10553.91357421875,7835.721272786458,10722.37705485026,112,none,0,0,25,True
1939,1939-02-15 23:00:00,38968.875,1939-02-15 16:00:00,46075.0419921875,7,1939-02-11 11:00:00,5044.46533203125,5105.929926554362,7103.168171437582,108,none,0,0,25,True
1940,1939-12-17 18:00:00,36888.31640625,1939-12-16 23:00:00,44949.40625,19,1939-12-07 20:00:00,4241.147216796875,2122.254353841146,4227.271217854818,238,none,0,0,25,True
1941,1940-11-30 06:00:00,20505.89453125,1940-11-29 21:00:00,28183.009765625,9,1940-11-28 10:00:00,1861.2391967773438,2714.489186604818,3946.332647196452,44,none,0,0,25,True
