water_year,start,mos_missing_hours,cas_missing_hours,coverage_pct
1929,1928-10-01,0,0,100.0
1930,1929-10-01,0,0,100.0
1931,1930-10-01,0,0,100.0
1932,1931-10-01,0,0,100.0
1933,1932-10-01,0,0,100.0
1934,1933-10-01,0,0,100.0
1935,1934-10-01,0,0,100.0
1936,1935-10-01,0,0,100.0
1937,1936-10-01,0,0,100.0
1938,1937-10-01,0,0,100.0
1939,1938-10-01,0,0,100.0
1940,1939-10-01,0,0,100.0
1941,1940-10-01,0,0,100.0
1942,1941-10-01,0,0,100.0
1943,1942-10-01,0,0,100.0
1944,1943-10-01,0,0,100.0
1945,1944-10-01,0,0,100.0
1946,1945-10-01,0,0,100.0
1947,1946-10-01,0,0,100.0
1948,1947-10-01,0,0,100.0
1949,1948-10-01,0,0,100.0
1950,1949-10-01,0,0,100.0
1951,1950-10-01,0,0,100.0
1952,1951-10-01,0,0,100.0
1953,1952-10-01,0,0,100.0
1954,1953-10-01,0,0,100.0
1955,1954-10-01,0,0,100.0
1956,1955-10-01,0,0,100.0
1957,1956-10-01,0,0,100.0
1958,1957-10-01,0,0,100.0
1959,1958-10-01,0,0,100.0
1960,1959-10-01,0,0,100.0
1961,1960-10-01,0,0,100.0
1962,1961-10-01,0,0,100.0
1963,1962-10-01,0,0,100.0
1964,1963-10-01,0,0,100.0
1965,1964-10-01,0,0,100.0
1966,1965-10-01,0,0,100.0
1967,1966-10-01,0,0,100.0
1968,1967-10-01,0,0,100.0
1969,1968-10-01,0,0,100.0
1970,1969-10-01,0,0,100.0
1971,1970-10-01,0,0,100.0
1972,1971-10-01,0,0,100.0
1973,1972-10-01,0,0,100.0
1974,1973-10-01,0,0,100.0
1975,1974-10-01,0,0,100.0
1976,1975-10-01,0,0,100.0
1977,1976-10-01,0,0,100.0
1978,1977-10-01,0,0,100.0
1979,1978-10-01,0,0,100.0
1980,1979-10-01,0,0,100.0
1981,1980-10-01,0,0,100.0
1982,1981-10-01,0,0,100.0
1983,1982-10-01,0,0,100.0
1984,1983-10-01,0,0,100.0
1985,1984-10-01,0,0,100.0
1986,1985-10-01,0,0,100.0
1987,1986-10-01,0,0,100.0
1988,1987-10-01,0,0,100.0
1989,1988-10-01,0,0,100.0
1990,1989-10-01,0,0,100.0
1991,1990-10-01,0,0,100.0
1992,1991-10-01,0,0,100.0
1993,1992-10-01,0,0,100.0
1994,1993-10-01,0,0,100.0
1995,1994-10-01,0,0,100.0
1996,1995-10-01,0,0,100.0
1997,1996-10-01,0,0,100.0
1998,1997-10-01,0,0,100.0
1999,1998-10-01,0,0,100.0
2000,1999-10-01,0,0,100.0
2001,2000-10-01,0,0,100.0
2002,2001-10-01,0,0,100.0
2003,2002-10-01,0,0,100.0
2004,2003-10-01,0,0,100.0
2005,2004-10-01,0,0,100.0
2006,2005-10-01,0,0,100.0
2007,2006-10-01,0,0,100.0
2008,2007-10-01,0,0,100.0
2009,2008-10-01,0,0,100.0
2010,2009-10-01,0,0,100.0
2011,2010-10-01,0,0,100.0
2012,2011-10-01,0,0,100.0
2013,2012-10-01,0,0,100.0
2014,2013-10-01,0,0,100.0
2015,2014-10-01,0,0,100.0
2016,2015-10-01,0,0,100.0
2017,2016-10-01,0,0,100.0
2018,2017-10-01,0,0,100.0
2019,2018-10-01,29,0,99.43
2020,2019-10-01,33,0,99.35
2021,2020-10-01,14,0,99.73
2022,2021-10-01,32,0,99.37
2023,2022-10-01,28,0,99.45
2024,2023-10-01,73,0,98.57
2025,2024-10-01,98,0,98.08
2026,2025-10-01,4,0,99.92
