slot_index,datetime,value,note
0,1974-11-03 00:00:00,-901.0,START
1,1974-11-03 01:00:00,-901.0,START
2,1974-11-03 02:00:00,-901.0,START
3,1974-11-03 03:00:00,-901.0,START
4,1974-11-03 04:00:00,-901.0,START
5,1974-11-03 05:00:00,-901.0,START
6,1974-11-03 06:00:00,-901.0,START
7,1974-11-03 07:00:00,3180.0,START
8,1974-11-03 08:00:00,3195.0,START
9,1974-11-03 09:00:00,3210.0,START
10,1974-11-03 10:00:00,3225.0,START
11,1974-11-03 11:00:00,3240.0,START
12,1974-11-03 12:00:00,3255.0,START
13,1974-11-03 13:00:00,3270.0,START
14,1974-11-03 14:00:00,3285.0,START
15,1974-11-03 15:00:00,3300.0,START
16,1974-11-03 16:00:00,3315.0,START
17,1974-11-03 17:00:00,3330.0,START
18,1974-11-03 18:00:00,3345.0,START
19,1974-11-03 19:00:00,3360.0,START
20,1974-11-03 20:00:00,3375.0,START
21,1974-11-03 21:00:00,3390.0,START
22,1974-11-03 22:00:00,3405.0,START
23,1974-11-03 23:00:00,3420.0,START
24,1974-11-04 00:00:00,3435.0,START
25,1974-11-04 01:00:00,3450.0,START
26,1974-11-04 02:00:00,3465.0,START
27,1974-11-04 03:00:00,3480.0,START
28,1974-11-04 04:00:00,3495.0,START
29,1974-11-04 05:00:00,3510.0,START
451626,2026-05-11 18:00:00,5190.0,END
451627,2026-05-11 19:00:00,5190.0,END
451628,2026-05-11 20:00:00,5180.0,END
451629,2026-05-11 21:00:00,5170.0,END
451630,2026-05-11 22:00:00,5170.0,END
451631,2026-05-11 23:00:00,5180.0,END
451632,2026-05-12 00:00:00,5170.0,END
451633,2026-05-12 01:00:00,5160.0,END
451634,2026-05-12 02:00:00,5140.0,END
451635,2026-05-12 03:00:00,5130.0,END
451636,2026-05-12 04:00:00,5120.0,END
451637,2026-05-12 05:00:00,5130.0,END
451638,2026-05-12 06:00:00,5110.0,END
451639,2026-05-12 07:00:00,5130.0,END
451640,2026-05-12 08:00:00,5120.0,END
451641,2026-05-12 09:00:00,5120.0,END
451642,2026-05-12 10:00:00,5130.0,END
451643,2026-05-12 11:00:00,5140.0,END
451644,2026-05-12 12:00:00,5140.0,END
451645,2026-05-12 13:00:00,5150.0,END
451646,2026-05-12 14:00:00,5490.0,END
451647,2026-05-12 15:00:00,5980.0,END
451648,2026-05-12 16:00:00,6130.0,END
451649,2026-05-12 17:00:00,-901.0,END
451650,2026-05-12 18:00:00,-901.0,END
451651,2026-05-12 19:00:00,-901.0,END
451652,2026-05-12 20:00:00,-901.0,END
451653,2026-05-12 21:00:00,-901.0,END
451654,2026-05-12 22:00:00,-901.0,END
451655,2026-05-12 23:00:00,-901.0,END
297918,2008-10-28 06:00:00,5714.16650390625,PERIOD_1_EXACT
297919,2008-10-28 07:00:00,5714.125,PERIOD_1_EXACT
297920,2008-10-28 08:00:00,5714.08349609375,PERIOD_1_EXACT
297921,2008-10-28 09:00:00,5714.04150390625,PERIOD_1_EXACT
297922,2008-10-28 10:00:00,5714.0,PERIOD_1_EXACT
297923,2008-10-28 11:00:00,5714.58349609375,PERIOD_1_EXACT
297924,2008-10-28 12:00:00,5715.16650390625,PERIOD_1_EXACT
297925,2008-10-28 13:00:00,5715.75,PERIOD_1_EXACT
297926,2008-10-28 14:00:00,5716.33349609375,PERIOD_1_EXACT
297927,2008-10-28 15:00:00,5716.91650390625,PERIOD_1_EXACT
297928,2008-10-28 16:00:00,5717.5,PERIOD_1_EXACT <-- PERIOD START
297929,2008-10-28 17:00:00,5718.08349609375,PERIOD_1_EXACT
297930,2008-10-28 18:00:00,5718.66650390625,PERIOD_1_EXACT
297931,2008-10-28 19:00:00,5719.25,PERIOD_1_EXACT
297932,2008-10-28 20:00:00,5719.83349609375,PERIOD_1_EXACT
297933,2008-10-28 21:00:00,5720.41650390625,PERIOD_1_EXACT
297934,2008-10-28 22:00:00,5721.0,PERIOD_1_EXACT
297935,2008-10-28 23:00:00,5721.58349609375,PERIOD_1_EXACT
297936,2008-10-29 00:00:00,5722.16650390625,PERIOD_1_EXACT
297937,2008-10-29 01:00:00,5722.75,PERIOD_1_EXACT
297938,2008-10-29 02:00:00,5723.33349609375,PERIOD_1_EXACT
297939,2008-10-29 03:00:00,5723.91650390625,PERIOD_1_EXACT
297940,2008-10-29 04:00:00,5724.5,PERIOD_1_EXACT
297941,2008-10-29 05:00:00,5725.08349609375,PERIOD_1_EXACT
297942,2008-10-29 06:00:00,5725.66650390625,PERIOD_1_EXACT
297943,2008-10-29 07:00:00,5726.25,PERIOD_1_EXACT
297944,2008-10-29 08:00:00,5726.83349609375,PERIOD_1_EXACT
297945,2008-10-29 09:00:00,5727.41650390625,PERIOD_1_EXACT
297946,2008-10-29 10:00:00,5728.0,PERIOD_1_EXACT
297947,2008-10-29 11:00:00,5728.16650390625,PERIOD_1_EXACT
299268,2008-12-23 12:00:00,6289.33349609375,PERIOD_2_EXACT
299269,2008-12-23 13:00:00,6322.66650390625,PERIOD_2_EXACT
299270,2008-12-23 14:00:00,6356.0,PERIOD_2_EXACT
299271,2008-12-23 15:00:00,6389.33349609375,PERIOD_2_EXACT
299272,2008-12-23 16:00:00,6422.66650390625,PERIOD_2_EXACT
299273,2008-12-23 17:00:00,6456.0,PERIOD_2_EXACT
299274,2008-12-23 18:00:00,6489.33349609375,PERIOD_2_EXACT
299275,2008-12-23 19:00:00,6522.66650390625,PERIOD_2_EXACT
299276,2008-12-23 20:00:00,6556.0,PERIOD_2_EXACT
299277,2008-12-23 21:00:00,6589.33349609375,PERIOD_2_EXACT
299278,2008-12-23 22:00:00,6622.66650390625,PERIOD_2_EXACT <-- PERIOD START
299279,2008-12-23 23:00:00,6656.0,PERIOD_2_EXACT
299280,2008-12-24 00:00:00,6689.33349609375,PERIOD_2_EXACT
299281,2008-12-24 01:00:00,6722.66650390625,PERIOD_2_EXACT
299282,2008-12-24 02:00:00,6756.0,PERIOD_2_EXACT
299283,2008-12-24 03:00:00,6789.33349609375,PERIOD_2_EXACT
299284,2008-12-24 04:00:00,6822.66650390625,PERIOD_2_EXACT
299285,2008-12-24 05:00:00,6856.0,PERIOD_2_EXACT
299286,2008-12-24 06:00:00,6889.33349609375,PERIOD_2_EXACT
299287,2008-12-24 07:00:00,6922.66650390625,PERIOD_2_EXACT
299288,2008-12-24 08:00:00,6956.0,PERIOD_2_EXACT
299289,2008-12-24 09:00:00,6989.33349609375,PERIOD_2_EXACT
299290,2008-12-24 10:00:00,7022.66650390625,PERIOD_2_EXACT
299291,2008-12-24 11:00:00,7056.0,PERIOD_2_EXACT
299292,2008-12-24 12:00:00,6981.875,PERIOD_2_EXACT
299293,2008-12-24 13:00:00,6907.75,PERIOD_2_EXACT
299294,2008-12-24 14:00:00,6833.625,PERIOD_2_EXACT
299295,2008-12-24 15:00:00,6759.5,PERIOD_2_EXACT
299296,2008-12-24 16:00:00,6685.375,PERIOD_2_EXACT
299297,2008-12-24 17:00:00,6611.25,PERIOD_2_EXACT
306921,2009-11-07 09:00:00,4875.16650390625,PERIOD_3_EXACT
306922,2009-11-07 10:00:00,4876.58349609375,PERIOD_3_EXACT
306923,2009-11-07 11:00:00,4878.0,PERIOD_3_EXACT
306924,2009-11-07 12:00:00,4878.25,PERIOD_3_EXACT
306925,2009-11-07 13:00:00,4878.5,PERIOD_3_EXACT
306926,2009-11-07 14:00:00,4878.75,PERIOD_3_EXACT
306927,2009-11-07 15:00:00,4879.0,PERIOD_3_EXACT
306928,2009-11-07 16:00:00,4879.25,PERIOD_3_EXACT
306929,2009-11-07 17:00:00,4879.5,PERIOD_3_EXACT
306930,2009-11-07 18:00:00,4879.75,PERIOD_3_EXACT
306931,2009-11-07 19:00:00,4880.0,PERIOD_3_EXACT <-- PERIOD START
306932,2009-11-07 20:00:00,4880.25,PERIOD_3_EXACT
306933,2009-11-07 21:00:00,4880.5,PERIOD_3_EXACT
306934,2009-11-07 22:00:00,4880.75,PERIOD_3_EXACT
306935,2009-11-07 23:00:00,4881.0,PERIOD_3_EXACT
306936,2009-11-08 00:00:00,4881.25,PERIOD_3_EXACT
306937,2009-11-08 01:00:00,4881.5,PERIOD_3_EXACT
306938,2009-11-08 02:00:00,4881.75,PERIOD_3_EXACT
306939,2009-11-08 03:00:00,4882.0,PERIOD_3_EXACT
306940,2009-11-08 04:00:00,4882.25,PERIOD_3_EXACT
306941,2009-11-08 05:00:00,4882.5,PERIOD_3_EXACT
306942,2009-11-08 06:00:00,4882.75,PERIOD_3_EXACT
306943,2009-11-08 07:00:00,4883.0,PERIOD_3_EXACT
306944,2009-11-08 08:00:00,4883.25,PERIOD_3_EXACT
306945,2009-11-08 09:00:00,4883.5,PERIOD_3_EXACT
306946,2009-11-08 10:00:00,4883.75,PERIOD_3_EXACT
306947,2009-11-08 11:00:00,4884.0,PERIOD_3_EXACT
306948,2009-11-08 12:00:00,4883.83349609375,PERIOD_3_EXACT
306949,2009-11-08 13:00:00,4883.66650390625,PERIOD_3_EXACT
306950,2009-11-08 14:00:00,4883.5,PERIOD_3_EXACT
307970,2009-12-21 02:00:00,6739.125,PERIOD_4_EXACT
307971,2009-12-21 03:00:00,6741.66650390625,PERIOD_4_EXACT
307972,2009-12-21 04:00:00,6744.20849609375,PERIOD_4_EXACT
307973,2009-12-21 05:00:00,6746.75,PERIOD_4_EXACT
307974,2009-12-21 06:00:00,6749.29150390625,PERIOD_4_EXACT
307975,2009-12-21 07:00:00,6751.83349609375,PERIOD_4_EXACT
307976,2009-12-21 08:00:00,6754.375,PERIOD_4_EXACT
307977,2009-12-21 09:00:00,6756.91650390625,PERIOD_4_EXACT
307978,2009-12-21 10:00:00,6759.45849609375,PERIOD_4_EXACT
307979,2009-12-21 11:00:00,6762.0,PERIOD_4_EXACT
307980,2009-12-21 12:00:00,6764.625,PERIOD_4_EXACT <-- PERIOD START
307981,2009-12-21 13:00:00,6767.25,PERIOD_4_EXACT
307982,2009-12-21 14:00:00,6769.875,PERIOD_4_EXACT
307983,2009-12-21 15:00:00,6772.5,PERIOD_4_EXACT
307984,2009-12-21 16:00:00,6775.125,PERIOD_4_EXACT
307985,2009-12-21 17:00:00,6777.75,PERIOD_4_EXACT
307986,2009-12-21 18:00:00,6780.375,PERIOD_4_EXACT
307987,2009-12-21 19:00:00,6783.0,PERIOD_4_EXACT
307988,2009-12-21 20:00:00,6785.625,PERIOD_4_EXACT
307989,2009-12-21 21:00:00,6788.25,PERIOD_4_EXACT
307990,2009-12-21 22:00:00,6790.875,PERIOD_4_EXACT
307991,2009-12-21 23:00:00,6793.5,PERIOD_4_EXACT
307992,2009-12-22 00:00:00,6796.125,PERIOD_4_EXACT
307993,2009-12-22 01:00:00,6798.75,PERIOD_4_EXACT
307994,2009-12-22 02:00:00,6801.375,PERIOD_4_EXACT
307995,2009-12-22 03:00:00,6804.0,PERIOD_4_EXACT
307996,2009-12-22 04:00:00,6806.625,PERIOD_4_EXACT
307997,2009-12-22 05:00:00,6809.25,PERIOD_4_EXACT
307998,2009-12-22 06:00:00,6811.875,PERIOD_4_EXACT
307999,2009-12-22 07:00:00,6814.5,PERIOD_4_EXACT
311527,2010-05-18 07:00:00,3560.0,PERIOD_5_EXACT
311528,2010-05-18 08:00:00,3560.0,PERIOD_5_EXACT
311529,2010-05-18 09:00:00,3560.0,PERIOD_5_EXACT
311530,2010-05-18 10:00:00,3560.0,PERIOD_5_EXACT
311531,2010-05-18 11:00:00,3581.208251953125,PERIOD_5_EXACT
311532,2010-05-18 12:00:00,3602.416748046875,PERIOD_5_EXACT
311533,2010-05-18 13:00:00,3623.625,PERIOD_5_EXACT
311534,2010-05-18 14:00:00,3644.833251953125,PERIOD_5_EXACT
311535,2010-05-18 15:00:00,3666.041748046875,PERIOD_5_EXACT
311536,2010-05-18 16:00:00,3687.25,PERIOD_5_EXACT
311537,2010-05-18 17:00:00,3708.458251953125,PERIOD_5_EXACT <-- PERIOD START
311538,2010-05-18 18:00:00,3729.666748046875,PERIOD_5_EXACT
311539,2010-05-18 19:00:00,3750.875,PERIOD_5_EXACT
311540,2010-05-18 20:00:00,3772.083251953125,PERIOD_5_EXACT
311541,2010-05-18 21:00:00,3793.291748046875,PERIOD_5_EXACT
311542,2010-05-18 22:00:00,3814.5,PERIOD_5_EXACT
311543,2010-05-18 23:00:00,3835.708251953125,PERIOD_5_EXACT
311544,2010-05-19 00:00:00,3856.916748046875,PERIOD_5_EXACT
311545,2010-05-19 01:00:00,3878.125,PERIOD_5_EXACT
311546,2010-05-19 02:00:00,3899.333251953125,PERIOD_5_EXACT
311547,2010-05-19 03:00:00,3920.541748046875,PERIOD_5_EXACT
311548,2010-05-19 04:00:00,3941.75,PERIOD_5_EXACT
311549,2010-05-19 05:00:00,3962.958251953125,PERIOD_5_EXACT
311550,2010-05-19 06:00:00,3984.166748046875,PERIOD_5_EXACT
311551,2010-05-19 07:00:00,4005.375,PERIOD_5_EXACT
311552,2010-05-19 08:00:00,4026.583251953125,PERIOD_5_EXACT
311553,2010-05-19 09:00:00,4047.791748046875,PERIOD_5_EXACT
311554,2010-05-19 10:00:00,4069.0,PERIOD_5_EXACT
311555,2010-05-19 11:00:00,4050.0,PERIOD_5_EXACT
311556,2010-05-19 12:00:00,4031.0,PERIOD_5_EXACT
316993,2011-01-01 01:00:00,8079.41650390625,PERIOD_6_EXACT
316994,2011-01-01 02:00:00,8057.375,PERIOD_6_EXACT
