year,Coweeman_ppt_mm,Coweeman_cells,CastleRock_ppt_mm,CastleRock_cells,ratio
1950,2449.5347784133182,21,2419.2960802909656,390,1.0124989654506098
1951,2037.6907028924852,21,2010.299732384315,390,1.0136253166962736
1952,1305.0817231677827,21,1173.3826641376202,390,1.1122387973295609
1953,2362.616216750372,21,2388.7557031876004,390,0.9890572793181206
1954,2087.435529436384,21,2000.2024905473759,390,1.043612103925106
1955,2450.893769763765,21,2319.174241912059,390,1.0567958739241208
1956,2171.0518973214284,21,2014.2991930839344,390,1.0778199707251546
1957,1899.8162260509673,21,1809.1149060371595,390,1.050135743015068
1958,2140.5537632533483,21,2116.0843659229768,390,1.011563526352929
1959,2184.891374860491,21,2222.567702699319,390,0.9830482878910416
1960,2151.680838448661,21,2026.2831586788861,390,1.0618855658118052
1961,2371.720040457589,21,2232.4746494391024,390,1.0623726639195976
1962,1860.178699311756,21,1788.267161677434,390,1.0402129721863635
1963,1823.9407958984375,21,1695.7955326960637,390,1.075566458769143
1964,2260.6651669456846,21,2249.035049203726,390,1.0051711589581835
1965,1561.065662202381,21,1561.2930931678186,390,0.9998543316649303
1966,1983.428490048363,21,1833.6766989683495,390,1.0816674996002653
1967,1933.001720610119,21,1897.9148259089543,390,1.0184870755116004
1968,2413.993117559524,21,2283.7361825796274,390,1.057036769821969
1969,1771.6337076822917,21,1627.1275157439402,390,1.0888106128991875
1970,2199.737729027158,21,2025.279350398137,390,1.086140402604078
1971,2558.3612118675596,21,2323.7301814152643,390,1.1009717188031674
1972,2305.0613548642114,21,2415.6078362880608,390,0.9542365777411451
1973,2060.2820579892114,21,1828.8091436924078,390,1.1265702958097936
1974,2378.6622779482886,21,2312.236797939203,390,1.0287278016111014
1975,2396.2652529761904,21,2382.3949400290467,390,1.0058220040322008
1976,1624.3284970238096,21,1603.4982334234776,390,1.0129905123474063
1977,2144.1379278273807,21,2071.0198708558696,390,1.035305338205806
1978,1646.9374476841517,21,1518.5448530148237,390,1.084549754598572
1979,1755.6407819475446,21,1617.8594073955828,390,1.0851627613141992
1980,1913.0388939267114,21,1909.5425202198517,390,1.0018310007081996
1981,1965.0781831287202,21,1936.6138587364783,390,1.0146979865210781
1982,2268.9771496000744,21,2196.60675393129,390,1.0329464504919974
1983,2447.1048816499256,21,2163.7628884339942,390,1.1309487258194901
1984,2174.3931710379466,21,2079.0206959259817,390,1.045873749741335
1985,1432.235871814546,21,1374.918353114984,390,1.041687943556579
1986,1862.0261869884673,21,1826.4376975035057,390,1.0194851921495085
1987,1612.0769217354912,21,1493.4690049391527,390,1.0794177290617228
1988,1880.1035737537202,21,1860.30149614383,390,1.0106445528592742
1989,1539.055931454613,21,1519.445096529447,390,1.0129065768614864
1990,2230.5540364583335,21,2279.133456655649,390,0.9786851357670824
1991,1907.1287027994792,21,1812.580616799379,390,1.0521621411615067
1992,1598.9915538969494,21,1527.8060654860276,390,1.0465932751669476
1993,1579.2293526785713,21,1326.2453076484876,390,1.1907520754803949
1994,1993.081508091518,21,1935.7823448768029,390,1.029600002999491
1995,2284.623738606771,21,2242.7075580303485,390,1.0186899894399228
1996,2771.0767880394346,21,2643.75849609375,390,1.0481580644123893
1997,2390.4667619977677,21,2346.384187199519,390,1.0187874496592404
1998,2192.8992803664432,21,2089.897909780649,390,1.049285359875117
1999,2350.451590401786,21,2254.093797263121,390,1.0427479074986412
2000,1543.4169340587798,21,1475.3289935772236,390,1.0461510217571632
2001,1746.1308419363838,21,1710.1139103816106,390,1.0210611301014072
2002,1724.2782679966517,21,1628.367896446815,390,1.0588996944481148
2003,1977.2679908389136,21,1881.9286001352164,390,1.0506604717611747
2004,1767.3301769438244,21,1690.7196088741987,390,1.045312402877162
2005,1768.5237397693452,21,1643.7152362530048,390,1.0759307334772004
2006,2119.251993815104,21,2151.6390646910054,390,0.9849477212942532
2007,1693.08349609375,21,1701.8732888246193,390,0.9948352249320865
2008,1619.2876557849702,21,1626.2122463128505,390,0.9957418900616567
2009,1640.9415457589287,21,1704.6275936811398,390,0.9626393188997479
2010,2151.468284970238,21,1912.4727146246494,390,1.1249667869862892
2011,1969.3925606863838,21,1865.867628518129,390,1.0554835351586405
2012,2412.449486142113,21,2235.1198990259413,390,1.0793378409782184
2013,1591.9606642950148,21,1613.0077527168469,390,0.9869516507987133
2014,2209.278965541295,21,2181.931032464443,390,1.0125338210373969
2015,1868.4009428478423,21,1880.3787506886017,390,0.9936301089148274
2016,2177.337675548735,21,2110.8457873222155,390,1.031500116505844
2017,2272.902128673735,21,2146.3598939553285,390,1.0589566712808884
2018,1660.329136439732,21,1658.336484781901,390,1.0012015967061674
2019,1431.6316993350074,21,1365.2107506385216,390,1.048652523916487
2020,2136.677536737351,21,2056.913829001402,390,1.0387783419078247
