WY,reg_peak,usgs_peak,adjustment,reg_peak_time,unreg_Peak_1-hr,unreg_Peak_1-hr_centre,unreg_Peak_1-hr_cov,unreg_Peak_1-hr_lag_hrs,unreg_1-Day,unreg_1-Day_centre,unreg_1-Day_cov,unreg_1-Day_lag_hrs,unreg_3-Day,unreg_3-Day_centre,unreg_3-Day_cov,unreg_3-Day_lag_hrs,unreg_5-Day,unreg_5-Day_centre,unreg_5-Day_cov,unreg_5-Day_lag_hrs,mb_One_day,mb_Three_Day,mb_Five_Day,mb_peak_1hr
1974,82599.00,68600.00,13999.00,1974-01-16,78663.30,1974-01-16 10:00:00,1.00,10.00,75039.10,1974-01-16 12:30:00,1.00,12.50,62943.12,1974-01-16 16:30:00,1.00,16.50,52195.86,1974-01-17 11:30:00,1.00,35.50,112486.05,92391.94,74846.36,
1975,59261.30,58900.00,361.30,1975-01-14,74914.75,1975-01-14 16:00:00,1.00,16.00,69795.69,1975-01-14 15:30:00,1.00,15.50,55693.03,1975-01-15 01:30:00,1.00,25.50,50659.93,1975-01-16 10:30:00,1.00,58.50,71250.31,54410.60,50666.43,
1976,86700.00,86700.00,0.00,1975-12-04,136058.75,1975-12-04 05:00:00,1.00,5.00,124288.16,1975-12-04 06:30:00,1.00,6.50,112433.69,1975-12-03 18:30:00,1.00,-5.50,94680.40,1975-12-03 23:30:00,1.00,-0.50,110190.08,106675.92,91422.37,
1978,86400.00,86400.00,0.00,1977-12-02,148667.28,1977-12-02 21:00:00,1.00,21.00,136344.68,1977-12-03 03:30:00,1.00,27.50,99246.07,1977-12-03 12:30:00,1.00,36.50,76360.57,1977-12-04 09:30:00,1.00,57.50,110964.87,94792.65,74568.95,
1979,41400.00,39400.00,2000.00,1979-02-07,47879.41,1979-02-07 12:00:00,1.00,12.00,38296.06,1979-02-07 15:30:00,1.00,15.50,25710.52,1979-02-08 11:30:00,1.00,35.50,23143.91,1979-02-09 12:30:00,1.00,60.50,40506.01,27999.70,25107.43,
1981,58602.60,46900.00,11702.60,1980-12-26,86541.51,1980-12-27 03:00:00,1.00,27.00,83919.68,1980-12-26 23:30:00,1.00,23.50,73115.55,1980-12-26 23:30:00,1.00,23.50,58826.20,1980-12-26 13:30:00,1.00,13.50,86531.93,71889.13,57904.75,
1982,66160.80,65500.00,660.80,1982-01-24,87606.59,1982-01-24 13:00:00,1.00,13.00,72419.26,1982-01-24 12:30:00,1.00,12.50,52333.14,1982-01-25 05:30:00,1.00,29.50,42854.14,1982-01-25 23:30:00,1.00,47.50,77900.31,62871.05,60341.78,
1983,67300.00,67300.00,0.00,1982-12-04,86657.10,1982-12-04 09:00:00,1.00,9.00,74421.97,1982-12-04 10:30:00,1.00,10.50,51143.41,1982-12-04 19:30:00,1.00,19.50,39943.24,1982-12-05 08:30:00,1.00,32.50,72298.06,55965.92,52485.18,
1985,30530.70,23600.00,6930.70,1984-11-28,22276.88,1984-11-28 18:00:00,1.00,18.00,21227.41,1984-11-28 23:30:00,1.00,23.50,18960.69,1984-11-28 19:30:00,1.00,19.50,15987.32,1984-11-27 23:30:00,1.00,-0.50,33097.95,28765.27,23969.17,
1986,64249.00,62700.00,1549.00,1986-02-24,94557.73,1986-02-24 08:00:00,1.00,8.00,81999.80,1986-02-24 13:30:00,1.00,13.50,63964.40,1986-02-25 07:30:00,1.00,31.50,52027.21,1986-02-25 14:30:00,1.00,38.50,83652.25,62162.59,52287.43,
