member,ensemble_f_part,water_year,real_start,real_end,ensemble_start,hours,elev_real_start,elev_ensemble_start,elev_hours,peak_time,peak_cfs,lead_hours,clamped,start_pool_ft,start_rulecurve_ft,start_pool_minus_rc_ft
1,C:000001|,1974,1974-01-13 20:00:00,1974-02-13 19:00:00,1999-10-01,744,1974-01-12 20:00:00,1999-09-30,768,1974-01-19 08:00:00,58506.0,132,none,729.57,745.5,-15.93
2,C:000002|,1975,1975-01-12 13:00:00,1975-02-12 12:00:00,1999-10-01,744,1975-01-11 13:00:00,1999-09-30,768,1975-01-14 23:00:00,65453.7,58,none,739.21,745.5,-6.29
3,C:000003|,1976,1975-11-30 12:00:00,1975-12-31 11:00:00,1999-10-01,744,1975-11-29 12:00:00,1999-09-30,768,1975-12-05 06:00:00,102518.4,114,none,753.29,745.77,7.52
4,C:000004|,1977,1977-02-22 17:00:00,1977-03-25 16:00:00,1999-10-01,744,1977-02-21 17:00:00,1999-09-30,768,1977-03-10 08:00:00,15519.3,375,none,668.61,751.69,-83.08
5,C:000005|,1978,1977-11-25 05:00:00,1977-12-26 04:00:00,1999-10-01,744,1977-11-24 05:00:00,1999-09-30,768,1977-12-03 05:00:00,106805.4,192,none,750.22,748.58,1.64
6,C:000006|,1979,1979-02-04 08:00:00,1979-03-07 07:00:00,1999-10-01,744,1979-02-03 08:00:00,1999-09-30,768,1979-02-07 20:00:00,44242.5,84,none,688.9,746.68,-57.78
7,C:000007|,1980,1979-12-01 14:00:00,1980-01-01 13:00:00,1999-10-01,744,1979-11-30 14:00:00,1999-09-30,768,1979-12-18 19:00:00,40595.7,413,none,744.44,745.5,-1.06
8,C:000008|,1981,1980-12-20 18:00:00,1981-01-20 17:00:00,1999-10-01,744,1980-12-19 18:00:00,1999-09-30,768,1980-12-27 20:00:00,65870.3,170,none,725.35,745.5,-20.15
9,C:000009|,1982,1982-01-13 14:00:00,1982-02-13 13:00:00,1999-10-01,744,1982-01-12 14:00:00,1999-09-30,768,1982-01-24 21:00:00,72963.9,271,none,738.17,745.5,-7.33
10,C:000010|,1983,1982-11-16 23:00:00,1982-12-17 22:00:00,1999-10-01,744,1982-11-15 23:00:00,1999-09-30,768,1982-12-04 17:00:00,68927.0,426,none,752.87,752.97,-0.1
11,C:000011|,1984,1984-01-23 05:00:00,1984-02-23 04:00:00,1999-10-01,744,1984-01-22 05:00:00,1999-09-30,768,1984-01-25 20:00:00,42359.1,63,none,725.9,745.5,-19.6
12,C:000012|,1985,1984-11-23 19:00:00,1984-12-24 18:00:00,1999-10-01,744,1984-11-22 19:00:00,1999-09-30,768,1984-11-29 02:00:00,21996.9,127,none,747.76,749.34,-1.58
13,C:000013|,1986,1986-02-22 12:00:00,1986-03-25 11:00:00,1999-10-01,744,1986-02-21 12:00:00,1999-09-30,768,1986-02-24 16:00:00,71955.0,52,none,732.17,751.64,-19.47
14,C:000014|,1987,1986-11-18 16:00:00,1986-12-19 15:00:00,1999-10-01,744,1986-11-17 16:00:00,1999-09-30,768,1986-11-24 22:00:00,88456.3,150,none,741.51,752.06,-10.55
