member,ensemble_f_part,event,event_note,target,target_aep,scaling_method,target_unreg_peak_cfs,target_unreg_5day_cfs,f_peak,f_out,shape_strain,scaled_unreg_peak_cfs,scaled_unreg_5day_cfs,vol5_error_pct,outside_max_change_pct,outside_vol_change_pct,outside_hours_changed,scale_factor,observed_unreg_peak_cfs,local_share_at_peak,pool_basis,pool_basis_used,start_pool_ft,synth_water_year,real_start,real_end,source_start,source_peak_date,ensemble_start,hours,elev_ensemble_start,elev_hours,missing_input_hours
1,C:000001|SYNTH,Feb1996,"212,246 cfs unreg, WCM_RC ratio 0.62 -- largest on record",100yr,0.01,volume_matched,174075.0,106300.8,0.7999,1.2372,1.547,174075.0,106269.1,-0.03,19.46,1.53,61,1.0,217608.4,0.5,median_por,median_por,748.98,1801,1801-01-30,1801-02-28 23:00:00,1996-01-30,1996-02-09,1999-10-01,720,1999-09-30,744,0
2,C:000002|SYNTH,Feb1996,"212,246 cfs unreg, WCM_RC ratio 0.62 -- largest on record",250yr,0.005,volume_matched,195977.2,119354.4,0.9006,1.3854,1.538,195977.2,119316.8,-0.03,33.73,2.73,63,1.0,217608.4,0.5,median_por,median_por,748.98,1802,1802-01-30,1802-02-28 23:00:00,1996-01-30,1996-02-09,1999-10-01,720,1999-09-30,744,0
3,C:000003|SYNTH,Feb1996,"212,246 cfs unreg, WCM_RC ratio 0.62 -- largest on record",500yr,0.002,volume_matched,227899.7,138364.0,1.0473,1.6011,1.529,227899.7,138317.7,-0.03,54.49,4.47,65,1.0,217608.4,0.5,median_por,median_por,748.98,1803,1803-01-30,1803-02-28 23:00:00,1996-01-30,1996-02-09,1999-10-01,720,1999-09-30,744,0
4,C:000004|SYNTH,Feb1996,"212,246 cfs unreg, WCM_RC ratio 0.62 -- largest on record",beyond,,volume_matched,273479.6,166036.8,1.2568,1.9213,1.529,273479.6,165977.4,-0.04,85.24,7.05,66,1.0,217608.4,0.5,median_por,median_por,748.98,1804,1804-01-30,1804-02-28 23:00:00,1996-01-30,1996-02-09,1999-10-01,720,1999-09-30,744,0
5,C:000005|SYNTH,Nov2006,"155,018 cfs unreg, WCM_RC ratio 0.61 -- rank 2",100yr,0.01,volume_matched,174075.0,106300.8,1.1065,1.8953,1.713,174075.0,106495.4,0.18,83.63,5.63,66,1.0,157318.2,0.4503,median_por,median_por,749.59,1805,1804-10-28,1804-11-26 23:00:00,2006-10-28,2006-11-07,1999-10-01,720,1999-09-30,744,0
6,C:000006|SYNTH,Nov2006,"155,018 cfs unreg, WCM_RC ratio 0.61 -- rank 2",250yr,0.005,volume_matched,195977.2,119354.4,1.2457,2.1299,1.71,195977.2,119555.2,0.17,106.36,7.27,66,1.0,157318.2,0.4503,median_por,median_por,749.59,1806,1805-10-28,1805-11-26 23:00:00,2006-10-28,2006-11-07,1999-10-01,720,1999-09-30,744,0
7,C:000007|SYNTH,Nov2006,"155,018 cfs unreg, WCM_RC ratio 0.61 -- rank 2",500yr,0.002,volume_matched,227899.7,138364.0,1.4487,2.4688,1.704,227899.7,138581.0,0.16,139.19,9.64,67,1.0,157318.2,0.4503,median_por,median_por,749.59,1807,1806-10-28,1806-11-26 23:00:00,2006-10-28,2006-11-07,1999-10-01,720,1999-09-30,744,0
8,C:000008|SYNTH,Nov2006,"155,018 cfs unreg, WCM_RC ratio 0.61 -- rank 2",beyond,,volume_matched,273479.6,166036.8,1.7384,2.9704,1.709,273479.6,166281.1,0.15,187.72,13.14,68,1.0,157318.2,0.4503,median_por,median_por,749.59,1808,1807-10-28,1807-11-26 23:00:00,2006-10-28,2006-11-07,1999-10-01,720,1999-09-30,744,0
9,C:000009|SYNTH,Dec2015,"152,270 cfs unreg, WCM_RC ratio 0.53 -- rank 3, well attenuated",100yr,0.01,volume_matched,174075.0,106300.8,1.1117,1.918,1.725,174075.0,106451.2,0.14,84.58,6.27,66,1.0,156583.7,0.5046,median_por,median_por,749.67,1809,1808-11-29,1808-12-28 23:00:00,2015-11-29,2015-12-09,1999-10-01,720,1999-09-30,744,0
10,C:000010|SYNTH,Dec2015,"152,270 cfs unreg, WCM_RC ratio 0.53 -- rank 3, well attenuated",250yr,0.005,volume_matched,195977.2,119354.4,1.2516,2.15,1.718,195977.2,119520.3,0.14,106.93,8.0,66,1.0,156583.7,0.5046,median_por,median_por,749.67,1810,1809-11-29,1809-12-28 23:00:00,2015-11-29,2015-12-09,1999-10-01,720,1999-09-30,744,0
11,C:000011|SYNTH,Dec2015,"152,270 cfs unreg, WCM_RC ratio 0.53 -- rank 3, well attenuated",500yr,0.002,volume_matched,227899.7,138364.0,1.4554,2.4875,1.709,227899.7,138553.6,0.14,139.45,10.51,68,1.0,156583.7,0.5046,median_por,median_por,749.67,1811,1810-11-29,1810-12-28 23:00:00,2015-11-29,2015-12-09,1999-10-01,720,1999-09-30,744,0
12,C:000012|SYNTH,Dec2015,"152,270 cfs unreg, WCM_RC ratio 0.53 -- rank 3, well attenuated",beyond,,volume_matched,273479.6,166036.8,1.7465,2.9865,1.71,273479.6,166259.1,0.13,187.44,14.21,68,1.0,156583.7,0.5046,median_por,median_por,749.67,1812,1811-11-29,1811-12-28 23:00:00,2015-11-29,2015-12-09,1999-10-01,720,1999-09-30,744,0
13,C:000013|SYNTH,Dec1933,"149,770 cfs unreg, WCM_RC ratio 1.00 -- PASS-THROUGH -- storage exhausted",100yr,0.01,volume_matched,174075.0,106300.8,1.1454,0.5998,0.524,174075.0,106164.3,-0.13,23.63,-2.16,61,1.0,151983.2,0.4691,median_por,median_por,748.98,1813,1812-12-13,1813-01-11 23:00:00,1933-12-13,1933-12-23,1999-10-01,720,1999-09-30,744,0
14,C:000014|SYNTH,Dec1933,"149,770 cfs unreg, WCM_RC ratio 1.00 -- PASS-THROUGH -- storage exhausted",250yr,0.005,volume_matched,195977.2,119354.4,1.2895,0.6647,0.515,195977.2,119196.9,-0.13,14.78,-1.2,57,1.0,151983.2,0.4691,median_por,median_por,748.98,1814,1813-12-13,1814-01-11 23:00:00,1933-12-13,1933-12-23,1999-10-01,720,1999-09-30,744,0
15,C:000015|SYNTH,Dec1933,"149,770 cfs unreg, WCM_RC ratio 1.00 -- PASS-THROUGH -- storage exhausted",500yr,0.002,volume_matched,227899.7,138364.0,1.4995,0.7588,0.506,227899.7,138176.1,-0.14,4.01,0.21,34,1.0,151983.2,0.4691,median_por,median_por,748.98,1815,1814-12-13,1815-01-11 23:00:00,1933-12-13,1933-12-23,1999-10-01,720,1999-09-30,744,0
16,C:000016|SYNTH,Dec1933,"149,770 cfs unreg, WCM_RC ratio 1.00 -- PASS-THROUGH -- storage exhausted",beyond,,volume_matched,273479.6,166036.8,1.7994,0.9106,0.506,273479.6,165802.5,-0.14,24.77,2.33,61,1.0,151983.2,0.4691,median_por,median_por,748.98,1816,1815-12-13,1816-01-11 23:00:00,1933-12-13,1933-12-23,1999-10-01,720,1999-09-30,744,0
17,C:000017|SYNTH,Dec1977,"148,667 cfs unreg, WCM_RC ratio 0.54 -- rank 5",100yr,0.01,volume_matched,174075.0,106300.8,1.0785,1.9293,1.789,174075.0,106424.5,0.12,78.49,4.59,66,1.0,161402.0,0.4913,median_por,median_por,752.99,1817,1816-11-22,1816-12-21 23:00:00,1977-11-22,1977-12-02,1999-10-01,720,1999-09-30,744,0
18,C:000018|SYNTH,Dec1977,"148,667 cfs unreg, WCM_RC ratio 0.54 -- rank 5",250yr,0.005,volume_matched,195977.2,119354.4,1.2142,2.1769,1.793,195977.2,119570.7,0.18,101.33,5.95,66,1.0,161402.0,0.4913,median_por,median_por,752.99,1818,1817-11-22,1817-12-21 23:00:00,1977-11-22,1977-12-02,1999-10-01,720,1999-09-30,744,0
19,C:000019|SYNTH,Dec1977,"148,667 cfs unreg, WCM_RC ratio 0.54 -- rank 5",500yr,0.002,volume_matched,227899.7,138364.0,1.412,2.5316,1.793,227899.7,138583.4,0.16,134.1,7.91,67,1.0,161402.0,0.4913,median_por,median_por,752.99,1819,1818-11-22,1818-12-21 23:00:00,1977-11-22,1977-12-02,1999-10-01,720,1999-09-30,744,0
20,C:000020|SYNTH,Dec1977,"148,667 cfs unreg, WCM_RC ratio 0.54 -- rank 5",beyond,,volume_matched,273479.6,166036.8,1.6944,3.0552,1.803,273479.6,166261.7,0.14,182.32,10.79,68,1.0,161402.0,0.4913,median_por,median_por,752.99,1820,1819-11-22,1819-12-21 23:00:00,1977-11-22,1977-12-02,1999-10-01,720,1999-09-30,744,0
21,C:000021|SYNTH,Jan2009,"143,468 cfs unreg, WCM_RC ratio 0.57 -- rank 6",100yr,0.01,volume_matched,174075.0,106300.8,1.1879,2.1161,1.781,174075.0,106434.2,0.13,106.89,8.39,66,1.0,146544.0,0.5508,median_por,median_por,748.98,1821,1820-12-29,1821-01-27 23:00:00,2008-12-29,2009-01-08,1999-10-01,720,1999-09-30,744,0
22,C:000022|SYNTH,Jan2009,"143,468 cfs unreg, WCM_RC ratio 0.57 -- rank 6",250yr,0.005,volume_matched,195977.2,119354.4,1.3373,2.377,1.777,195977.2,119497.9,0.12,132.39,10.5,67,1.0,146544.0,0.5508,median_por,median_por,748.98,1822,1821-12-29,1822-01-27 23:00:00,2008-12-29,2009-01-08,1999-10-01,720,1999-09-30,744,0
23,C:000023|SYNTH,Jan2009,"143,468 cfs unreg, WCM_RC ratio 0.57 -- rank 6",500yr,0.002,volume_matched,227899.7,138364.0,1.5552,2.7557,1.772,227899.7,138525.0,0.12,169.41,13.57,68,1.0,146544.0,0.5508,median_por,median_por,748.98,1823,1822-12-29,1823-01-27 23:00:00,2008-12-29,2009-01-08,1999-10-01,720,1999-09-30,744,0
24,C:000024|SYNTH,Jan2009,"143,468 cfs unreg, WCM_RC ratio 0.57 -- rank 6",beyond,,volume_matched,273479.6,166036.8,1.8662,3.3145,1.776,273479.6,166220.7,0.11,223.98,18.09,68,1.0,146544.0,0.5508,median_por,median_por,748.98,1824,1823-12-29,1824-01-27 23:00:00,2008-12-29,2009-01-08,1999-10-01,720,1999-09-30,744,0
25,C:000025|SYNTH,Dec1975,"136,059 cfs unreg, WCM_RC ratio 0.56 -- rank 7",100yr,0.01,volume_matched,174075.0,106300.8,1.2515,0.7773,0.621,174075.0,106216.8,-0.08,10.41,-1.23,58,1.0,139095.3,0.3849,median_por,median_por,752.04,1825,1824-11-24,1824-12-23 23:00:00,1975-11-24,1975-12-04,1999-10-01,720,1999-09-30,744,0
26,C:000026|SYNTH,Dec1975,"136,059 cfs unreg, WCM_RC ratio 0.56 -- rank 7",250yr,0.005,volume_matched,195977.2,119354.4,1.4089,0.8632,0.613,195977.2,119257.5,-0.08,3.9,0.08,45,1.0,139095.3,0.3849,median_por,median_por,752.04,1826,1825-11-24,1825-12-23 23:00:00,1975-11-24,1975-12-04,1999-10-01,720,1999-09-30,744,0
27,C:000027|SYNTH,Dec1975,"136,059 cfs unreg, WCM_RC ratio 0.56 -- rank 7",500yr,0.002,volume_matched,227899.7,138364.0,1.6384,0.9878,0.603,227899.7,138250.2,-0.08,19.71,1.97,51,1.0,139095.3,0.3849,median_por,median_por,752.04,1827,1826-11-24,1826-12-23 23:00:00,1975-11-24,1975-12-04,1999-10-01,720,1999-09-30,744,0
28,C:000028|SYNTH,Dec1975,"136,059 cfs unreg, WCM_RC ratio 0.56 -- rank 7",beyond,,volume_matched,273479.6,166036.8,1.9661,1.1854,0.603,273479.6,165895.9,-0.08,43.61,4.86,62,1.0,139095.3,0.3849,median_por,median_por,752.04,1828,1827-11-24,1827-12-23 23:00:00,1975-11-24,1975-12-04,1999-10-01,720,1999-09-30,744,0
29,C:000029|SYNTH,Jan1990,"130,043 cfs unreg, WCM_RC ratio 0.65 -- rank 8, mid attenuation",100yr,0.01,volume_matched,174075.0,106300.8,1.2685,2.3259,1.834,174075.0,106156.6,-0.14,110.38,15.28,66,1.0,137224.3,0.6082,median_por,median_por,748.98,1829,1828-12-30,1829-01-28 23:00:00,1989-12-30,1990-01-09,1999-10-01,720,1999-09-30,744,0
30,C:000030|SYNTH,Jan1990,"130,043 cfs unreg, WCM_RC ratio 0.65 -- rank 8, mid attenuation",250yr,0.005,volume_matched,195977.2,119354.4,1.4282,2.6069,1.825,195977.2,119192.2,-0.14,135.9,18.77,68,1.0,137224.3,0.6082,median_por,median_por,748.98,1830,1829-12-30,1830-01-28 23:00:00,1989-12-30,1990-01-09,1999-10-01,720,1999-09-30,744,0
31,C:000031|SYNTH,Jan1990,"130,043 cfs unreg, WCM_RC ratio 0.65 -- rank 8, mid attenuation",500yr,0.002,volume_matched,227899.7,138364.0,1.6608,3.0158,1.816,227899.7,138175.5,-0.14,173.05,23.84,68,1.0,137224.3,0.6082,median_por,median_por,748.98,1831,1830-12-30,1831-01-28 23:00:00,1989-12-30,1990-01-09,1999-10-01,720,1999-09-30,744,0
32,C:000032|SYNTH,Jan1990,"130,043 cfs unreg, WCM_RC ratio 0.65 -- rank 8, mid attenuation",beyond,,volume_matched,273479.6,166036.8,1.9929,3.6189,1.816,273479.6,165810.5,-0.14,227.62,31.3,68,1.0,137224.3,0.6082,median_por,median_por,748.98,1832,1831-12-30,1832-01-28 23:00:00,1989-12-30,1990-01-09,1999-10-01,720,1999-09-30,744,0
33,C:000033|SYNTH,Feb2003,"119,348 cfs unreg, WCM_RC ratio 0.52 -- rank 9",100yr,0.01,volume_matched,174075.0,106300.8,1.4833,2.5439,1.715,174075.0,106501.2,0.19,141.45,13.13,68,1.0,117358.5,0.5206,median_por,median_por,748.98,1833,1833-01-22,1833-02-20 23:00:00,2003-01-22,2003-02-01,1999-10-01,720,1999-09-30,744,0
34,C:000034|SYNTH,Feb2003,"119,348 cfs unreg, WCM_RC ratio 0.52 -- rank 9",250yr,0.005,volume_matched,195977.2,119354.4,1.6699,2.8523,1.708,195977.2,119571.6,0.18,170.77,15.89,68,1.0,117358.5,0.5206,median_por,median_por,748.98,1834,1834-01-22,1834-02-20 23:00:00,2003-01-22,2003-02-01,1999-10-01,720,1999-09-30,744,0
35,C:000035|SYNTH,Feb2003,"119,348 cfs unreg, WCM_RC ratio 0.52 -- rank 9",500yr,0.002,volume_matched,227899.7,138364.0,1.9419,3.3005,1.7,227899.7,138606.4,0.18,213.41,19.91,68,1.0,117358.5,0.5206,median_por,median_por,748.98,1835,1835-01-22,1835-02-20 23:00:00,2003-01-22,2003-02-01,1999-10-01,720,1999-09-30,744,0
36,C:000036|SYNTH,Feb2003,"119,348 cfs unreg, WCM_RC ratio 0.52 -- rank 9",beyond,,volume_matched,273479.6,166036.8,2.3303,3.9645,1.701,273479.6,166315.0,0.17,276.4,25.85,68,1.0,117358.5,0.5206,median_por,median_por,748.98,1836,1836-01-22,1836-02-20 23:00:00,2003-01-22,2003-02-01,1999-10-01,720,1999-09-30,744,0
37,C:000037|SYNTH,Dec2025,"116,111 cfs unreg, WCM_RC ratio 0.52 -- rank 10, most recent large event",100yr,0.01,volume_matched,174075.0,106300.8,1.4818,0.4505,0.304,174075.0,106116.4,-0.17,34.27,-2.29,64,1.0,117473.9,0.3186,median_por,median_por,748.98,1837,1836-12-01,1836-12-30 23:00:00,2025-12-01,2025-12-11,1999-10-01,720,1999-09-30,744,0
38,C:000038|SYNTH,Dec2025,"116,111 cfs unreg, WCM_RC ratio 0.52 -- rank 10, most recent large event",250yr,0.005,volume_matched,195977.2,119354.4,1.6683,0.4906,0.294,195977.2,119150.1,-0.17,27.88,-1.78,63,1.0,117473.9,0.3186,median_por,median_por,748.98,1838,1837-12-01,1837-12-30 23:00:00,2025-12-01,2025-12-11,1999-10-01,720,1999-09-30,744,0
39,C:000039|SYNTH,Dec2025,"116,111 cfs unreg, WCM_RC ratio 0.52 -- rank 10, most recent large event",500yr,0.002,volume_matched,227899.7,138364.0,1.94,0.5482,0.283,227899.7,138130.9,-0.17,18.7,-1.04,61,1.0,117473.9,0.3186,median_por,median_por,748.98,1839,1838-12-01,1838-12-30 23:00:00,2025-12-01,2025-12-11,1999-10-01,720,1999-09-30,744,0
40,C:000040|SYNTH,Dec2025,"116,111 cfs unreg, WCM_RC ratio 0.52 -- rank 10, most recent large event",beyond,,volume_matched,273479.6,166036.8,2.328,0.6579,0.283,273479.6,165757.0,-0.17,13.33,0.17,38,1.0,117473.9,0.3186,median_por,median_por,748.98,1840,1839-12-01,1839-12-30 23:00:00,2025-12-01,2025-12-11,1999-10-01,720,1999-09-30,744,0
41,C:000041|SYNTH,Nov1990,"108,150 cfs unreg, WCM_RC ratio 0.58 -- rank 11",100yr,0.01,volume_matched,174075.0,106300.8,1.5042,2.3034,1.531,174075.0,106467.2,0.16,119.79,9.16,66,1.0,115724.7,0.517,median_por,median_por,756.32,1841,1840-11-15,1840-12-14 23:00:00,1990-11-15,1990-11-25,1999-10-01,720,1999-09-30,744,0
42,C:000042|SYNTH,Nov1990,"108,150 cfs unreg, WCM_RC ratio 0.58 -- rank 11",250yr,0.005,volume_matched,195977.2,119354.4,1.6935,2.5792,1.523,195977.2,119535.3,0.15,146.19,11.19,68,1.0,115724.7,0.517,median_por,median_por,756.32,1842,1841-11-15,1841-12-14 23:00:00,1990-11-15,1990-11-25,1999-10-01,720,1999-09-30,744,0
