member,ensemble_f_part,event,event_note,target,target_aep,scaling_method,target_unreg_peak_cfs,target_unreg_5day_cfs,f_peak,f_out,shape_strain,scaled_unreg_peak_cfs,scaled_unreg_5day_cfs,vol5_error_pct,scale_factor,observed_unreg_peak_cfs,local_share_at_peak,pool_basis,pool_basis_used,start_pool_ft,synth_water_year,real_start,real_end,source_start,source_peak_date,ensemble_start,hours,elev_ensemble_start,elev_hours,missing_input_hours
1,C:000001|SYNTH,Dec1977,"sharp     (shape 0.47, rank 2)",100yr,0.01,linear_taper,174075.0,106300.8,1.0785,1.0,0.927,174075.0,79761.9,,1.0,161402.0,0.4913,rulecurve,rulecurve,750.29,1801,1801-11-22,1801-12-21 23:00:00,1977-11-22,1977-12-02,1999-10-01,720,1999-09-30,744,0
2,C:000002|SYNTH,Dec1977,"sharp     (shape 0.47, rank 2)",250yr,0.005,linear_taper,195977.2,119354.4,1.2142,1.0,0.824,195977.2,85854.5,,1.0,161402.0,0.4913,rulecurve,rulecurve,750.29,1802,1802-11-22,1802-12-21 23:00:00,1977-11-22,1977-12-02,1999-10-01,720,1999-09-30,744,0
3,C:000003|SYNTH,Dec1977,"sharp     (shape 0.47, rank 2)",500yr,0.002,linear_taper,227899.7,138364.0,1.412,1.0,0.708,227899.7,94765.1,,1.0,161402.0,0.4913,rulecurve,rulecurve,750.29,1803,1803-11-22,1803-12-21 23:00:00,1977-11-22,1977-12-02,1999-10-01,720,1999-09-30,744,0
4,C:000004|SYNTH,Dec1977,"sharp     (shape 0.47, rank 2)",beyond,,linear_taper,273479.6,166036.8,1.6944,1.0,0.59,273479.6,107529.4,,1.0,161402.0,0.4913,rulecurve,rulecurve,750.29,1804,1804-11-22,1804-12-21 23:00:00,1977-11-22,1977-12-02,1999-10-01,720,1999-09-30,744,0
5,C:000005|SYNTH,Feb1996,"sharp-mid (shape 0.50, rank 1)",100yr,0.01,linear_taper,174075.0,106300.8,0.7999,1.0,1.25,174075.0,95431.2,,1.0,217608.4,0.5,rulecurve,rulecurve,745.5,1805,1805-01-30,1805-02-28 23:00:00,1996-01-30,1996-02-09,1999-10-01,720,1999-09-30,744,0
6,C:000006|SYNTH,Feb1996,"sharp-mid (shape 0.50, rank 1)",250yr,0.005,linear_taper,195977.2,119354.4,0.9006,1.0,1.11,195977.2,102353.5,,1.0,217608.4,0.5,rulecurve,rulecurve,745.5,1806,1806-01-30,1806-02-28 23:00:00,1996-01-30,1996-02-09,1999-10-01,720,1999-09-30,744,0
7,C:000007|SYNTH,Feb1996,"sharp-mid (shape 0.50, rank 1)",500yr,0.002,linear_taper,227899.7,138364.0,1.0473,1.0,0.955,227899.7,112443.0,,1.0,217608.4,0.5,rulecurve,rulecurve,745.5,1807,1807-01-30,1807-02-28 23:00:00,1996-01-30,1996-02-09,1999-10-01,720,1999-09-30,744,0
8,C:000008|SYNTH,Feb1996,"sharp-mid (shape 0.50, rank 1)",beyond,,linear_taper,273479.6,166036.8,1.2568,1.0,0.796,273479.6,126849.2,,1.0,217608.4,0.5,rulecurve,rulecurve,745.5,1808,1808-01-30,1808-02-28 23:00:00,1996-01-30,1996-02-09,1999-10-01,720,1999-09-30,744,0
9,C:000009|SYNTH,Dec1933,"sustained (shape 0.70, pass-through outlier)",100yr,0.01,linear_taper,174075.0,106300.8,1.1454,1.0,0.873,174075.0,115914.6,,1.0,151983.2,0.4691,rulecurve,rulecurve,745.5,1809,1809-12-12,1810-01-10 23:00:00,1933-12-12,1933-12-22,1999-10-01,720,1999-09-30,744,0
10,C:000010|SYNTH,Dec1933,"sustained (shape 0.70, pass-through outlier)",250yr,0.005,linear_taper,195977.2,119354.4,1.2895,1.0,0.776,195977.2,124683.7,,1.0,151983.2,0.4691,rulecurve,rulecurve,745.5,1810,1810-12-12,1811-01-10 23:00:00,1933-12-12,1933-12-22,1999-10-01,720,1999-09-30,744,0
