member,ensemble_f_part,water_year,real_start,real_end,ensemble_start,hours,offset_hours_to_real,coverage_pct
1,C:000001|WCM_RC,1929,1928-10-01,1929-05-02,1999-10-01,5113,0,100.0
2,C:000002|WCM_RC,1930,1929-10-01,1930-05-02,1999-10-01,5113,0,100.0
3,C:000003|WCM_RC,1931,1930-10-01,1931-05-02,1999-10-01,5113,0,100.0
4,C:000004|WCM_RC,1932,1931-10-01,1932-05-01,1999-10-01,5113,0,100.0
5,C:000005|WCM_RC,1933,1932-10-01,1933-05-02,1999-10-01,5113,0,100.0
6,C:000006|WCM_RC,1934,1933-10-01,1934-05-02,1999-10-01,5113,0,100.0
7,C:000007|WCM_RC,1935,1934-10-01,1935-05-02,1999-10-01,5113,0,100.0
8,C:000008|WCM_RC,1936,1935-10-01,1936-05-01,1999-10-01,5113,0,100.0
9,C:000009|WCM_RC,1937,1936-10-01,1937-05-02,1999-10-01,5113,0,100.0
10,C:000010|WCM_RC,1938,1937-10-01,1938-05-02,1999-10-01,5113,0,100.0
11,C:000011|WCM_RC,1939,1938-10-01,1939-05-02,1999-10-01,5113,0,100.0
12,C:000012|WCM_RC,1940,1939-10-01,1940-05-01,1999-10-01,5113,0,100.0
13,C:000013|WCM_RC,1941,1940-10-01,1941-05-02,1999-10-01,5113,0,100.0
14,C:000014|WCM_RC,1942,1941-10-01,1942-05-02,1999-10-01,5113,0,100.0
15,C:000015|WCM_RC,1943,1942-10-01,1943-05-02,1999-10-01,5113,0,100.0
16,C:000016|WCM_RC,1944,1943-10-01,1944-05-01,1999-10-01,5113,0,100.0
17,C:000017|WCM_RC,1945,1944-10-01,1945-05-02,1999-10-01,5113,0,100.0
18,C:000018|WCM_RC,1946,1945-10-01,1946-05-02,1999-10-01,5113,0,100.0
19,C:000019|WCM_RC,1947,1946-10-01,1947-05-02,1999-10-01,5113,0,100.0
20,C:000020|WCM_RC,1948,1947-10-01,1948-05-01,1999-10-01,5113,0,100.0
21,C:000021|WCM_RC,1949,1948-10-01,1949-05-02,1999-10-01,5113,0,100.0
22,C:000022|WCM_RC,1950,1949-10-01,1950-05-02,1999-10-01,5113,0,100.0
23,C:000023|WCM_RC,1951,1950-10-01,1951-05-02,1999-10-01,5113,0,100.0
24,C:000024|WCM_RC,1952,1951-10-01,1952-05-01,1999-10-01,5113,0,100.0
25,C:000025|WCM_RC,1953,1952-10-01,1953-05-02,1999-10-01,5113,0,100.0
26,C:000026|WCM_RC,1954,1953-10-01,1954-05-02,1999-10-01,5113,0,100.0
27,C:000027|WCM_RC,1955,1954-10-01,1955-05-02,1999-10-01,5113,0,100.0
28,C:000028|WCM_RC,1956,1955-10-01,1956-05-01,1999-10-01,5113,0,100.0
29,C:000029|WCM_RC,1957,1956-10-01,1957-05-02,1999-10-01,5113,0,100.0
30,C:000030|WCM_RC,1958,1957-10-01,1958-05-02,1999-10-01,5113,0,100.0
31,C:000031|WCM_RC,1959,1958-10-01,1959-05-02,1999-10-01,5113,0,100.0
32,C:000032|WCM_RC,1960,1959-10-01,1960-05-01,1999-10-01,5113,0,100.0
33,C:000033|WCM_RC,1961,1960-10-01,1961-05-02,1999-10-01,5113,0,100.0
34,C:000034|WCM_RC,1962,1961-10-01,1962-05-02,1999-10-01,5113,0,100.0
35,C:000035|WCM_RC,1963,1962-10-01,1963-05-02,1999-10-01,5113,0,100.0
36,C:000036|WCM_RC,1964,1963-10-01,1964-05-01,1999-10-01,5113,0,100.0
37,C:000037|WCM_RC,1965,1964-10-01,1965-05-02,1999-10-01,5113,0,100.0
38,C:000038|WCM_RC,1966,1965-10-01,1966-05-02,1999-10-01,5113,0,100.0
39,C:000039|WCM_RC,1967,1966-10-01,1967-05-02,1999-10-01,5113,0,100.0
40,C:000040|WCM_RC,1968,1967-10-01,1968-05-01,1999-10-01,5113,0,100.0
41,C:000041|WCM_RC,1969,1968-10-01,1969-05-02,1999-10-01,5113,0,100.0
42,C:000042|WCM_RC,1970,1969-10-01,1970-05-02,1999-10-01,5113,0,100.0
43,C:000043|WCM_RC,1971,1970-10-01,1971-05-02,1999-10-01,5113,0,100.0
44,C:000044|WCM_RC,1972,1971-10-01,1972-05-01,1999-10-01,5113,0,100.0
45,C:000045|WCM_RC,1973,1972-10-01,1973-05-02,1999-10-01,5113,0,100.0
46,C:000046|WCM_RC,1974,1973-10-01,1974-05-02,1999-10-01,5113,0,100.0
47,C:000047|WCM_RC,1975,1974-10-01,1975-05-02,1999-10-01,5113,0,100.0
48,C:000048|WCM_RC,1976,1975-10-01,1976-05-01,1999-10-01,5113,0,100.0
49,C:000049|WCM_RC,1977,1976-10-01,1977-05-02,1999-10-01,5113,0,100.0
