AEP,local_cfs,regulated_cfs,lower_90pct_cfs,upper_90pct_cfs
0.99,500.0,11500.0,8901.0,14857.0
0.95,600.0,18600.0,14166.0,24423.0
0.9,700.0,24700.0,19975.0,30542.0
0.8,900.0,32900.0,28836.0,37537.0
0.5,1300.0,47300.0,43127.0,51877.0
0.2,1800.0,67800.0,61067.0,75275.0
0.1,2200.0,82200.0,71525.0,94469.0
0.05,2600.0,98600.0,83830.0,115972.0
0.02,3000.0,111000.0,99639.0,123657.0
0.01,3400.0,116400.0,100782.0,134438.0
0.005,3700.0,127700.0,110566.0,147489.0
0.002,4200.0,164200.0,142169.0,189645.0
0.001,4600.0,194600.0,168490.0,224756.0
0.0005,4900.0,304900.0,263991.0,352149.0
0.0002,5411.0,354940.0,307317.0,409943.0
0.0001,5800.0,395800.0,342695.0,457135.0
