AEP,local_cfs,regulated_cfs,lower_90pct_cfs,upper_90pct_cfs
0.99,700.0,11700.0,9043.0,15137.0
0.95,1000.0,19000.0,14464.0,24959.0
0.9,1200.0,25200.0,20424.0,31093.0
0.8,1400.0,33400.0,29306.0,38066.0
0.5,2000.0,48000.0,43746.0,52668.0
0.2,2800.0,68800.0,61979.0,76372.0
0.1,3400.0,83400.0,72614.0,95788.0
0.05,3900.0,99900.0,84930.0,117508.0
0.02,4600.0,112600.0,100915.0,125639.0
0.01,5200.0,118200.0,102350.0,136505.0
0.005,5700.0,129700.0,112307.0,149786.0
0.002,6500.0,166500.0,144173.0,192285.0
0.001,7000.0,197000.0,170583.0,227509.0
0.0005,7500.0,307500.0,266265.0,355121.0
0.0002,8242.0,357771.0,309794.0,413178.0
0.0001,8800.0,398800.0,345321.0,460561.0
