AEP,unregulated_cfs,regulated_cfs,lower_90pct_cfs,upper_90pct_cfs
0.99,22224.0,11000.0,8516.0,14209.0
0.95,29116.0,18000.0,13638.0,23757.0
0.9,33803.0,24000.0,19370.0,29736.0
0.8,40703.0,32000.0,28031.0,36531.0
0.5,58975.0,46000.0,41910.0,50489.0
0.2,87233.0,66000.0,59442.0,73281.0
0.1,107941.0,80000.0,69604.0,91949.0
0.05,129264.0,96000.0,81592.0,112953.0
0.02,159102.0,108000.0,97207.0,119991.0
0.01,183247.0,113000.0,98260.0,129951.0
0.005,208960.0,124000.0,107825.0,142601.0
0.002,245635.0,160000.0,139129.0,184001.0
0.001,275605.0,190000.0,165216.0,218502.0
0.0005,307656.0,300000.0,260868.0,345003.0
0.0001,390943.0,390000.0,339128.0,448503.0
