AEP,local_cfs,regulated_cfs,lower_90pct_cfs,upper_90pct_cfs
0.99,265.0,18830.0,12747.0,24588.0
0.95,387.0,27428.0,20194.0,34621.0
0.9,466.0,33038.0,25039.0,41188.0
0.8,579.0,40453.0,31449.0,49793.0
0.5,865.0,51676.0,40780.0,61779.0
0.2,1274.0,65517.0,50924.0,76494.0
0.1,1553.0,76339.0,59095.0,92933.0
0.05,1827.0,87388.0,66090.0,114590.0
0.02,2196.0,102866.0,75289.0,146021.0
0.01,2489.0,119298.0,85649.0,174266.0
0.005,2802.0,143075.0,100940.0,213826.0
0.002,3259.0,181453.0,126758.0,275503.0
0.001,3647.0,217128.0,150952.0,334545.0
0.0005,4083.0,260269.0,179783.0,407397.0
0.0002,4758.0,332912.0,229060.0,518853.0
0.0001,5357.0,380000.0,256887.0,608012.0
