AEP,local_cfs,regulated_cfs,lower_95pct_cfs,upper_95pct_cfs
0.99,1721.0,20285.0,13340.0,26453.0
0.95,2430.0,29471.0,21177.0,37054.0
0.9,2910.0,35483.0,26222.0,44065.0
0.8,3605.0,44093.0,33236.0,54161.0
0.5,5371.0,56184.0,43170.0,68169.0
0.2,7883.0,71930.0,55232.0,85653.0
0.1,9578.0,83280.0,63698.0,105046.0
0.05,11215.0,94768.0,69596.0,133015.0
0.02,13353.0,110137.0,75921.0,171375.0
0.01,14971.0,124494.0,82427.0,202171.0
0.005,16603.0,145401.0,92817.0,245103.0
0.002,18788.0,179129.0,110725.0,311306.0
0.001,20468.0,209902.0,128409.0,373132.0
0.0005,22174.0,246601.0,148520.0,449647.0
0.0002,24474.0,307432.0,182205.0,578467.0
0.0001,26248.0,365266.0,214612.0,686363.0
