AEP,local_cfs,regulated_cfs,lower_95pct_cfs,upper_95pct_cfs
0.99,673.0,19237.0,12282.0,25398.0
0.95,951.0,27992.0,19672.0,35553.0
0.9,1138.0,33711.0,24413.0,42260.0
0.8,1410.0,41898.0,30981.0,51908.0
0.5,2101.0,52911.0,39766.0,64744.0
0.2,3083.0,67326.0,50221.0,80509.0
0.1,3746.0,78532.0,58315.0,98524.0
0.05,4387.0,89948.0,64909.0,122843.0
0.02,5223.0,105893.0,73580.0,158462.0
0.01,5856.0,122665.0,83199.0,190443.0
0.005,6494.0,146767.0,97468.0,233285.0
0.002,7349.0,185543.0,121514.0,300921.0
0.001,8006.0,221487.0,144187.0,365934.0
0.0005,8673.0,264859.0,170984.0,446541.0
0.0002,9572.0,337727.0,216829.0,568351.0
0.0001,10266.0,384909.0,241823.0,670381.0
