AEP,unregulated_cfs,regulated_cfs,lower_95pct_cfs,upper_95pct_cfs
0.99,19408.0,18564.0,11620.0,24732.0
0.95,27417.0,27041.0,18746.0,34623.0
0.9,32826.0,32573.0,23312.0,41155.0
0.8,40671.0,40487.0,29630.0,50555.0
0.5,60585.0,50813.0,37799.0,62798.0
0.2,88923.0,64047.0,47349.0,77770.0
0.1,108041.0,73702.0,54120.0,95468.0
0.05,126514.0,83553.0,58380.0,121799.0
0.02,150625.0,96784.0,62569.0,158023.0
0.01,168884.0,109522.0,67455.0,187199.0
0.005,187282.0,128798.0,76214.0,228500.0
0.002,211932.0,160342.0,91937.0,292518.0
0.001,230884.0,189434.0,107941.0,352665.0
0.0005,250134.0,224427.0,126346.0,427472.0
0.0002,276072.0,282959.0,157731.0,553993.0
0.0001,296088.0,339018.0,188364.0,660115.0
