AEP,unreg_computed_cfs,unreg_expected_cfs,reg_inferred_cfs,reg_lower_1se_cfs,reg_upper_1se_cfs,unreg_lower_95pct_cfs,unreg_upper_95pct_cfs,reg_lower_95pct_cfs,reg_upper_95pct_cfs,freq_term_mode,transform_slope_b,sigma_freq_lo_dex,sigma_freq_hi_dex,sigma_transform_lo_dex,sigma_transform_hi_dex,freq_term_lo_cfs,freq_term_hi_cfs,transform_term_lo_cfs,transform_term_hi_cfs,delta_lo_cfs,delta_hi_cfs,band_asymmetry,reg_upper_clipped_at_unreg,alt_freq_term_mode,reg_lower_95pct_alt_cfs,reg_upper_95pct_alt_cfs,freq_term_lo_literal_cfs,freq_term_hi_literal_cfs,freq_term_lo_curve_cfs,freq_term_hi_curve_cfs,reg_powerlaw_cfs,reduction_pct,extrapolated,reg_2009_cfs,reg_minus_2009_cfs,reg_vs_2009_pct
0.99,19408,18564.1,18564.1,16399.066,21014.965,13485.033,22757.856,11609.517,24725.106,literal,1,0.070828787,0.04513218,0.065498064,0.04822235,5079.0666,4193.7561,4750.717,4513.358,6954.5833,6161.0057,0.88589142,False,transform_curve,11609.517,24725.106,5079.0666,4193.7561,5079.0666,4193.7561,17616.725,0,False,21700,-3135.9,-14.451152
0.95,27416.6,27040.9,27040.9,23964.878,30511.746,22192.358,31213.021,18721.596,34602.837,literal,1,0.04378534,0.031793779,0.063746892,0.046452552,4848.5419,4172.1209,6760.3593,6306.845,8319.3039,7561.9367,0.90896268,False,transform_curve,18721.596,34602.837,4848.5419,4172.1209,4848.5419,4172.1209,24623.594,0,False,28100,-1059.1,-3.7690391
0.9,32826.2,32572.7,32572.7,28920.254,36686.426,27911.87,36842.057,23275.178,41121.627,literal,1,0.03421738,0.027291375,0.06285592,0.045399156,4660.8305,4269.3571,8044.9099,7406.5342,9297.5221,8548.9274,0.91948449,False,transform_curve,23275.178,41121.627,4660.8305,4269.3571,4660.8305,4269.3571,29061.354,0,False,32400,172.7,0.53302469
0.8,40671.1,40487.4,40487.4,36024.266,45503.482,35832.884,45106.582,29570.698,50497.483,literal,1,0.027060766,0.02393923,0.061949283,0.043942431,4654.5161,4619.1818,9874.7078,8880.5929,10916.702,10010.083,0.91695127,False,transform_curve,29570.698,49786.317,4654.5161,4619.1818,4654.5161,2757.7045,35271.02,0,False,38800,1687.4,4.3489691
0.5,60585.3,60529,50810.668,45553.353,56674.73,54748.606,66855.302,37664.957,62643.202,literal,0.57257374,0.022240427,0.022027117,0.058595695,0.039806929,5780.3943,6326.302,11806.641,9999.3387,13145.711,11832.534,0.90010607,False,transform_curve,38682.638,61277.582,5780.3943,6326.302,2773.5097,3093.4639,50454.665,16.055663,False,55500,-4689.332,-8.4492468
0.2,88922.6,89125.5,64243.042,58327.543,70758.483,80481.645,99612.095,47137.913,77425.839,literal,0.62273455,0.022605076,0.024648461,0.05784451,0.025970523,8643.8551,10486.595,14760.393,7988.5832,17105.129,13182.797,0.77069267,False,transform_curve,48991.503,73975.636,8643.8551,10486.595,3839.3025,5559.3101,71203.963,27.91845,False,70000,-5756.9582,-8.224226
0.1,108041.3,108617.5,74786.19,67433.588,82940.481,97149.344,124332.33,54569.069,94778.291,literal,0.77780075,0.024724909,0.029941512,0.05580347,0.033887677,11468.156,15714.834,16649.726,12358.321,20217.121,19992.101,0.98886984,False,transform_curve,56917.857,89973.015,11468.156,15714.834,6485.6741,8826.753,84913.759,31.1472,False,74000,786.19026,1.0624193
0.05,126513.9,127757.9,85560.784,75585.73,96852.247,112575.22,151206.18,60522.496,118456.46,literal,0.82660522,0.028033649,0.037338329,0.058691824,0.052901463,15182.675,23448.281,19909.852,23071.702,25038.288,32895.673,1.3138148,False,transform_curve,63883.461,112340.49,15182.675,23448.281,8573.4534,13595.928,98114.396,33.028968,False,79000,6560.7838,8.3047896
0.02,150624.7,153556.2,100670.48,87537.316,115774,131723.69,191355.09,68357.452,153239.52,literal,1.0218407,0.033981982,0.04876246,0.059830257,0.068606782,21832.508,37798.891,23821.697,36534.211,32313.026,52569.047,1.6268686,False,transform_curve,73602.514,150876.94,21832.508,37798.891,12853.07,34437.481,115570.95,34.44063,False,88000,12670.478,14.39827
0.01,168883.6,174075,116809.47,101309.73,134680.56,145755.83,226176.51,77342.915,184586.83,literal,1.4713974,0.039342797,0.058016931,0.059453146,0.069936994,28319.169,52101.51,27488.788,43349.785,39466.553,67777.365,1.7173368,False,transform_curve,82547.091,190215.18,28319.169,52101.51,20451.822,59238.455,129223.61,32.897046,False,97000,19809.468,20.422132
0.005,187282.4,195977.2,140273.17,121531.28,161905.32,159817.06,265887.79,90973.816,226791.43,literal,1.5741397,0.04519594,0.067599634,0.060485865,0.068680261,36160.141,69910.591,33509.253,50969.785,49299.349,86518.263,1.7549575,False,transform_curve,91558.256,241957.31,36160.141,69910.591,35359.191,87987.193,143603.26,28.423732,False,110000,30273.165,27.521059
0.002,211932.4,227899.7,178194.07,155780.59,203832.36,179079.9,327943.55,114165.39,293572.75,literal,1.5969592,0.05341777,0.080641962,0.058631511,0.061945441,48819.798,100043.85,41428.241,57475.808,64028.68,115378.68,1.8019844,False,transform_curve,108287.22,327943.55,48819.798,100043.85,56308.688,142331.01,164252.6,21.810311,False,156000,22194.066,14.226965
0.001,230884.4,255074.1,213480.93,187734.67,242758.07,194683.02,384168.55,136181.35,357928.11,literal,1.6101816,0.059867575,0.090744241,0.056771413,0.058741513,60391.081,129094.45,48250.831,64804.415,77299.583,144447.18,1.8686671,False,transform_curve,124584.03,384168.55,60391.081,129094.45,74662.674,170687.62,181579.79,16.306309,False,240000,-26519.072,-11.049613
0.0005,250133.5,285567.9,256185.63,225709.31,290777.01,211588.69,450522.22,162310.85,437867.92,literal,1.6178565,0.066438438,0.10102575,0.056643968,0.057664118,73979.214,164954.32,57788.846,76148.052,93874.783,181682.28,1.9353684,False,transform_curve,142541.75,450522.22,73979.214,164954.32,97853.875,194336.58,200784.41,10.289066,True,300000,-43814.368,-14.604789
0.0002,276072.2,332739.2,328154.25,289631.2,371801.13,236947.46,558778.48,207256.38,558778.48,literal,1.6203778,0.075231947,0.11486727,0.056412905,0.056909386,95791.738,226039.28,73757.96,96092.359,120897.86,245616.56,2.0316038,True,transform_curve,171229.2,558778.48,95791.738,226039.28,138510.77,230624.23,230059.6,1.3779423,True,349528.9,-21374.659,-6.1152764
0.0001,296087.7,374643,374643,330946.92,424108.43,258850.56,660114.51,231556.69,660114.51,literal,1,0.081924215,0.12551335,0.056299467,0.056633231,115792.44,285471.51,84058.333,109102.25,143086.31,305609.69,2.1358416,True,transform_curve,197395.63,660114.51,115792.44,285471.51,156047.51,285471.51,255683.33,0,True,390000,-15357,-3.9376923
