member,ensemble_f_part,event,event_note,target,target_aep,scaling_method,target_unreg_peak_cfs,target_unreg_5day_cfs,f_peak,f_out,shape_strain,scaled_unreg_peak_cfs,scaled_unreg_5day_cfs,vol5_error_pct,outside_max_change_pct,outside_vol_change_pct,outside_hours_changed,scale_factor,observed_unreg_peak_cfs,local_share_at_peak,pool_basis,pool_basis_used,start_pool_ft,synth_water_year,real_start,real_end,source_start,source_peak_date,ensemble_start,hours,elev_ensemble_start,elev_hours,missing_input_hours,reg_peak,reg_peak_time,local_peak,mos_in_peak,unreg_peak_unrouted_cfs,unreg_peak_source,unreg_peak_time,unreg_peak_routed_cfs,unreg_peak_routed_time,unreg_peak_from_sim,routing_loss_pct,atten_ratio_routed,sum_of_maxima_cfs,target_miss_frac,atten_ratio,reg_over_local,max_pool_ft,pool_hit_max
1,C:000001|SYNTH,Dec1977,"sharp     (shape 0.47, rank 2)",100yr,0.01,volume_matched,174075.00,106300.80,1.08,1.93,1.79,174075.00,106424.50,0.12,78.49,4.59,66,1.00,161402.00,0.49,median_por,median_por,752.99,1801,1801-11-22,1801-12-21 23:00:00,1977-11-22,1977-12-02,1999-10-01,720,1999-09-30,744,0,141877.33,1801-12-04 11:00:00,85657.84,108226.09,174075.00,sim,1801-12-02 21:00:00,168565.23,1801-12-02 21:00:00,168565.23,3.17,0.84,193883.92,0.00,0.82,1.66,778.51,True
2,C:000002|SYNTH,Dec1977,"sharp     (shape 0.47, rank 2)",250yr,0.01,volume_matched,195977.20,119354.40,1.21,2.18,1.79,195977.20,119570.70,0.18,101.33,5.95,66,1.00,161402.00,0.49,median_por,median_por,752.99,1802,1802-11-22,1802-12-21 23:00:00,1977-11-22,1977-12-02,1999-10-01,720,1999-09-30,744,0,166081.72,1802-12-03 20:00:00,96448.69,121876.27,195977.20,sim,1802-12-02 21:00:00,190100.22,1802-12-02 21:00:00,190100.22,3.00,0.87,218324.95,0.00,0.85,1.72,778.53,True
3,C:000003|SYNTH,Dec1977,"sharp     (shape 0.47, rank 2)",500yr,0.00,volume_matched,227899.70,138364.00,1.41,2.53,1.79,227899.70,138583.40,0.16,134.10,7.91,67,1.00,161402.00,0.49,median_por,median_por,752.99,1803,1803-11-22,1803-12-21 23:00:00,1977-11-22,1977-12-02,1999-10-01,720,1999-09-30,744,0,207043.94,1803-12-03 13:00:00,112159.40,141729.27,227899.70,sim,1803-12-02 21:00:00,221447.92,1803-12-02 21:00:00,221447.92,2.83,0.93,253888.66,0.00,0.91,1.85,778.54,True
4,C:000004|SYNTH,Dec1977,"sharp     (shape 0.47, rank 2)",beyond,,volume_matched,273479.60,166036.80,1.69,3.06,1.80,273479.60,166261.70,0.14,182.32,10.79,68,1.00,161402.00,0.49,median_por,median_por,752.99,1804,1804-11-22,1804-12-21 23:00:00,1977-11-22,1977-12-02,1999-10-01,720,1999-09-30,744,0,264865.84,1804-12-03 05:00:00,134639.75,170195.38,273479.64,sim,1804-12-02 21:00:00,266367.72,1804-12-02 21:00:00,266367.72,2.60,0.99,304835.12,0.00,0.97,1.97,778.69,True
5,C:000005|SYNTH,Feb1996,"sharp-mid (shape 0.50, rank 1)",100yr,0.01,volume_matched,174075.00,106300.80,0.80,1.24,1.55,174075.00,106269.10,-0.03,19.46,1.53,61,1.00,217608.40,0.50,median_por,median_por,748.98,1805,1805-01-30,1805-02-28 23:00:00,1996-01-30,1996-02-09,1999-10-01,720,1999-09-30,744,0,88299.15,1805-02-08 22:00:00,88224.77,87041.49,174075.00,sim,1805-02-09 01:00:00,171582.66,1805-02-09 04:00:00,171582.66,1.43,0.51,175266.27,0.00,0.51,1.00,776.83,False
6,C:000006|SYNTH,Feb1996,"sharp-mid (shape 0.50, rank 1)",250yr,0.01,volume_matched,195977.20,119354.40,0.90,1.39,1.54,195977.20,119316.80,-0.03,33.73,2.73,63,1.00,217608.40,0.50,median_por,median_por,748.98,1806,1806-01-30,1806-02-28 23:00:00,1996-01-30,1996-02-09,1999-10-01,720,1999-09-30,744,0,101465.16,1806-02-09 10:00:00,99286.51,97993.09,195977.20,sim,1806-02-09 01:00:00,193258.11,1806-02-09 04:00:00,193258.11,1.39,0.53,197279.60,0.00,0.52,1.02,776.85,False
7,C:000007|SYNTH,Feb1996,"sharp-mid (shape 0.50, rank 1)",500yr,0.00,volume_matched,227899.70,138364.00,1.05,1.60,1.53,227899.70,138317.70,-0.03,54.49,4.47,65,1.00,217608.40,0.50,median_por,median_por,748.98,1807,1807-01-30,1807-02-28 23:00:00,1996-01-30,1996-02-09,1999-10-01,720,1999-09-30,744,0,136046.98,1807-02-09 07:00:00,115407.07,113955.07,227899.70,sim,1807-02-09 01:00:00,224840.92,1807-02-09 04:00:00,224840.92,1.34,0.61,229362.14,-0.00,0.60,1.18,777.99,False
8,C:000008|SYNTH,Feb1996,"sharp-mid (shape 0.50, rank 1)",beyond,,volume_matched,273479.60,166036.80,1.26,1.92,1.53,273479.60,165977.40,-0.04,85.24,7.05,66,1.00,217608.40,0.50,median_por,median_por,748.98,1808,1808-01-30,1808-02-28 23:00:00,1996-01-30,1996-02-09,1999-10-01,720,1999-09-30,744,0,190889.58,1808-02-10 03:00:00,138488.48,136746.09,273479.64,sim,1808-02-09 01:00:00,269976.78,1808-02-09 04:00:00,269976.78,1.28,0.71,275234.58,0.00,0.70,1.38,778.51,True
9,C:000009|SYNTH,Dec1933,"sustained (shape 0.70, pass-through outlier)",100yr,0.01,volume_matched,174075.00,106300.80,1.15,0.60,0.52,174075.00,106164.30,-0.13,23.63,-2.03,61,1.00,151983.20,0.47,median_por,median_por,748.98,1809,1809-12-12,1810-01-10 23:00:00,1933-12-12,1933-12-22,1999-10-01,720,1999-09-30,744,0,168118.92,1809-12-23 05:00:00,81662.96,92412.04,174075.00,sim,1809-12-22 23:00:00,170500.86,1809-12-23 02:00:00,170500.86,2.05,0.99,174075.00,0.00,0.97,2.06,778.54,True
10,C:000010|SYNTH,Dec1933,"sustained (shape 0.70, pass-through outlier)",250yr,0.01,volume_matched,195977.20,119354.40,1.29,0.66,0.52,195977.20,119196.90,-0.13,14.78,-1.12,57,1.00,151983.20,0.47,median_por,median_por,748.98,1810,1810-12-12,1811-01-10 23:00:00,1933-12-12,1933-12-22,1999-10-01,720,1999-09-30,744,0,190401.77,1810-12-23 03:00:00,91937.84,104039.37,195977.20,sim,1810-12-22 23:00:00,192115.23,1810-12-23 02:00:00,192115.23,1.97,0.99,195977.20,0.00,0.97,2.07,778.61,True
