WY,Peak,1,3,5,,,,
1927,"41,100",40800,35367,30920,,,,
1928,"74,000",71300,56933,47940,,,,
1929,"21,800",21100,19633,18980,,,,
1930,"30,200",29500,26700,23840,,,,
1931,"65,900",63200,51200,40760,,,,
1932,"50,800",49200,44467,39140,,,,
1933,"53,000",52200,44467,43900,,,,
1934,"139,000",134000,120333,106300,,,,
1935,"61,800",58100,53800,45540,,,,
1936,"48,200",39800,35833,31400,,,,
1937,"49,000",47200,40167,34640,,,,
1938,"62,900",60500,53567,47440,,,,
1939,"43,600",39800,29867,27840,,,,
1940,"41,900",40500,36767,31660,,,,
1941,"26,400",22100,19633,16038,,,,
1942,"58,100",55400,47067,39400,,,,
1943,"60,500",58300,46867,39020,,,,
1944,"37,100",33700,26467,20760,,,,
1945,"45,300",44200,36333,30340,,,,
1946,"54,700",51700,45433,38940,,,,
1947,"85,100",82400,80767,74880,,,,
1948,"38,500",37000,32700,28560,,,,
1949,"51,500",43300,30167,25900,,,,
1950,"54,800",54000,49933,43920,,,,
1951,"67,200",63900,61467,54440,,,,
1952,"41,400",35600,31600,28680,,,,
1953,"60,000",50000,44000,40400,,,,
1954,"73,000",63600,51067,45440,,,,
1955,"50,100",43300,33800,27620,,,,
1956,"67,400",63100,49733,42260,,,,
1957,"43,200",40400,37400,34980,,,,
1958,"35,200",34500,30867,27280,,,,
1959,"57,800",52900,44733,39140,,,,
1960,"62,700",61000,56433,49620,,,,
1961,"64,500",59000,46133,43520,,,,
1962,"42,100",40100,34833,30240,,,,
1963,"66,900",59500,52900,41640,,,,
1964,"72,600",55400,46267,37680,,,,
1965,"83,900",79100,68933,60120,,,,
1966,"28,800",27000,24333,22400,,,,
1967,"65,000",58800,48167,38520,,,,
1968,"49,500",47600,44633,42600,,,,
1969,57800,55565,50335,,,,,
1970,56400,53923,50260,47207.6,,,,
1971,52500,49329,41354.66667,35520.6,,,,
1972,106200,96939,75236,,,,,
1973,76200,66921,55787.33333,48618,,,,
1974,112500,108671,89174.33333,74239.6,,,,
1975,54600,46720,39087.33333,31347.6,,,,
1976,127000,119892,107669.6667,94312.8,,,,
1977,,,,,,,,
1978,146000,133068,98903,76854.6,,,,
1979,,,,,,,,
1980,,,,,,,,
1981,,,,,,,,
1982,,91526,69017,65422,,,,
1983,,69620,63007,59117,,,,
1984,,62324,50104,40317,,,,
1985,,38440,33831,27569,,,,
1986,,84949,67636,55512,,,,
1987,,94194,66623,54084,,,,
1988,59300,51974,37752.66667,32665,,,,
1989,28000,29644,25374,22821,,,,
1990,124900,108937,75506,60148,,,,
1991,100700,97240,75175,65188,,,,
1992,44400,42291,37568.33333,39576,,,,
1993,34300,30865,25941.66667,27137,,,,
1994,28000,27584,25493.66667,22770.2,,,,
1995,73800,58496,46867.66667,37530,,,,
1996,192400,172790,138106.3333,106870.4,,,,
1997,93700,77370,67786,63092,,,,
1998,33700,51276,41390,32122,,,,
1999,76900,64986,62963,52033,,,,
2000,85000,72469,60822,45234,,,,
2001,14600,17595,15578,14201,,,,
2002,78000,62681,48276,37281,,,,
2003,117000,91164,67658,50742,,,,
2004,56800,52592,44729,35471,,,,
2005,68100,64000,45219,34541,,,,
2006,82100,67048,58349,51476,,,,
2007,162900,129586,95220,70385,,,,
2008,,,,,,,,
2009,132849,119656,85564,63808,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
