Peak_Date,WY,Peak_cfs
1927-01-03,1927,41100
1927-11-25,1928,74000
1929-05-25,1929,21800
1930-02-08,1930,30200
1931-04-01,1931,65900
1932-03-06,1932,50800
1932-11-14,1933,53000
1933-12-23,1934,139000
1934-11-06,1935,61800
1936-01-12,1936,48200
1937-04-15,1937,49000
1937-12-30,1938,62900
1939-02-15,1939,43600
1939-12-16,1940,41900
1940-11-29,1941,26400
1941-12-20,1942,58100
1942-11-24,1943,60500
1943-12-04,1944,37100
1945-02-08,1945,45300
1945-12-29,1946,54700
1946-12-13,1947,85100
1947-10-20,1948,38500
1949-02-17,1949,51500
1950-02-25,1950,54800
1951-02-12,1951,67200
1952-02-04,1952,41400
1953-02-01,1953,60000
1953-12-09,1954,73000
1955-02-08,1955,50100
1955-12-12,1956,67400
1956-12-11,1957,43200
1958-04-21,1958,35200
1959-01-24,1959,57800
1959-11-24,1960,62700
1960-11-25,1961,64500
1961-12-25,1962,42100
1962-11-20,1963,66900
1964-01-25,1964,72600
1964-12-23,1965,83900
1966-05-07,1966,28800
1966-12-14,1967,65000
1968-02-20,1968,49500
1969-01-07,1969,40300
1970-01-14,1970,37900
1971-01-26,1971,50000
1972-01-20,1972,81600
1972-12-27,1973,45600
1974-01-16,1974,68600
1975-01-14,1975,58900
1975-12-04,1976,86700
1977-03-10,1977,15000
1977-12-02,1978,86400
1979-02-07,1979,39400
1980-05-18,1980,97000
1980-12-26,1981,46900
1982-01-24,1982,65500
1982-12-04,1983,67300
1983-11-18,1984,49600
1984-11-28,1985,23600
1986-02-24,1986,62700
1986-11-24,1987,77600
1987-12-10,1988,42100
1988-11-24,1989,23600
1990-01-09,1990,89200
1990-11-25,1991,76000
1992-01-29,1992,27000
1993-03-23,1993,14700
1994-01-14,1994,17300
1995-02-19,1995,47500
1996-02-08,1996,112000
1996-12-29,1997,56700
1998-01-14,1998,30800
1998-11-26,1999,57600
1999-11-25,2000,41700
2000-11-27,2001,11600
2001-12-17,2002,51400
2003-01-31,2003,69000
2004-01-30,2004,38100
2005-01-18,2005,29600
2006-01-30,2006,56200
2006-11-07,2007,77300
2007-12-03,2008,64300
2009-01-08,2009,106000
2009-11-19,2010,20900
2011-01-16,2011,45300
2011-11-23,2012,36900
2012-11-19,2013,47000
2014-03-06,2014,32300
2015-01-05,2015,38500
2015-12-09,2016,83700
2017-02-09,2017,40000
2017-12-30,2018,35100
2019-02-12,2019,26000
2020-02-07,2020,47400
2021-01-03,2021,45600
2022-01-07,2022,63900
2022-12-27,2023,34400
2023-12-06,2024,44800
