WY,duration,original_value,adjusted_value,raised_to_match,delta_cfs,delta_pct,original_source,matched_source
1974,Peak,111231.3127508182,112486.05140177408,One_day,1254.7386509558855,1.1280444507265388,dS2day_regression,daily_massbalance
1984,Peak,52584.20598295902,57351.72120615641,One_day,4767.515223197392,9.06643950227641,dS2day_regression,daily_massbalance
1985,Peak,27739.80824219987,33097.95267333984,One_day,5358.144431139968,19.315722676801922,dS2day_regression,daily_massbalance
1994,Peak,23936.952598568358,26300.07696355184,One_day,2363.1243649834832,9.87228576926212,dS2day_regression,daily_massbalance
2001,Peak,11954.646076700406,19568.119591522216,One_day,7613.47351482181,63.686314642643104,dS2day_regression,daily_massbalance
2006,Peak,62349.91266236805,74081.96464411417,One_day,11732.051981746117,18.816468990544585,dS2day_regression,daily_massbalance
2007,Peak,130998.81991651142,147777.18454564412,One_day,16778.364629132702,12.808027308815408,dS2day_regression,daily_massbalance
2014,Three_Day,45134.193496280255,46396.177515055344,Five_Day,1261.9840187750888,2.7960708301547372,daily_massbalance,
2019,One_day,22592.930257161457,24388.551606411405,Three_Day,1795.6213492499483,7.947713416593124,hourly_holdout,daily_massbalance
2019,Peak,24269.24609375,24388.551606411405,One_day,119.30551266140537,0.4915913423949738,hourly_holdout,hourly_holdout
