WY,series,gap_start,gap_end,gap_hrs,hrs_gap_to_peak
1962,reg,1961-12-20 01:00:00,1961-12-20 07:00:00,7.0,125.0
1962,reg,1961-12-28 07:00:00,1962-03-31 23:00:00,2249.0,67.0
1963,reg,1962-10-01 00:00:00,1962-11-17 07:00:00,1136.0,86.0
1963,reg,1962-11-18 08:00:00,1962-11-20 07:00:00,48.0,14.0
1963,reg,1962-11-25 08:00:00,1963-03-31 23:00:00,3040.0,107.0
1964,reg,1963-10-01 00:00:00,1964-01-22 07:00:00,2720.0,91.0
1964,reg,1964-01-29 08:00:00,1964-03-31 23:00:00,1504.0,78.0
1965,reg,1964-10-01 00:00:00,1964-12-20 07:00:00,1928.0,86.0
1965,reg,1964-12-26 08:00:00,1964-12-27 07:00:00,24.0,59.0
1965,reg,1964-12-28 08:00:00,1965-01-26 07:00:00,696.0,107.0
1965,reg,1965-02-03 07:00:00,1965-03-31 23:00:00,1361.0,994.0
1966,reg,1965-10-01 00:00:00,1966-03-31 23:00:00,4368.0,
1967,reg,1966-10-01 00:00:00,1967-03-31 23:00:00,4368.0,
1968,reg,1967-10-01 00:00:00,1968-03-31 23:00:00,4392.0,
1969,reg,1968-10-01 00:00:00,1969-03-31 23:00:00,4368.0,
1970,reg,1969-10-01 00:00:00,1970-03-31 23:00:00,4368.0,
1971,reg,1970-10-01 00:00:00,1971-03-31 23:00:00,4368.0,
1972,reg,1971-10-01 00:00:00,1972-03-31 23:00:00,4392.0,
1973,reg,1972-10-01 00:00:00,1973-03-31 23:00:00,4368.0,
1974,reg,1973-10-01 00:00:00,1974-03-31 23:00:00,4368.0,
1975,reg,1974-10-01 00:00:00,1975-03-31 23:00:00,4368.0,
1976,reg,1975-10-01 00:00:00,1976-03-31 23:00:00,4392.0,
1977,reg,1976-10-01 00:00:00,1977-03-31 23:00:00,4368.0,
1978,reg,1977-10-01 00:00:00,1978-03-31 23:00:00,4368.0,
