WY,reg_peak_1hr,reg_peak_1hr_time,unreg_peak_1hr,unreg_peak_1hr_time,reg_peak_1day,reg_peak_1day_time,unreg_peak_1day,unreg_peak_1day_time,reg_minus_unreg_1hr,reg_minus_unreg_1day,peak_offset_hrs,reg_coverage_octmar,unreg_coverage_octmar,reg_n_gaps,reg_max_gap_hrs,reg_nearest_gap_to_peak_hrs,unreg_n_gaps,unreg_max_gap_hrs,unreg_nearest_gap_to_peak_hrs,dS_1day_af,dS_1day_cfs,dS_2day_af,dS_2day_cfs,dS_3day_af,dS_3day_cfs,dS_4day_af,dS_4day_cfs
1992,27000.0,1992-01-29 20:00:00,51844.53125,1992-01-29 14:00:00,25970.83333333333,1991-12-10 06:00:00,43323.336751302086,1992-01-30 07:00:00,-24844.53125,-17352.503417968754,6.0,0.827,0.946,1,752.0,2149.0,4,158.0,82.0,33234.591064453125,16755.772994995117,64082.119201660156,16154.034215418496,87510.982421875,14706.706768120659,105568.25122070312,13305.99833094279
1997,56150.0,1996-12-30 06:00:00,86921.140625,1997-01-02 03:00:00,50536.458333333336,1996-12-30 21:00:00,83112.56705729167,1997-01-02 15:00:00,-30771.140625,-32576.108723958336,-69.0,0.827,0.475,1,752.0,1415.0,2,1187.0,1027.0,73875.7222290039,37245.67662378947,132420.0806274414,33380.895324834186,172288.0806274414,28953.969105445012,207078.1239013672,26100.47186673482
1999,57350.0,1998-11-26 14:00:00,76193.015625,1998-11-26 17:00:00,51795.833333333336,1998-11-27 01:00:00,68206.39778645833,1998-11-27 07:00:00,-18843.015625,-16410.564453124993,-3.0,0.811,0.63,2,752.0,607.0,4,768.0,258.0,37090.894775390625,18699.992782592773,49806.51025390625,12555.391126505534,60418.222900390625,10153.618015204536,59525.33654785156,7502.672627385457
2003,68350.0,2003-02-01 04:00:00,109719.3046875,2003-02-01 07:00:00,59382.29166666666,2003-02-01 17:00:00,101254.078125,2003-02-02 00:00:00,-41369.3046875,-41871.786458333336,-3.0,0.978,0.801,1,96.0,2686.0,2,600.0,449.0,80814.45263671875,40743.9532043457,156971.95434570312,39570.01349131266,185430.12622070312,31162.56287875705,195798.16064453125,24678.72649790446
2004,38000.0,2004-01-30 17:00:00,56222.7890625,2004-01-30 22:00:00,35270.833333333336,2004-01-31 01:00:00,52144.04166666666,2004-01-31 05:00:00,-18222.7890625,-16873.20833333333,-5.0,0.978,0.852,1,96.0,1258.0,5,283.0,95.0,33465.3857421875,16872.131978352863,58758.45703125,14812.027709960938,83416.9711303711,14018.685426076254,88966.71618652344,11213.513186009724
2008,64100.0,2007-12-04 01:00:00,72454.84375,2007-12-04 05:00:00,56290.625,2007-12-04 17:00:00,70265.07682291667,2007-12-04 23:00:00,-8354.84375,-13974.451822916672,-4.0,1.0,0.967,0,,,2,120.0,915.0,51514.32946777344,25971.807773335775,75324.80462646484,18988.127832921346,95032.6732788086,15970.768703799777,105409.55786132812,13285.996355438232
2009,104250.0,2009-01-08 14:00:00,151296.453125,2009-01-08 18:00:00,93765.625,2009-01-09 00:00:00,139073.28385416666,2009-01-09 03:00:00,-47046.453125,-45307.65885416666,-4.0,1.0,0.978,0,,,1,96.0,2299.0,109033.58435058594,54971.098776753744,173115.41247558594,43639.51022822062,236174.1180419922,39690.37261539035,261478.8819580078,32957.2340801239
2011,45150.0,2011-01-17 04:00:00,87159.5234375,2011-01-17 14:00:00,41644.79166666666,2011-01-17 19:00:00,85730.98567708333,2011-01-18 03:00:00,-42009.5234375,-44086.19401041666,-10.0,0.998,0.488,0,,,6,696.0,183.0,96210.42163085938,48506.08757222493,160273.02514648438,40402.15842234294,220894.951171875,37122.62373860677,251646.59521484375,31717.95627187093
2014,32175.0,2014-03-07 03:00:00,60267.5703125,2014-03-06 21:00:00,30376.041666666668,2014-03-07 11:00:00,57504.12841796875,2014-03-07 12:00:00,-28092.5703125,-27128.08675130208,6.0,1.0,1.0,0,,,0,,,53507.42175292969,26976.65846710205,94617.310546875,23851.447033691406,128732.3910522461,21634.193496280244,179489.79223632812,22623.192563120523
2015,38025.0,2015-01-06 01:00:00,47322.90625,2015-01-06 08:00:00,33587.5,2015-01-06 15:00:00,43516.79134114584,2015-01-06 17:00:00,-9297.90625,-9929.291341145836,-7.0,1.0,1.0,0,,,0,,,15832.156188964844,7982.045411936442,28970.612670898438,7303.008610788981,35241.86328125,5922.590912543402,42124.709899902344,5309.468643633524
2016,83175.0,2015-12-09 16:00:00,135790.03125,2015-12-09 19:00:00,69096.875,2015-12-10 05:00:00,124895.9208984375,2015-12-10 10:00:00,-52615.03125,-55799.0458984375,-3.0,1.0,0.749,0,,,2,984.0,1045.0,131925.89251708984,66512.63747736612,214344.89361572266,54032.77526563009,261956.1576538086,44023.1876057095,288009.43438720703,36301.189125887555
2019,26000.0,2019-02-12 21:00:00,24269.24609375,2019-02-12 21:00:00,24085.416666666668,2019-02-13 12:00:00,22592.930257161457,2018-12-19 20:00:00,1730.75390625,1492.4864095052108,0.0,0.997,0.992,1,11.0,2615.0,2,24.0,1966.0,-1382.301025390625,-696.9101003011067,-3645.6378173828125,-919.0045331319172,-7692.0552978515625,-1292.6926264444987,-15661.616455078125,-1974.0162406921386
2020,47250.0,2020-02-07 21:00:00,77812.453125,2020-02-08 05:00:00,44971.875,2020-02-08 12:00:00,73544.4765625,2020-02-08 20:00:00,-30562.453125,-28572.6015625,-8.0,1.0,1.0,0,,,0,,,56188.106872558594,28328.17054824829,105259.0327758789,26534.04784558614,123162.86608886719,20698.20388437907,139427.89135742188,17573.72380650838
