WY,days_present,days_missing,flood_season_missing,One_day,One_day_Date,Three_Day,Three_Day_Date,Five_Day,Five_Day_Date,TableB1_OneDay,Season_Override,Season_Complete,OneDay_vs_TableB1_pct,Source
1974,363,2,2,112486.05140177408,1974-01-17,92391.93860388862,1974-01-18,74846.36466705322,1974-01-20,,True,True,,MassBalance_Daily
1975,365,0,0,71250.31089324951,1975-01-15,54410.600300259066,1975-01-16,50666.42936228435,1975-01-19,,True,True,,MassBalance_Daily
1976,366,0,0,110190.07586669922,1975-12-05,106675.92267727322,1975-12-05,91422.3739082845,1975-12-07,114186.0,True,True,-3.4994869189749895,MassBalance_Daily
1977,365,0,0,16299.104712677003,1977-06-02,14752.35835410224,1977-06-08,14436.060783437093,1977-06-06,13929.0,True,True,17.01561284138849,MassBalance_Daily
1978,365,0,0,110964.8723818461,1977-12-04,94792.64671207004,1977-12-05,74568.95240987142,1977-12-07,115990.0,True,True,-4.332380048412707,MassBalance_Daily
1979,365,0,0,40506.00640258789,1979-02-08,27999.698932054307,1979-03-09,25107.43090672811,1979-03-10,33380.0,True,True,21.348131823211173,MassBalance_Daily
1980,366,0,0,42736.788049316405,1979-12-19,37115.675081719295,1979-12-21,32514.471386871337,1979-12-21,,True,True,,MassBalance_Daily
1981,365,0,0,86531.92737960815,1980-12-27,71889.1275756836,1980-12-28,57904.74888966877,1980-12-29,,True,True,,MassBalance_Daily
1982,365,0,0,77900.31213811238,1982-02-21,62871.0453183492,1982-02-23,60341.78496602377,1982-02-21,,True,True,,MassBalance_Daily
1983,365,0,0,72298.0557240804,1982-12-05,55965.91877517701,1983-01-09,52485.183418986,1983-01-10,,True,True,,MassBalance_Daily
1984,327,39,0,57351.72120615641,1984-01-26,46701.98901892768,1984-01-27,38367.163598531086,1984-01-29,,True,True,,MassBalance_Daily
1985,364,1,1,33097.95267333984,1985-06-09,28765.268502977153,1985-06-10,23969.168257904053,1985-06-12,,True,True,,MassBalance_Daily
1986,213,152,0,83652.2464841207,1986-02-25,62162.58865390354,1986-02-26,52287.42518961589,1986-02-28,,True,True,,MassBalance_Daily
1987,181,184,32,90981.92137476604,1986-11-25,61616.61895082262,1986-11-27,50209.64697591146,1986-11-28,,True,True,,MassBalance_Daily
1988,182,184,32,59525.04010442098,1987-12-11,39028.53567165799,1987-12-13,30728.320680643716,1987-12-14,,True,True,,MassBalance_Daily
1989,181,184,32,23674.060446421303,1988-11-07,21120.33092897203,1989-03-15,19496.458497111,1989-03-17,,True,True,,MassBalance_Daily
1990,181,184,32,95399.99134318033,1990-01-11,76113.33786705864,1990-01-12,59390.56820495606,1990-01-13,,True,True,,MassBalance_Daily
1991,179,186,34,104019.84494450886,1990-11-26,75568.97829149033,1990-11-27,58070.37642857869,1990-11-28,,True,True,,MassBalance_Daily
1992,182,184,32,40652.29543584188,1992-01-30,38240.04010145399,1992-01-31,35850.01854044596,1992-02-02,,True,True,,MassBalance_Daily
1993,181,184,32,31533.341389973957,1993-03-24,26576.34785003662,1993-03-26,21802.214671732585,1993-03-27,,True,True,,MassBalance_Daily
1994,181,184,32,26300.076963551837,1994-03-04,24709.691447533503,1994-03-06,22555.767489013677,1994-03-06,,True,True,,MassBalance_Daily
1995,183,182,32,59736.05096410116,1994-12-28,48317.35180545383,1995-02-22,39124.79967468262,1995-02-24,,True,True,,MassBalance_Daily
1996,182,184,32,170280.00641555787,1996-02-09,139807.31819000244,1996-02-10,108126.0258027649,1996-02-12,,True,True,,MassBalance_Daily
1997,181,184,32,85945.67662378948,1997-01-02,74563.25657797919,1997-01-04,69705.9733102417,1997-01-04,,True,True,,MassBalance_Daily
1998,181,184,32,30823.01076965332,1997-11-02,23580.65662290785,1998-01-20,22965.167522074382,1998-01-20,,True,True,,MassBalance_Daily
1999,181,184,32,68599.99278259277,1998-11-27,60807.3340421041,1998-12-31,51701.58628300985,1999-01-02,,True,True,,MassBalance_Daily
2000,182,184,32,72890.30106480917,1999-11-27,58189.72265133328,1999-11-28,43549.19376169841,1999-11-30,,True,True,,MassBalance_Daily
2001,364,1,1,19568.119591522216,2001-02-06,15338.691788397895,2001-05-03,14331.987987467448,2001-05-05,,True,True,,MassBalance_Daily
2002,365,0,0,64511.95627873739,2002-01-09,49168.11875627306,2002-01-10,40566.772721761066,2001-12-19,,True,True,,MassBalance_Daily
2003,365,0,0,87543.9532043457,2003-02-02,72895.89621209039,2003-02-03,53892.41661499023,2003-02-04,,True,True,,MassBalance_Daily
2004,366,0,0,51472.13197835286,2004-01-31,43452.018759409584,2004-02-01,34949.39616226196,2004-02-03,,True,True,,MassBalance_Daily
2005,365,0,0,50132.761384836835,2005-01-19,39348.60259797838,2005-01-21,31339.156414031982,2005-01-23,,True,True,,MassBalance_Daily
2006,365,0,0,74081.96464411417,2006-01-12,62808.0588979933,2006-01-13,53944.85242212932,2006-01-15,,True,True,,MassBalance_Daily
2007,365,0,0,147777.18454564412,2006-11-08,100469.89242129854,2006-11-09,73835.97208429972,2006-11-11,,True,True,,MassBalance_Daily
2008,366,0,0,69271.80777333578,2007-12-05,54504.1020371331,2007-12-06,41445.97528238932,2007-12-08,,True,True,,MassBalance_Daily
2009,365,0,0,142171.09877675376,2009-01-09,99323.7059487237,2009-01-10,72961.00226150513,2009-01-12,,True,True,,MassBalance_Daily
2010,365,0,0,28700.515219116212,2010-06-04,24887.605800543894,2010-06-05,23203.600869801838,2010-06-07,,True,True,,MassBalance_Daily
2011,365,0,0,86106.08757222493,2011-01-18,71689.29040527344,2011-01-19,58118.335368092856,2011-01-20,,True,True,,MassBalance_Daily
2012,366,0,0,50128.3310391744,2012-02-23,40864.75932227242,2012-02-25,34419.01232889811,2012-02-27,,True,True,,MassBalance_Daily
2013,365,0,0,47949.79971949259,2012-11-21,36797.339168633356,2012-11-22,30359.37754964193,2012-11-24,,True,True,,MassBalance_Daily
2014,365,0,0,56776.658467102054,2014-03-07,45134.193496280255,2014-03-09,46396.177515055344,2014-03-11,,True,True,,MassBalance_Daily
2015,365,0,0,37999.94579696655,2015-02-09,32555.348385874433,2014-11-29,31664.36574590047,2014-11-30,,True,True,,MassBalance_Daily
