WY,reg_peak,reg_peak_source,gap_reason,dS_2day_cfs,predicted_reg_minus_unreg,unreg_peak_est,se_cfs
1974,68600.0,usgs_peak_record,no_hourly,44667.98247197469,-42631.31275081819,111231.3127508182,5527.569784164035
1975,58900.0,usgs_peak_record,no_hourly,16303.566636149088,-17995.929057353886,76895.92905735389,5527.569784164035
1976,86700.0,usgs_peak_record,no_hourly,39618.84608256022,-38245.97962801327,124945.97962801327,5527.569784164035
1977,15000.0,usgs_peak_record,no_hourly,1223.9282196044921,-4898.790709767407,19898.790709767407,5527.569784164035
1978,86400.0,usgs_peak_record,no_hourly,47953.93914171855,-45485.2690539476,131885.2690539476,5527.569784164035
1979,39400.0,usgs_peak_record,no_hourly,9615.06909383138,-12186.759418835445,51586.75941883544,5527.569784164035
1980,97000.0,usgs_peak_record,no_hourly,1219.6198471069335,-4895.048753289753,101895.04875328975,5527.569784164035
1981,46900.0,usgs_peak_record,no_hourly,43301.6303846995,-41444.59316084958,88344.59316084959,5527.569784164035
1982,65500.0,usgs_peak_record,no_hourly,17900.463194529217,-19382.883742483646,84882.88374248365,5527.569784164035
1983,67300.0,usgs_peak_record,no_hourly,13045.011612447102,-15165.77194219229,82465.7719421923,5527.569784164035
1984,49600.0,usgs_peak_record,no_hourly,-980.4651854197184,-2984.2059829590185,52584.20598295902,5527.569784164035
1985,23600.0,usgs_peak_record,no_hourly,350.05937347412106,-4139.808242199871,27739.80824219987,5527.569784164035
1986,62700.0,usgs_peak_record,no_hourly,32927.91269887288,-32434.694384960454,95134.69438496046,5527.569784164035
1987,77600.0,usgs_peak_record,no_hourly,25170.99230486552,-25697.56603047243,103297.56603047243,5527.569784164035
1988,42100.0,usgs_peak_record,no_hourly,18352.963578796385,-19775.89450118864,61875.89450118864,5527.569784164035
1989,23600.0,usgs_peak_record,no_hourly,1667.9322539011637,-5284.422122367455,28884.422122367454,5527.569784164035
1990,89200.0,usgs_peak_record,no_hourly,36599.99695281982,-35624.01459075338,124824.01459075339,5527.569784164035
1991,76000.0,usgs_peak_record,no_hourly,34853.42785390218,-34107.064615544,110107.06461554399,5527.569784164035
1993,14100.0,hourly_1hr_max,no_unreg_peak,17657.57447153727,-19171.927277864183,33271.92727786418,5527.569784164035
1994,17300.0,hourly_1hr_max,no_unreg_peak,3225.193847020467,-6636.952598568354,23936.952598568354,5527.569784164035
1995,47350.0,hourly_1hr_max,no_unreg_peak,14885.463289896647,-16764.261877810237,64114.26187781023,5527.569784164035
1996,111250.0,hourly_1hr_max,no_unreg_peak,71119.03866526285,-65604.88365708016,176854.88365708018,5527.569784164035
1998,30550.0,hourly_1hr_max,no_unreg_peak,5225.898625946044,-8374.627372886323,38924.62737288632,5527.569784164035
2000,41375.0,hourly_1hr_max,no_unreg_peak,32076.57700093587,-31695.28266246936,73070.28266246936,5527.569784164035
2002,50875.0,hourly_1hr_max,no_unreg_peak,13029.082112121581,-15151.936672154092,66026.93667215409,5527.569784164035
2005,29450.0,hourly_1hr_max,no_unreg_peak,22536.450155766805,-23409.38364465099,52859.38364465099,5527.569784164035
2006,55800.0,hourly_1hr_max,missed_event,3124.978767140706,-6549.912662368053,62349.91266236805,5527.569784164035
2007,76975.0,hourly_1hr_max,no_unreg_peak,57784.96147588094,-54023.81991651142,130998.81991651142,5527.569784164035
2013,46825.0,hourly_1hr_max,missed_event,8920.96083577474,-11583.904653167054,58408.904653167054,5527.569784164035
