WY,Peak,Low Value,High Value
1974,111231,98715,123747
1975,76896,64591,89200
1976,124946,112628,137264
1977,19899,15000,32966
1978,131885,119206,144565
1979,51587,39400,64160
1980,101895,97000,114963
1981,88345,75889,100800
1982,84883,72625,97141
1983,82466,70045,94887
1984,52584,49600,65808
1985,27740,23600,40868
1986,95135,82974,107295
1987,103298,91165,115430
1988,61876,49630,74122
1989,28884,23600,41921
1990,124824,112592,137056
1991,110107,97914,122301
1992,,,
1993,33272,21007,45536
1994,23937,17300,36871
1995,64114,51762,76466
1996,176855,162345,191365
1997,,,
1998,38925,30550,51736
1999,,,
2000,,,
2001,73070,60921,85220
2002,11955,11500,25401
2003,66027,53605,78449
2004,,,
2005,,,
2006,52859,40698,65021
2007,62350,55800,75291
2008,130999,117677,144320
2009,,,
2010,,,
2011,,,
2012,,,
2013,58409,46825,71017
