WY,reg_peak_1hr,reg_peak_1hr_time,unreg_peak_1hr,unreg_peak_1hr_time,reg_peak_1day,reg_peak_1day_time,unreg_peak_1day,unreg_peak_1day_time,reg_minus_unreg_1hr,reg_minus_unreg_1day,peak_offset_hrs,unreg_cov_at_reg_peak,reg_coverage_octmar,unreg_coverage_octmar,reg_n_gaps,reg_max_gap_hrs,reg_nearest_gap_to_peak_hrs,unreg_n_gaps,unreg_max_gap_hrs,unreg_nearest_gap_to_peak_hrs
1962,42100.0,1961-12-25 12:00:00,,,40990.0,1961-12-25 23:00:00,,,,,,0.0,0.062,,2,2249.0,67.0,0,,
1963,66100.0,1962-11-20 21:00:00,,,61701.6666015625,1962-11-22 00:00:00,,,,,,0.0,0.028,,3,3040.0,14.0,0,,
1964,72600.0,1964-01-26 02:00:00,,,65565.21739130435,1964-01-26 17:00:00,,,,,,0.0,0.035,,2,2720.0,78.0,0,,
1965,83900.0,1964-12-23 21:00:00,,,79616.66654829546,1964-12-24 10:00:00,,,,,,0.0,0.074,,4,1928.0,59.0,0,,
1992,27000.0,1992-01-29 20:00:00,51844.53125,1992-01-29 14:00:00,25970.833333333332,1991-12-10 06:00:00,43323.336751302086,1992-01-30 07:00:00,-24844.53125,-17352.503417968754,6.0,1.0,0.827,0.946,1,752.0,2149.0,4,158.0,82.0
1993,14100.0,1993-03-23 19:00:00,,,12815.625,1993-03-24 11:00:00,,,,,,0.0,0.109,0.0,3,3000.0,12.0,1,4368.0,
1994,17300.0,1994-01-15 08:00:00,,,17111.458333333332,1994-01-16 04:00:00,,,,,,0.0,0.705,0.0,6,752.0,169.0,1,4368.0,
1995,47350.0,1995-02-20 04:00:00,,,44323.958333333336,1995-02-20 19:00:00,,,,,,0.0,0.825,0.0,1,752.0,2661.0,1,4368.0,
1996,111250.0,1996-02-09 03:00:00,,,103982.29166666667,1996-02-09 16:00:00,,,,,,0.0,0.829,0.0,1,752.0,2396.0,1,4392.0,
1997,56150.0,1996-12-30 06:00:00,86921.140625,1997-01-02 03:00:00,50536.458333333336,1996-12-30 21:00:00,83112.56705729167,1997-01-02 15:00:00,-30771.140625,-32576.108723958336,-69.0,1.0,0.827,0.475,1,752.0,1415.0,2,1187.0,1027.0
1998,30550.0,1998-01-15 05:00:00,,,27128.125,1998-01-15 19:00:00,,,,,,0.0,0.828,0.0,1,752.0,1798.0,1,4368.0,
1999,57350.0,1998-11-26 14:00:00,76193.015625,1998-11-26 17:00:00,51795.833333333336,1998-11-27 01:00:00,68206.39778645833,1998-11-27 07:00:00,-18843.015625,-16410.564453124993,-3.0,1.0,0.811,0.63,2,752.0,607.0,4,768.0,258.0
2000,41375.0,1999-11-26 06:00:00,,,38266.666666666664,1999-11-26 21:00:00,,,,,,0.0,0.829,0.0,1,752.0,599.0,1,4392.0,
2001,11500.0,2000-11-27 19:00:00,13918.7216796875,2000-10-01 23:00:00,11173.958333333334,2000-12-13 01:00:00,12020.159830729166,2000-10-02 17:00:00,-2418.7216796875,-846.2014973958321,1364.0,1.0,0.998,0.394,1,7.0,1381.0,2,2640.0,17.0
2002,50875.0,2001-12-17 13:00:00,,,43387.5,2001-12-18 01:00:00,,,,,,0.0,1.0,0.0,0,,,1,4368.0,
2003,68350.0,2003-02-01 04:00:00,109719.3046875,2003-02-01 07:00:00,59382.291666666664,2003-02-01 17:00:00,101254.078125,2003-02-02 00:00:00,-41369.3046875,-41871.786458333336,-3.0,1.0,0.978,0.801,1,96.0,2686.0,2,600.0,449.0
2004,38000.0,2004-01-30 17:00:00,56222.7890625,2004-01-30 22:00:00,35270.833333333336,2004-01-31 01:00:00,52144.041666666664,2004-01-31 05:00:00,-18222.7890625,-16873.20833333333,-5.0,1.0,0.978,0.852,1,96.0,1258.0,5,283.0,95.0
2005,29450.0,2005-01-18 22:00:00,,,26722.916666666668,2005-01-19 13:00:00,,,,,,0.0,1.0,0.0,0,,,1,4368.0,
2006,55800.0,2006-01-30 19:00:00,11845.59765625,2006-03-10 10:00:00,49222.916666666664,2006-01-31 09:00:00,11602.278076171875,2006-03-11 00:00:00,43954.40234375,37620.63859049479,-927.0,0.0,1.0,0.187,0,,,2,3312.0,278.0
2007,76975.0,2006-11-07 20:00:00,,,73266.66666666667,2006-11-08 07:00:00,,,,,,0.0,1.0,0.0,0,,,1,4368.0,
