water_year,peak_date,peak_quick_unreg_cfs,window_start,window_end
1992,1992-01-29,41006.96148983827,1992-01-19,1992-02-08
1993,1993-03-24,29085.699481120253,1993-03-14,1993-04-03
1994,1994-03-05,27958.927713114233,1994-02-23,1994-03-15
1995,1995-02-20,57865.68322169235,1995-02-10,1995-03-02
1996,1996-02-09,194772.78723668266,1996-01-30,1996-02-19
1997,1997-01-01,77907.8821844175,1996-12-22,1997-01-11
1998,1997-11-01,35929.16892126466,1997-10-22,1997-11-11
1999,1998-11-26,70835.0622849625,1998-11-16,1998-12-06
2000,1999-11-26,72571.102990017,1999-11-16,1999-12-06
2001,2001-08-31,92864.65318979985,2001-08-21,2001-09-10
2002,2002-01-08,60608.909964305596,2001-12-29,2002-01-18
2003,2003-02-01,103133.65351189024,2003-01-22,2003-02-11
2004,2004-01-30,52404.69756268362,2004-01-20,2004-02-09
2005,2005-01-20,37164.23486944836,2005-01-10,2005-01-30
2006,2006-01-11,68620.82738879036,2006-01-01,2006-01-21
2007,2006-11-07,111557.09101397896,2006-10-28,2006-11-17
2008,2007-12-04,77305.50794138756,2007-11-24,2007-12-14
2009,2009-01-08,142724.14203419694,2008-12-29,2009-01-18
2010,2010-06-03,28704.323278065604,2010-05-24,2010-06-13
2011,2011-01-17,90472.49842807841,2011-01-07,2011-01-27
2012,2012-02-23,49277.17451300417,2012-02-13,2012-03-04
2013,2012-11-20,43245.82930328398,2012-11-10,2012-11-30
2014,2014-03-06,51654.427424235924,2014-02-24,2014-03-16
2015,2015-02-08,38276.623076820026,2015-01-29,2015-02-18
2016,2015-12-09,120809.77798019006,2015-11-29,2015-12-19
2017,2017-03-16,60970.022292532696,2017-03-06,2017-03-26
2018,2017-11-24,52333.60657374969,2017-11-14,2017-12-04
2019,2019-04-12,26555.63525818511,2019-04-02,2019-04-22
2020,2020-02-08,69973.67345217131,2020-01-29,2020-02-18
2021,2021-01-13,55231.50391594189,2021-01-03,2021-01-23
2022,2021-11-13,72542.26385970162,2021-11-03,2021-11-23
2023,2022-12-28,57435.4964732323,2022-12-18,2023-01-07
2024,2023-12-06,74436.27960220492,2023-11-26,2023-12-16
2025,2025-02-26,37171.78999038614,2025-02-16,2025-03-08
2026,2025-12-11,96046.29846615816,2025-12-01,2025-12-21
