WY,reg_peak_1hr,reg_peak_1hr_time,unreg_peak_1hr,unreg_peak_1hr_time,reg_peak_1day,reg_peak_1day_time,unreg_peak_1day,unreg_peak_1day_time,reg_minus_unreg_1hr,reg_minus_unreg_1day,peak_offset_hrs,reg_coverage_octmar,unreg_coverage_octmar,dS_1day_af,dS_1day_cfs,dS_2day_af,dS_2day_cfs,dS_3day_af,dS_3day_cfs,dS_4day_af,dS_4day_cfs
1992,27000.0,1992-01-29 20:00:00,51844.53125,1992-01-29 14:00:00,25970.83333333333,1991-12-10 06:00:00,43323.336751302086,1992-01-30 07:00:00,-24844.53125,-17352.503417968754,6.0,0.827,0.945,30793.411735534668,15525.011749998728,60654.96501414012,15290.105763981155,82908.58660380007,13933.24858202751,100685.88237253868,12690.616424038728
1997,56150.0,1996-12-30 06:00:00,86921.140625,1997-01-02 03:00:00,50536.458333333336,1996-12-30 21:00:00,83112.56705729167,1997-01-02 15:00:00,-30771.140625,-32576.108723958336,-69.0,0.827,0.464,70564.95009358728,35576.495672183584,126126.9243164059,31794.495504760653,171928.08221435582,28893.469372134798,204426.28932444297,25766.230216935
1999,57350.0,1998-11-26 14:00:00,76193.015625,1998-11-26 17:00:00,51795.833333333336,1998-11-27 01:00:00,68206.39778645833,1998-11-27 07:00:00,-18843.015625,-16410.564453124993,-3.0,0.811,0.63,31321.829472859274,15791.422359233216,51180.79864501953,12901.826325098673,59808.97352091549,10051.230272264964,58424.74744669604,7363.952542760647
2003,68350.0,2003-02-01 04:00:00,109719.3046875,2003-02-01 07:00:00,59382.29166666666,2003-02-01 17:00:00,101254.078125,2003-02-02 00:00:00,-41369.3046875,-41871.786458333336,-3.0,0.978,0.801,78811.86547851528,39734.31551208478,151864.84538777603,38282.596441501875,179189.42910003627,30113.77905708943,196289.66652679408,24740.676718481336
2004,38000.0,2004-01-30 17:00:00,56222.7890625,2004-01-30 22:00:00,35270.833333333336,2004-01-31 01:00:00,52144.04166666666,2004-01-31 05:00:00,-18222.7890625,-16873.20833333333,-5.0,0.978,0.852,33110.55411783932,16693.237701077323,60126.688573202235,15156.936077828062,81835.08268229198,13752.8402841074,87637.1604436246,11045.933764248517
2008,64100.0,2007-12-04 01:00:00,72454.84375,2007-12-04 05:00:00,56290.625,2007-12-04 17:00:00,70265.07682291667,2007-12-04 23:00:00,-8354.84375,-13974.451822916672,-4.0,1.0,0.967,45490.8378906243,22934.96410318975,75468.18637084891,19024.271980984828,96120.03231811523,16153.50543123881,105471.24848429358,13293.771944374503
2009,104250.0,2009-01-08 14:00:00,151296.453125,2009-01-08 18:00:00,93765.625,2009-01-09 00:00:00,139073.28385416666,2009-01-09 03:00:00,-47046.453125,-45307.65885416666,-4.0,1.0,0.978,100975.81896209717,50908.64206005732,176179.52890268923,44411.92291088624,233962.88358561124,39318.762380359665,257675.7103830966,32477.875996202798
2011,45150.0,2011-01-17 04:00:00,87159.5234375,2011-01-17 14:00:00,41644.79166666666,2011-01-17 19:00:00,85730.98567708333,2011-01-18 03:00:00,-42009.5234375,-44086.19401041666,-10.0,0.998,0.488,84279.47617085814,42490.90256947431,168446.26319885254,42462.49551471074,213519.9377593994,35883.21176234351,249685.47372182133,31470.773250354563
2014,32175.0,2014-03-07 03:00:00,60267.5703125,2014-03-06 21:00:00,30376.041666666668,2014-03-07 11:00:00,57504.12841796875,2014-03-07 12:00:00,-28092.5703125,-27128.08675130208,6.0,1.0,1.0,50995.04509735142,25710.00190324801,89833.2684936527,22645.469766108283,125677.20788574254,21120.752991909507,175375.26746622787,22104.591003555804
2015,38025.0,2015-01-06 01:00:00,47322.90625,2015-01-06 08:00:00,33587.5,2015-01-06 15:00:00,43516.79134114584,2015-01-06 17:00:00,-9297.90625,-9929.291341145836,-7.0,1.0,1.0,19106.317911784165,9632.76861385785,29553.32577006053,7449.900871202759,36201.11646525096,6083.79873929912,41279.949885051115,5202.993683428317
2016,83175.0,2015-12-09 16:00:00,135790.03125,2015-12-09 19:00:00,69096.875,2015-12-10 05:00:00,124895.9208984375,2015-12-10 10:00:00,-52615.03125,-55799.0458984375,-3.0,1.0,0.749,126027.82280985557,63539.02733330218,196590.57718912803,49557.207999759354,264158.7610753374,44393.347347383096,285680.3539377849,36007.62794424164
2019,26000.0,2019-02-12 21:00:00,24269.24609375,2019-02-12 21:00:00,24085.416666666668,2019-02-13 12:00:00,22592.930257161457,2018-12-19 20:00:00,1730.75390625,1492.4864095052108,0.0,0.997,0.992,-1233.3789774579927,-621.828567801738,-4738.537068685517,-1194.5062193978074,-9908.845067342743,-1665.236462706211,-15879.327997843444,-2001.4569663948507
2020,47250.0,2020-02-07 21:00:00,77812.453125,2020-02-08 05:00:00,44971.875,2020-02-08 12:00:00,73544.4765625,2020-02-08 20:00:00,-30562.453125,-28572.6015625,-8.0,1.0,1.0,57669.98823547398,29075.285735384798,101148.25949096633,25497.79041334776,125476.42471313395,21087.010264290566,140714.2907613119,17735.863731373684
2023,34350.0,2022-12-28 07:00:00,65622.8359375,2022-12-28 07:00:00,32496.875,2022-12-28 14:00:00,61506.98046875,2022-12-28 20:00:00,-31272.8359375,-29010.10546875,0.0,1.0,1.0,57379.631388346665,28928.897491624775,99961.37955729198,25198.597763400685,129434.4582824707,21752.17979469299,151435.70242818166,19087.208326885397
2024,44725.0,2023-12-06 18:00:00,81192.0859375,2023-12-06 21:00:00,41163.54166666666,2023-12-07 05:00:00,76897.55110677083,2023-12-07 11:00:00,-36467.0859375,-35734.009440104164,-3.0,0.985,0.975,74661.5686416626,37641.87419017156,127016.7825063077,32018.813923465066,174767.42858632444,29370.637304090633,201270.2075881958,25368.432414762177
2025,29900.0,2025-02-26 00:00:00,45954.34765625,2025-02-26 00:00:00,26600.0,2025-02-26 15:00:00,41974.97526041666,2025-02-26 15:00:00,-16054.34765625,-15374.975260416664,0.0,1.0,1.0,29784.430992126465,15016.31729186376,58968.39575958252,14864.94976439476,80240.03538004518,13484.783723590926,100794.39960733976,12704.294117175115
2026,61000.0,2025-12-09 21:00:00,101832.6171875,2025-12-09 23:00:00,54768.75,2025-12-10 10:00:00,97674.93001302084,2025-12-12 06:00:00,-40832.6171875,-42906.18001302083,-2.0,1.0,1.0,111477.97528839146,56203.47920789736,208410.08121490513,52536.707972924,297729.17109171546,50035.041252913295,338920.1551615398,42718.06122348574
